"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P13","Seguro lo votaria",0.086,0.129,0.294,0.165,0.144
"P13","Quizás lo votaría",0.198,0.301,0.496,0.024,0.326
"P13","Nunca lo votaría",0.716,0.57,0.21,0.811,0.53
"P14","Lo votaría",0.025,0.49,0.188,0.028,0.184
"P14","Puede que lo vote",0.044,0.303,0.356,0.017,0.123
"P14","Nunca lo votaría",0.833,0.159,0.39,0.826,0.549
"P14","No sabe",0.098,0.048,0.066,0.129,0.144
"P15","Lo votaría",0.344,0.098,0.057,0.056,0.102
"P15","Puede que lo vote",0.388,0.069,0.051,0.325,0.211
"P15","Nunca lo votaría",0.171,0.81,0.863,0.476,0.528
"P15","No sabe",0.097,0.023,0.029,0.143,0.159
"P16","Lo votaría",0.329,0.013,0.014,0.004,0.029
"P16","Puede que lo vote",0.508,0.041,0.032,0.326,0.142
"P16","Nunca lo votaría",0.074,0.933,0.945,0.569,0.7
"P16","No sabe",0.089,0.013,0.009,0.101,0.129
"P17","La votaría",0.818,0.018,0.021,0.435,0.242
"P17","Puede que la vote",0.109,0.02,0.026,0.171,0.081
"P17","Nunca la votaría",0.058,0.946,0.945,0.341,0.614
"P17","No sabe",0.015,0.016,0.008,0.053,0.063
"P18","Lo votaría",0.09,0.35,0.037,0.021,0.053
"P18","Puede que lo vote",0.037,0.463,0.304,0.092,0.191
"P18","Nunca lo votaría",0.805,0.154,0.631,0.869,0.611
"P18","No sabe",0.068,0.033,0.028,0.018,0.145
"P19","Lo votaría",0.028,0.159,0.041,0.078,0.051
"P19","Puede que lo vote",0.128,0.362,0.237,0.217,0.196
"P19","Nunca lo votaría",0.694,0.381,0.644,0.593,0.539
"P19","No sabe",0.15,0.098,0.078,0.112,0.214
"P20","La votaría",0.029,0.528,0.33,0.055,0.173
"P20","Puede que la vote",0.036,0.29,0.358,0.061,0.171
"P20","Nunca la votaría",0.889,0.138,0.283,0.823,0.522
"P20","No sabe",0.046,0.044,0.029,0.061,0.134
"P21","Lo votaría",0.021,0.103,0.694,0.06,0.058
"P21","Puede que lo vote",0.053,0.299,0.24,0.067,0.109
"P21","Nunca lo votaría",0.89,0.527,0.053,0.858,0.675
"P21","No sabe",0.036,0.071,0.013,0.015,0.158
"P22","La votaría",0.019,0.277,0.146,0.01,0.064
"P22","Puede que la vote",0.022,0.386,0.293,0.093,0.151
"P22","Nunca la votaría",0.882,0.255,0.516,0.824,0.61
"P22","No sabe",0.077,0.082,0.045,0.073,0.175
"P23","Mauricio Macri por Juntos por el Cambio",0.013,0.246,0.079,0.043,0.121
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.206,0.008,0.002,0.013
"P23","Patricia Bullrich por Juntos por el Cambio",0.016,0.36,0.23,0.039,0.145
"P23","María Eugenia Vidal por Juntos por el Cambio",0.002,0.073,0.013,0.003,0.047
"P23","Facundo Manes por Juntos por el Cambio",0.012,0.06,0.025,0.075,0.078
"P23","Alberto Fernández por el Frente de Todos",0.387,0.002,0.005,0.052,0.072
"P23","Sergio Massa por el Frente de Todos",0.457,0.025,0.022,0.066,0.156
"P23","Javier Milei por los liberales libertarios",0.004,0.007,0.602,0.015,0.029
"P23","Al candidato del Frente de Izquierda",0.01,0.001,0.006,0.598,0.012
"P23","No sabe",0.094,0.02,0.01,0.107,0.327
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.361,0.04,0.004,0.047
"P24","Mauricio Macri por Juntos por el Cambio",0.007,0.478,0.136,0.034,0.173
"P24","Alberto Fernández por el Frente de Todos",0.373,0.031,0.02,0.048,0.06
"P24","Sergio Massa por el Frente de Todos",0.473,0.028,0.033,0.125,0.163
"P24","Javier Milei por los liberales libertarios",0.012,0.026,0.735,0.112,0.063
"P24","Al candidato del Frente de Izquierda",0.032,0.018,0.015,0.611,0.025
"P24","No sabe",0.097,0.058,0.021,0.066,0.469
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.002,0.357,0.014,0.018,0.041
"P25","Patricia Bullrich por Juntos por el Cambio",0.024,0.542,0.239,0.07,0.211
"P25","Alberto Fernández por el Frente de Todos",0.393,0.013,0.006,0.022,0.042
"P25","Sergio Massa por el Frente de Todos",0.493,0.03,0.021,0.165,0.19
"P25","Javier Milei por los liberales libertarios",0.011,0.034,0.707,0.037,0.047
"P25","Al candidato del Frente de Izquierda",0.007,0.008,0.002,0.645,0.024
"P25","No sabe",0.07,0.016,0.011,0.043,0.445
"P26","Sergio Massa por el Frente de Todos",0.784,0.046,0.023,0.134,0.208
"P26","Mauricio Macri por Juntos por el Cambio",0.036,0.78,0.131,0.038,0.199
"P26","Javier Milei por los liberales libertarios",0.016,0.064,0.816,0.014,0.035
"P26","Al candidato del Frente de Izquierda",0.021,0.003,0.006,0.72,0.006
"P26","No sabe",0.143,0.107,0.024,0.094,0.552
"P27","Alberto Fernández por el Frente de Todos",0.907,0.018,0.005,0.057,0.086
"P27","Mauricio Macri por Juntos por el Cambio",0.015,0.825,0.144,0.038,0.215
"P27","Javier Milei por los liberales libertarios",0.005,0.051,0.828,0.01,0.022
"P27","Al candidato del Frente de Izquierda",0.012,0.007,0.007,0.802,0.013
"P27","No sabe",0.061,0.099,0.016,0.093,0.664
"P29","Sergio Massa por el Frente de Todos",0.848,0.024,0.013,0.213,0.185
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.907,0.035,0.025,0.061
"P29","Javier Milei por los liberales libertarios",0.01,0.022,0.938,0.019,0.027
"P29","Al candidato del Frente de Izquierda",0.019,0.001,0.006,0.696,0.014
"P29","No sabe",0.103,0.046,0.008,0.047,0.713
"P30","Sergio Massa por el Frente de Todos",0.768,0.086,0.014,0.155,0.205
"P30","Patricia Bullrich por Juntos por el Cambio",0.083,0.744,0.265,0.056,0.237
"P30","Javier Milei por los liberales libertarios",0.014,0.066,0.71,0,0.029
"P30","Al candidato del Frente de Izquierda",0.017,0.003,0.001,0.72,0.007
"P30","No sabe",0.118,0.101,0.01,0.069,0.522
"P32","Alberto Fernández por el Frente de Todos",0.851,0.104,0.03,0.061,0.094
"P32","Patricia Bullrich por Juntos por el Cambio",0.076,0.705,0.249,0.048,0.251
"P32","Javier Milei por los liberales libertarios",0.003,0.073,0.714,0,0.04
"P32","Al candidato del Frente de Izquierda",0.016,0.014,0,0.826,0.015
"P32","No sabe",0.054,0.104,0.007,0.065,0.6
"P34","Sergio Massa por el Frente de Todos",0.871,0.05,0.067,0.605,0.309
"P34","Mauricio Macri por Juntos por el Cambio",0.031,0.85,0.607,0.07,0.247
"P34","No sabe",0.098,0.1,0.326,0.325,0.444
"P35","Sergio Massa",0.881,0.035,0.08,0.621,0.311
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.909,0.482,0.038,0.198
"P35","No sabe",0.097,0.056,0.438,0.341,0.491
"P36","Alberto Fernández por el Frente de Todos",0.952,0.016,0.039,0.569,0.218
"P36","Mauricio Macri por Juntos por el Cambio",0.022,0.888,0.664,0.056,0.247
"P36","No sabe",0.026,0.096,0.297,0.375,0.535
"P37","Alberto Fernández",0.935,0.017,0.054,0.632,0.19
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.935,0.507,0.048,0.196
"P37","No sabe",0.041,0.048,0.439,0.32,0.614
"P38","Sergio Massa por el Frente de Todos",0.911,0.044,0.063,0.669,0.303
"P38","Patricia Bullrich por Juntos por el Cambio",0.028,0.87,0.699,0.058,0.296
"P38","No sabe",0.061,0.086,0.238,0.273,0.401
"P39","Alberto Fernández por el Frente de Todos",0.96,0.025,0.031,0.641,0.232
"P39","Patricia Bullrich por Juntos por el Cambio",0.011,0.894,0.739,0.067,0.344
"P39","No sabe",0.029,0.081,0.23,0.292,0.424
"P40","Mauricio Macri por Juntos por el Cambio",0.119,0.756,0.142,0.106,0.234
"P40","Javier Milei por los liberales libertarios",0.049,0.149,0.795,0.035,0.114
"P40","No sabe",0.832,0.095,0.063,0.859,0.652
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.085,0.886,0.082,0.14,0.182
"P41","Javier Milei por los liberales libertarios",0.05,0.049,0.881,0.011,0.12
"P41","No sabe",0.865,0.065,0.037,0.849,0.698
"P42","Patricia Bullrich por Juntos por el Cambio",0.034,0.822,0.23,0.142,0.301
"P42","Javier Milei por los liberales libertarios",0.063,0.086,0.72,0.015,0.08
"P42","No sabe",0.903,0.092,0.05,0.843,0.619
"P43","Muy buena",0.141,0.096,0.026,0.098,0.076
"P43","Buena",0.388,0.03,0.088,0.073,0.098
"P43","Ni buena ni mala",0.393,0.029,0.026,0.386,0.301
"P43","Mala",0.058,0.101,0.092,0.323,0.139
"P43","Muy mala",0.019,0.735,0.762,0.12,0.378
"P43","No sabe",0.001,0.009,0.006,0,0.008
"P44","Muy buena",0.167,0.021,0.003,0.035,0.013
"P44","Buena",0.418,0.017,0.007,0.068,0.077
"P44","Ni buena ni mala",0.313,0.028,0.05,0.306,0.302
"P44","Mala",0.078,0.103,0.098,0.46,0.147
"P44","Muy mala",0.022,0.822,0.84,0.131,0.448
"P44","No sabe",0.002,0.009,0.002,0,0.013
"P45","Muy buena",0.686,0.024,0.016,0.399,0.235
"P45","Buena",0.185,0.003,0.013,0.177,0.066
"P45","Ni buena ni mala",0.07,0.022,0.018,0.136,0.128
"P45","Mala",0.025,0.045,0.061,0.132,0.08
"P45","Muy mala",0.026,0.901,0.892,0.156,0.465
"P45","No sabe",0.008,0.005,0,0,0.026
"P46","Muy buena",0.068,0.317,0.093,0.071,0.145
"P46","Buena",0.025,0.308,0.217,0.029,0.082
"P46","Ni buena ni mala",0.055,0.214,0.248,0.051,0.139
"P46","Mala",0.165,0.047,0.181,0.118,0.141
"P46","Muy mala",0.681,0.113,0.253,0.69,0.459
"P46","No sabe",0.006,0.001,0.008,0.041,0.034
"P47","Muy buena",0.009,0.303,0.057,0.018,0.043
"P47","Buena",0.01,0.474,0.214,0.04,0.124
"P47","Ni buena ni mala",0.112,0.173,0.268,0.104,0.289
"P47","Mala",0.259,0.022,0.182,0.288,0.17
"P47","Muy mala",0.578,0.017,0.272,0.544,0.326
"P47","No sabe",0.032,0.011,0.007,0.006,0.048
"P48","Muy buena",0.194,0.048,0.033,0.034,0.071
"P48","Buena",0.371,0.091,0.052,0.115,0.149
"P48","Ni buena ni mala",0.26,0.099,0.083,0.289,0.234
"P48","Mala",0.067,0.188,0.17,0.291,0.14
"P48","Muy mala",0.08,0.571,0.646,0.254,0.355
"P48","No sabe",0.028,0.003,0.016,0.017,0.051
"P49","Muy buena",0.016,0.445,0.308,0.033,0.18
"P49","Buena",0.052,0.257,0.248,0.027,0.162
"P49","Ni buena ni mala",0.066,0.151,0.201,0.076,0.148
"P49","Mala",0.117,0.05,0.091,0.138,0.067
"P49","Muy mala",0.715,0.089,0.145,0.717,0.395
"P49","No sabe",0.034,0.008,0.007,0.009,0.048
"P50","Muy buena",0.008,0.084,0.522,0,0.05
"P50","Buena",0.017,0.17,0.293,0.015,0.068
"P50","Ni buena ni mala",0.076,0.372,0.125,0.058,0.277
"P50","Mala",0.16,0.175,0.013,0.113,0.14
"P50","Muy mala",0.69,0.165,0.047,0.814,0.416
"P50","No sabe",0.049,0.034,0,0,0.049
"P51","Muy buena",0.007,0.282,0.119,0.009,0.054
"P51","Buena",0.018,0.404,0.24,0.088,0.173
"P51","Ni buena ni mala",0.046,0.205,0.266,0.059,0.219
"P51","Mala",0.161,0.049,0.145,0.224,0.119
"P51","Muy mala",0.724,0.041,0.225,0.613,0.385
"P51","No sabe",0.044,0.019,0.005,0.007,0.05
"P52","Muy buena",0.015,0.123,0.056,0.015,0.077
"P52","Buena",0.079,0.212,0.151,0.075,0.111
"P52","Ni buena ni mala",0.387,0.372,0.34,0.362,0.378
"P52","Mala",0.165,0.149,0.137,0.292,0.11
"P52","Muy mala",0.282,0.084,0.254,0.244,0.218
"P52","No sabe",0.072,0.06,0.062,0.012,0.106
"P53","Siempre",0.357,0.298,0.294,0.255,0.285
"P53","Casi siempre",0.406,0.455,0.345,0.527,0.43
"P53","Casi nunca",0.149,0.172,0.277,0.125,0.197
"P53","Nunca, pero esta es una excepción",0.088,0.075,0.084,0.093,0.088
"P54","Si",0.629,0.563,0.629,0.519,0.515
"P54","No",0.371,0.437,0.371,0.481,0.485
