"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P12","A Horacio Rodriguez Larreta",0.245,0.196,0.418
"P12","A Mauricio Macri",0.142,0.341,0.279
"P12","A Patricia Bullrich",0.066,0.401,0.006
"P12","A Facundo Manes",0.345,0.028,0.181
"P12","A Gerardo Morales",0.202,0.034,0.116
"P13","Seguro lo votaria",0.05,0.127,0.219
"P13","Quizás lo votaría",0.069,0.34,0.183
"P13","Nunca lo votaría",0.881,0.533,0.598
"P14","Lo votaría",0.015,0.419,0.065
"P14","Puede que lo vote",0.044,0.338,0.144
"P14","Nunca lo votaría",0.855,0.195,0.631
"P14","No sabe",0.086,0.048,0.16
"P15","Lo votaría",0.314,0.07,0.101
"P15","Puede que lo vote",0.413,0.048,0.138
"P15","Nunca lo votaría",0.19,0.861,0.608
"P15","No sabe",0.083,0.021,0.153
"P16","Lo votaría",0.24,0.011,0.034
"P16","Puede que lo vote",0.519,0.019,0.112
"P16","Nunca lo votaría",0.129,0.963,0.746
"P16","No sabe",0.112,0.007,0.108
"P17","La votaría",0.774,0.009,0.166
"P17","Puede que la vote",0.116,0.011,0.086
"P17","Nunca la votaría",0.086,0.973,0.679
"P17","No sabe",0.024,0.007,0.069
"P18","Lo votaría",0.102,0.212,0.07
"P18","Puede que lo vote",0.046,0.418,0.193
"P18","Nunca lo votaría",0.803,0.336,0.63
"P18","No sabe",0.049,0.034,0.107
"P19","Lo votaría",0.026,0.111,0.08
"P19","Puede que lo vote",0.169,0.311,0.232
"P19","Nunca lo votaría",0.689,0.485,0.523
"P19","No sabe",0.116,0.093,0.165
"P20","La votaría",0.012,0.54,0.028
"P20","Puede que la vote",0.04,0.339,0.157
"P20","Nunca la votaría",0.915,0.093,0.68
"P20","No sabe",0.033,0.028,0.135
"P21","Lo votaría",0.018,0.303,0.246
"P21","Puede que lo vote",0.04,0.291,0.121
"P21","Nunca lo votaría",0.911,0.359,0.507
"P21","No sabe",0.031,0.047,0.126
"P22","La votaría",0.013,0.224,0.085
"P22","Puede que la vote",0.024,0.381,0.124
"P22","Nunca la votaría",0.899,0.319,0.671
"P22","No sabe",0.064,0.076,0.12
"P23","Mauricio Macri por Juntos por el Cambio",0.012,0.212,0.032
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.105,0.066
"P23","Patricia Bullrich por Juntos por el Cambio",0.005,0.384,0.024
"P23","María Eugenia Vidal por Juntos por el Cambio",0.001,0.048,0.024
"P23","Facundo Manes por Juntos por el Cambio",0.019,0.04,0.099
"P23","Alberto Fernández por el Frente de Todos",0.308,0.005,0.053
"P23","Sergio Massa por el Frente de Todos",0.44,0.006,0.113
"P23","Javier Milei por los liberales libertarios",0.007,0.183,0.286
"P23","Al candidato del Frente de Izquierda",0.074,0.004,0.061
"P23","No sabe",0.122,0.013,0.242
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.204,0.105
"P24","Mauricio Macri por Juntos por el Cambio",0.01,0.409,0.03
"P24","Alberto Fernández por el Frente de Todos",0.275,0.036,0.036
"P24","Sergio Massa por el Frente de Todos",0.468,0.015,0.139
"P24","Javier Milei por los liberales libertarios",0.017,0.262,0.317
"P24","Al candidato del Frente de Izquierda",0.088,0.017,0.057
"P24","No sabe",0.13,0.057,0.316
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.189,0.1
"P25","Patricia Bullrich por Juntos por el Cambio",0.01,0.524,0.023
"P25","Alberto Fernández por el Frente de Todos",0.281,0.009,0.048
"P25","Sergio Massa por el Frente de Todos",0.514,0.007,0.142
"P25","Javier Milei por los liberales libertarios",0.013,0.239,0.315
"P25","Al candidato del Frente de Izquierda",0.069,0.002,0.065
"P25","No sabe",0.099,0.03,0.307
"P26","Sergio Massa por el Frente de Todos",0.71,0.014,0.175
"P26","Mauricio Macri por Juntos por el Cambio",0.031,0.581,0.062
"P26","Javier Milei por los liberales libertarios",0.024,0.306,0.335
"P26","Al candidato del Frente de Izquierda",0.087,0.007,0.056
"P26","No sabe",0.148,0.092,0.372
"P27","Alberto Fernández por el Frente de Todos",0.745,0.012,0.042
"P27","Mauricio Macri por Juntos por el Cambio",0.015,0.61,0.066
"P27","Javier Milei por los liberales libertarios",0.023,0.297,0.33
"P27","Al candidato del Frente de Izquierda",0.098,0.006,0.074
"P27","No sabe",0.119,0.075,0.488
"P28","Alberto Fernández por el Frente de Todos",0.737,0.005,0.04
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.539,0.149
"P28","Javier Milei por los liberales libertarios",0.024,0.341,0.322
"P28","Al candidato del Frente de Izquierda",0.09,0.005,0.075
"P28","No sabe",0.124,0.11,0.414
"P29","Sergio Massa por el Frente de Todos",0.751,0.011,0.133
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.544,0.114
"P29","Javier Milei por los liberales libertarios",0.025,0.339,0.316
"P29","Al candidato del Frente de Izquierda",0.073,0.008,0.072
"P29","No sabe",0.128,0.098,0.365
"P30","Sergio Massa por el Frente de Todos",0.703,0.035,0.165
"P30","Patricia Bullrich por Juntos por el Cambio",0.056,0.663,0.014
"P30","Javier Milei por los liberales libertarios",0.027,0.246,0.338
"P30","Al candidato del Frente de Izquierda",0.083,0.002,0.063
"P30","No sabe",0.131,0.054,0.42
"P32","Alberto Fernández por el Frente de Todos",0.701,0.073,0.053
"P32","Patricia Bullrich por Juntos por el Cambio",0.058,0.629,0.018
"P32","Javier Milei por los liberales libertarios",0.024,0.251,0.355
"P32","Al candidato del Frente de Izquierda",0.099,0.002,0.095
"P32","No sabe",0.118,0.045,0.479
"P34","Sergio Massa por el Frente de Todos",0.875,0.023,0.199
"P34","Mauricio Macri por Juntos por el Cambio",0.019,0.845,0.13
"P34","No sabe",0.106,0.132,0.671
"P35","Sergio Massa",0.881,0.025,0.195
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.782,0.178
"P35","No sabe",0.099,0.193,0.627
"P36","Alberto Fernández por el Frente de Todos",0.927,0.01,0.063
"P36","Mauricio Macri por Juntos por el Cambio",0.026,0.874,0.148
"P36","No sabe",0.047,0.116,0.789
"P37","Alberto Fernández",0.909,0.017,0.064
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.79,0.2
"P37","No sabe",0.053,0.193,0.736
"P38","Sergio Massa por el Frente de Todos",0.921,0.016,0.179
"P38","Patricia Bullrich por Juntos por el Cambio",0.014,0.941,0.031
"P38","No sabe",0.065,0.043,0.79
"P40","Mauricio Macri por Juntos por el Cambio",0.124,0.56,0.08
"P40","Javier Milei por los liberales libertarios",0.06,0.378,0.309
"P40","No sabe",0.816,0.062,0.611
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.105,0.564,0.159
"P41","Javier Milei por los liberales libertarios",0.058,0.35,0.351
"P41","No sabe",0.837,0.086,0.49
"P42","Patricia Bullrich por Juntos por el Cambio",0.03,0.689,0.041
"P42","Javier Milei por los liberales libertarios",0.078,0.263,0.409
"P42","No sabe",0.892,0.048,0.55
"P43","Muy buena",0.115,0.088,0.03
"P43","Buena",0.343,0.036,0.106
"P43","Ni buena ni mala",0.416,0.015,0.228
"P43","Mala",0.098,0.082,0.184
"P43","Muy mala",0.026,0.776,0.43
"P43","No sabe",0.002,0.003,0.022
"P44","Muy buena",0.138,0.009,0.021
"P44","Buena",0.354,0.007,0.054
"P44","Ni buena ni mala",0.342,0.022,0.241
"P44","Mala",0.141,0.079,0.202
"P44","Muy mala",0.023,0.875,0.475
"P44","No sabe",0.002,0.008,0.007
"P45","Muy buena",0.641,0.012,0.158
"P45","Buena",0.169,0.004,0.073
"P45","Ni buena ni mala",0.099,0.01,0.112
"P45","Mala",0.038,0.046,0.107
"P45","Muy mala",0.043,0.925,0.534
"P45","No sabe",0.01,0.003,0.016
"P46","Muy buena",0.075,0.257,0.04
"P46","Buena",0.023,0.298,0.039
"P46","Ni buena ni mala",0.061,0.221,0.181
"P46","Mala",0.149,0.087,0.208
"P46","Muy mala",0.681,0.135,0.494
"P46","No sabe",0.011,0.002,0.038
"P47","Muy buena",0.024,0.195,0.056
"P47","Buena",0.03,0.361,0.158
"P47","Ni buena ni mala",0.118,0.245,0.194
"P47","Mala",0.246,0.104,0.134
"P47","Muy mala",0.557,0.084,0.414
"P47","No sabe",0.025,0.011,0.044
"P48","Muy buena",0.182,0.031,0.058
"P48","Buena",0.329,0.062,0.144
"P48","Ni buena ni mala",0.278,0.085,0.199
"P48","Mala",0.091,0.175,0.19
"P48","Muy mala",0.09,0.64,0.364
"P48","No sabe",0.03,0.007,0.045
"P49","Muy buena",0.015,0.46,0.02
"P49","Buena",0.044,0.295,0.075
"P49","Ni buena ni mala",0.076,0.135,0.268
"P49","Mala",0.12,0.031,0.172
"P49","Muy mala",0.71,0.077,0.41
"P49","No sabe",0.035,0.002,0.055
"P50","Muy buena",0.013,0.249,0.178
"P50","Buena",0.02,0.222,0.11
"P50","Ni buena ni mala",0.078,0.296,0.195
"P50","Mala",0.148,0.117,0.096
"P50","Muy mala",0.702,0.097,0.374
"P50","No sabe",0.039,0.019,0.047
"P51","Muy buena",0.007,0.219,0.064
"P51","Buena",0.022,0.369,0.123
"P51","Ni buena ni mala",0.057,0.243,0.198
"P51","Mala",0.155,0.093,0.128
"P51","Muy mala",0.714,0.069,0.436
"P51","No sabe",0.045,0.007,0.051
"P52","Muy buena",0.015,0.093,0.09
"P52","Buena",0.08,0.194,0.101
"P52","Ni buena ni mala",0.397,0.366,0.321
"P52","Mala",0.169,0.154,0.102
"P52","Muy mala",0.269,0.144,0.258
"P52","No sabe",0.07,0.049,0.128
"P53","Siempre",0.333,0.319,0.224
"P53","Casi siempre",0.412,0.42,0.406
"P53","Casi nunca",0.163,0.193,0.257
"P53","Nunca, pero esta es una excepción",0.092,0.068,0.113
"P54","Si",0.601,0.599,0.515
"P54","No",0.399,0.401,0.485
