"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Mauricio Macri por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P47","No sabe",0,0.015,0.026,0.018,0.02,0,0.063
"P48","Muy buena",0.07,0.027,0.093,0.286,0.009,0.041,0.028
"P48","Buena",0.078,0.072,0.235,0.414,0.053,0.141,0.137
"P48","Ni buena ni mala",0.09,0.08,0.283,0.18,0.098,0.345,0.298
"P48","Mala",0.246,0.146,0.136,0.05,0.191,0.204,0.141
"P48","Muy mala",0.509,0.669,0.212,0.066,0.621,0.264,0.333
"P48","No sabe",0.007,0.006,0.041,0.004,0.028,0.005,0.063
"P49","Muy buena",0.31,0.579,0.073,0.04,0.248,0.121,0.093
"P49","Buena",0.308,0.227,0.102,0.067,0.251,0.049,0.132
"P49","Ni buena ni mala",0.176,0.101,0.091,0.054,0.258,0.045,0.18
"P49","Mala",0.066,0.02,0.137,0.114,0.088,0.094,0.104
"P49","Muy mala",0.12,0.071,0.555,0.702,0.144,0.691,0.433
"P49","No sabe",0.02,0.002,0.042,0.023,0.011,0,0.058
"P50","Muy buena",0.114,0.111,0.055,0.022,0.549,0.106,0.007
"P50","Buena",0.163,0.219,0.032,0.027,0.261,0.034,0.077
"P50","Ni buena ni mala",0.309,0.384,0.151,0.105,0.1,0.063,0.248
"P50","Mala",0.173,0.159,0.188,0.128,0.017,0.064,0.139
"P50","Muy mala",0.208,0.092,0.52,0.699,0.072,0.733,0.457
"P50","No sabe",0.033,0.035,0.054,0.019,0.001,0,0.072
"P51","Muy buena",0.315,0.246,0.024,0.016,0.111,0.012,0.04
"P51","Buena",0.374,0.41,0.072,0.028,0.219,0.182,0.145
"P51","Ni buena ni mala",0.223,0.224,0.074,0.068,0.25,0.068,0.223
"P51","Mala",0.039,0.054,0.168,0.147,0.183,0.227,0.084
"P51","Muy mala",0.031,0.044,0.612,0.715,0.228,0.511,0.449
"P51","No sabe",0.018,0.022,0.05,0.026,0.009,0,0.059
"P52","Muy buena",0.172,0.058,0.031,0.036,0.062,0.002,0.092
"P52","Buena",0.257,0.181,0.073,0.111,0.125,0.153,0.089
"P52","Ni buena ni mala",0.337,0.369,0.409,0.391,0.344,0.38,0.367
"P52","Mala",0.089,0.191,0.157,0.148,0.134,0.27,0.116
"P52","Muy mala",0.06,0.154,0.263,0.27,0.255,0.187,0.201
"P52","No sabe",0.085,0.047,0.067,0.044,0.08,0.008,0.135
"P53","Siempre",0.335,0.317,0.403,0.32,0.266,0.286,0.229
"P53","Casi siempre",0.442,0.46,0.303,0.46,0.37,0.456,0.404
"P53","Casi nunca",0.167,0.16,0.202,0.13,0.275,0.163,0.251
"P53","Nunca, pero esta es una excepción",0.056,0.063,0.092,0.09,0.089,0.095,0.116
"P54","Si",0.61,0.548,0.693,0.57,0.642,0.509,0.488
"P54","No",0.39,0.452,0.307,0.43,0.358,0.491,0.512
