"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.094,0.248,0.172,0.281
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.045,0.144,0.257,0.138
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.056,0.001,0.05,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.004,0.025,0.02
"P18","Otros",0.032,0.007,0.03,0.094
"P18","En blanco",0.004,0.011,0.123,0.031
"P18","No sabe",0.008,0.017,0.02,0.144
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.417,0.027,0.14,0.037
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.106,0.448,0.2,0.169
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.136,0.268,0.12,0.283
"P21","Ramiro Marra por la Libertad Avanza",0.067,0.155,0.283,0.104
"P21","Vanina Biasi por el Frente de Izquierda",0.128,0.025,0.051,0.085
"P21","Otros",0.084,0.03,0.043,0.054
"P21","En blanco",0.036,0.028,0.084,0.078
"P21","No sabe",0.026,0.019,0.079,0.19
"P25","Totalmente seguro",0.696,0.67,0.71,0.348
"P25","Bastante seguro",0.218,0.192,0.09,0.129
"P25","Algo seguro",0.068,0.08,0.067,0.313
"P25","Para nada seguro",0.018,0.058,0.133,0.21
"P26","Tiene Decidido que va a ir a votar",0.93,0.882,0.908,0.693
"P26","Tiene dudas sobre si va a ir a  votar",0.038,0.085,0.031,0.077
"P26","Tiene Decidido que no va a ir a votar",0.032,0.033,0.061,0.23
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.795,0.024,0.202,0.066
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.047,0.728,0.084,0.075
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.06,0.202,0.376,0.262
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.053,0.011,0.177,0.095
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.01,0.038,0.051
"P27","Otros",0.032,0.013,0.061,0.212
"P27","En blanco",0.002,0.001,0.044,0.041
"P27","No sabe",0.008,0.011,0.018,0.198
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.751,0.03,0.219,0.046
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.108,0.572,0.122,0.257
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.058,0.286,0.339,0.223
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.06,0.002,0.151,0.062
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0.015,0.068,0.02
"P28","Otros",0.015,0.026,0.03,0.127
"P28","En blanco",0,0.043,0.071,0.031
"P28","No sabe",0.008,0.026,0,0.234
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.759,0.021,0.182,0.153
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.097,0.721,0.187,0.122
"P29","Ramiro Marra por la Libertad Avanza",0.055,0.156,0.402,0.107
"P29","Vanina Biasi por el Frente de Izquierda",0.033,0.018,0.101,0.155
"P29","Otros",0.026,0.041,0.051,0.237
"P29","En blanco",0.025,0.019,0.039,0
"P29","No sabe",0.005,0.024,0.038,0.226
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.707,0.033,0.134,0.162
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.21,0.668,0.181,0.31
"P30","Ramiro Marra por la Libertad Avanza",0.043,0.189,0.44,0.127
"P30","Vanina Biasi por el Frente de Izquierda",0.031,0,0.101,0.07
"P30","Otros",0.005,0.028,0.065,0.142
"P30","En blanco",0,0.035,0.057,0.035
"P30","No sabe",0.004,0.047,0.022,0.154
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.18,0.724,0.169,0.264
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.066,0.254,0.275,0.143
"P34","En blanco",0.629,0.011,0.489,0.11
"P34","No sabe",0.125,0.011,0.067,0.483
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.832,0.051,0.165,0.077
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.123,0.715,0.157,0.277
"P35","En blanco",0.039,0.164,0.635,0.135
"P35","No sabe",0.006,0.07,0.043,0.511
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.281,0.575,0.167,0.234
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.035,0.356,0.303,0.176
"P36","En blanco",0.58,0.028,0.505,0.081
"P36","No sabe",0.104,0.041,0.025,0.509
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.872,0.106,0.281,0.113
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.048,0.518,0.305,0.146
"P37","En blanco",0.052,0.195,0.337,0.029
"P37","No sabe",0.028,0.181,0.077,0.712
"P38","Lo votaría",0.739,0.053,0.291,0.073
"P38","Puede que lo vote",0.187,0.149,0.094,0.262
"P38","Nunca lo votaría",0.055,0.769,0.483,0.362
"P38","No sabe",0.019,0.029,0.132,0.303
"P39","Lo votaría",0.479,0.016,0.258,0.192
"P39","Puede que lo vote",0.27,0.068,0.101,0.104
"P39","Nunca lo votaría",0.205,0.904,0.565,0.606
"P39","No sabe",0.046,0.012,0.076,0.098
"P40","Lo votaría",0.123,0.681,0.278,0.195
"P40","Puede que lo vote",0.087,0.16,0.167,0.146
"P40","Nunca lo votaría",0.756,0.152,0.483,0.499
"P40","No sabe",0.034,0.007,0.072,0.16
"P41","Lo votaría",0.117,0.492,0.118,0.37
"P41","Puede que lo vote",0.156,0.309,0.221,0.13
"P41","Nunca lo votaría",0.696,0.174,0.59,0.353
"P41","No sabe",0.031,0.025,0.071,0.147
"P42","Lo votaría",0.055,0.335,0.298,0.194
"P42","Puede que lo vote",0.072,0.292,0.038,0.103
"P42","Nunca lo votaría",0.859,0.335,0.563,0.618
"P42","No sabe",0.014,0.038,0.101,0.085
"P43","Lo votaría",0.124,0.034,0.251,0.125
"P43","Puede que lo vote",0.403,0.056,0.142,0.191
"P43","Nunca lo votaría",0.424,0.881,0.593,0.581
"P43","No sabe",0.049,0.029,0.014,0.103
"P44","Lo votaría",0.042,0.037,0.116,0.023
"P44","Puede que lo vote",0.208,0.121,0.11,0.11
"P44","Nunca lo votaría",0.648,0.791,0.698,0.624
"P44","No sabe",0.102,0.051,0.076,0.243
"P52","Si",0.518,0.474,0.609,0.284
"P52","No",0.482,0.526,0.391,0.716
