"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P29","Otros",0.025,0.046,0.063,0.099
"P29","En blanco",0.013,0.006,0.096,0.021
"P29","No sabe",0.008,0.009,0.018,0.122
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.646,0.029,0.137,0.019
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.275,0.476,0.547,0.681
"P30","Ramiro Marra por la Libertad Avanza",0.017,0.424,0.065,0.03
"P30","Vanina Biasi por el Frente de Izquierda",0.037,0,0.072,0.019
"P30","Otros",0.007,0.03,0.038,0.08
"P30","En blanco",0.002,0.022,0.094,0.032
"P30","No sabe",0.016,0.019,0.047,0.139
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.81,0.064,0.144,0.085
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.116,0.818,0.627,0.64
"P33","En blanco",0.063,0.098,0.221,0.056
"P33","No sabe",0.011,0.02,0.008,0.219
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.216,0.52,0.673,0.703
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.075,0.459,0.021,0.042
"P34","En blanco",0.587,0.008,0.298,0.054
"P34","No sabe",0.122,0.013,0.008,0.201
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.778,0.051,0.106,0.057
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.166,0.554,0.603,0.627
"P35","En blanco",0.045,0.329,0.254,0.049
"P35","No sabe",0.011,0.066,0.037,0.267
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.339,0.314,0.589,0.6
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.048,0.618,0.014,0.093
"P36","En blanco",0.52,0.045,0.376,0.046
"P36","No sabe",0.093,0.023,0.021,0.261
"P38","Lo votaría",0.711,0.03,0.137,0.084
"P38","Puede que lo vote",0.195,0.142,0.081,0.195
"P38","Nunca lo votaría",0.068,0.813,0.72,0.56
"P38","No sabe",0.026,0.015,0.062,0.161
"P39","Lo votaría",0.466,0.016,0.102,0.064
"P39","Puede que lo vote",0.256,0.083,0.066,0.059
"P39","Nunca lo votaría",0.24,0.897,0.78,0.798
"P39","No sabe",0.038,0.004,0.052,0.079
"P40","Lo votaría",0.161,0.529,0.677,0.622
"P40","Puede que lo vote",0.106,0.231,0.065,0.056
"P40","Nunca lo votaría",0.701,0.224,0.21,0.288
"P40","No sabe",0.032,0.016,0.048,0.034
"P41","Lo votaría",0.143,0.309,0.499,0.61
"P41","Puede que lo vote",0.176,0.369,0.172,0.181
"P41","Nunca lo votaría",0.652,0.3,0.281,0.126
"P41","No sabe",0.029,0.022,0.048,0.083
"P42","Lo votaría",0.056,0.548,0.052,0.153
"P42","Puede que lo vote",0.074,0.368,0.107,0.123
"P42","Nunca lo votaría",0.86,0.064,0.785,0.586
"P42","No sabe",0.01,0.02,0.056,0.138
"P43","Lo votaría",0.105,0.108,0.095,0.024
"P43","Puede que lo vote",0.41,0.046,0.017,0.111
"P43","Nunca lo votaría",0.439,0.836,0.879,0.751
"P43","No sabe",0.046,0.01,0.009,0.114
"P44","Lo votaría",0.064,0.035,0.033,0.023
"P44","Puede que lo vote",0.224,0.103,0.101,0.095
"P44","Nunca lo votaría",0.614,0.826,0.797,0.739
"P44","No sabe",0.098,0.036,0.069,0.143
"P52","Si",0.519,0.496,0.477,0.44
"P52","No",0.481,0.504,0.523,0.56
