"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.043,0.69,0.269,0.491
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.039,0.145,0.475,0.162
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.071,0.015,0.091,0.031
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.016,0.018,0.011,0
"P27","Otros",0.029,0.032,0.019,0.119
"P27","En blanco",0,0.004,0.028,0.02
"P27","No sabe",0.01,0.02,0,0.072
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.802,0.037,0.096,0.064
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.068,0.701,0.084,0.276
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.043,0.155,0.582,0.274
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.065,0.006,0.096,0.011
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.029,0.019,0
"P28","Otros",0.015,0.03,0.011,0.134
"P28","En blanco",0,0.023,0.099,0.05
"P28","No sabe",0.005,0.019,0.013,0.191
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.795,0.039,0.075,0.132
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.066,0.74,0.265,0.397
"P29","Ramiro Marra por la Libertad Avanza",0.063,0.075,0.51,0.133
"P29","Vanina Biasi por el Frente de Izquierda",0.051,0.026,0.064,0.023
"P29","Otros",0.016,0.059,0.025,0.129
"P29","En blanco",0.004,0.041,0.038,0
"P29","No sabe",0.005,0.02,0.023,0.186
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.771,0.016,0.082,0.032
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.143,0.787,0.142,0.359
"P30","Ramiro Marra por la Libertad Avanza",0.035,0.097,0.564,0.154
"P30","Vanina Biasi por el Frente de Izquierda",0.037,0.01,0.064,0.023
"P30","Otros",0.005,0.04,0.015,0.138
"P30","En blanco",0.004,0.013,0.098,0.045
"P30","No sabe",0.005,0.037,0.035,0.249
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.886,0.12,0.097,0.042
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.063,0.814,0.482,0.532
"P33","En blanco",0.042,0.037,0.385,0.069
"P33","No sabe",0.009,0.029,0.036,0.357
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.177,0.726,0.3,0.468
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.052,0.207,0.393,0.226
"P34","En blanco",0.64,0.046,0.257,0.091
"P34","No sabe",0.131,0.021,0.05,0.215
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.251,0.698,0.079,0.173
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.039,0.271,0.51,0.223
"P36","En blanco",0.595,0.016,0.397,0.091
"P36","No sabe",0.115,0.015,0.014,0.513
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.897,0.176,0.121,0.069
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.041,0.403,0.606,0.302
"P37","En blanco",0.042,0.218,0.233,0.085
"P37","No sabe",0.02,0.203,0.04,0.544
"P38","Lo votaría",0.787,0.086,0.093,0.066
"P38","Puede que lo vote",0.136,0.206,0.123,0.15
"P38","Nunca lo votaría",0.044,0.677,0.728,0.604
"P38","No sabe",0.033,0.031,0.056,0.18
"P39","Lo votaría",0.536,0.019,0.082,0.117
"P39","Puede que lo vote",0.253,0.073,0.133,0.129
"P39","Nunca lo votaría",0.163,0.899,0.751,0.628
"P39","No sabe",0.048,0.009,0.034,0.126
"P40","Lo votaría",0.151,0.612,0.381,0.576
"P40","Puede que lo vote",0.063,0.178,0.2,0.063
"P40","Nunca lo votaría",0.755,0.201,0.374,0.237
"P40","No sabe",0.031,0.009,0.045,0.124
"P41","Lo votaría",0.078,0.6,0.057,0.288
"P41","Puede que lo vote",0.126,0.337,0.202,0.273
"P41","Nunca lo votaría",0.76,0.05,0.693,0.272
"P41","No sabe",0.036,0.013,0.048,0.167
"P42","Lo votaría",0.068,0.227,0.517,0.261
"P42","Puede que lo vote",0.045,0.338,0.077,0.095
"P42","Nunca lo votaría",0.876,0.4,0.359,0.476
"P42","No sabe",0.011,0.035,0.047,0.168
"P43","Lo votaría",0.126,0.055,0.147,0.024
"P43","Puede que lo vote",0.44,0.058,0.087,0.094
"P43","Nunca lo votaría",0.382,0.874,0.757,0.676
"P43","No sabe",0.052,0.013,0.009,0.206
"P44","Lo votaría",0.051,0.056,0.023,0
"P44","Puede que lo vote",0.186,0.153,0.095,0.123
"P44","Nunca lo votaría",0.66,0.748,0.827,0.595
"P44","No sabe",0.103,0.043,0.055,0.282
"P52","Si",0.547,0.477,0.511,0.263
"P52","No",0.453,0.523,0.489,0.737
