"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P40","Puede que lo vote",0.135,0.282,0.042,0.006
"P40","Nunca lo votaría",0.265,0.252,0.768,0.62
"P40","No sabe",0.019,0.015,0.035,0.106
"P41","Lo votaría",0.631,0.145,0.022,0.107
"P41","Puede que lo vote",0.231,0.457,0.067,0.206
"P41","Nunca lo votaría",0.118,0.378,0.875,0.53
"P41","No sabe",0.02,0.02,0.036,0.157
"P42","Lo votaría",0.139,0.638,0.027,0.047
"P42","Puede que lo vote",0.278,0.246,0.006,0.045
"P42","Nunca lo votaría",0.56,0.092,0.929,0.791
"P42","No sabe",0.023,0.024,0.038,0.117
"P43","Lo votaría",0.072,0.086,0.133,0.087
"P43","Puede que lo vote",0.11,0.106,0.387,0.357
"P43","Nunca lo votaría",0.81,0.782,0.431,0.371
"P43","No sabe",0.008,0.026,0.049,0.185
"P44","Lo votaría",0.046,0.09,0.025,0
"P44","Puede que lo vote",0.2,0.089,0.136,0.192
"P44","Nunca lo votaría",0.679,0.792,0.757,0.556
"P44","No sabe",0.075,0.029,0.082,0.252
"P52","Si",0.517,0.474,0.552,0.286
"P52","No",0.483,0.526,0.448,0.714
