"var","categoria","Unión por la Patria","Juntos por el Cambio","Juntos Somos Río Negro","Liberales","Izquierda","Otro","No sabe"
"P41","No sabe",0.054,0.068,0.201,0.062,0.283,0.172,0.224
"P42","Lo votaría",0.066,0.18,0.263,0.086,0,0.181,0.13
"P42","Puede que lo vote",0.16,0.135,0.342,0.087,0.084,0.062,0.105
"P42","Nunca lo votaría",0.573,0.474,0.268,0.676,0.716,0.605,0.205
"P42","No sabe",0.201,0.211,0.127,0.151,0.2,0.152,0.56
"P43","Lo votaría",0.027,0.138,0.15,0.915,0.19,0.614,0.106
"P43","Puede que lo vote",0.053,0.279,0.25,0.018,0.067,0.097,0.148
"P43","Nunca lo votaría",0.897,0.476,0.584,0.067,0.687,0.289,0.387
"P43","No sabe",0.023,0.107,0.016,0,0.056,0,0.359
"P44","Lo votaría",0.09,0.027,0.048,0.11,0.312,0.134,0.128
"P44","Puede que lo vote",0.354,0.062,0.11,0.055,0.347,0.09,0.141
"P44","Nunca lo votaría",0.474,0.858,0.673,0.802,0.266,0.747,0.277
"P44","No sabe",0.082,0.053,0.169,0.033,0.075,0.029,0.454
"P45","Si",0.46,0.475,0.362,0.452,0.297,0.398,0.318
"P45","No",0.54,0.525,0.638,0.548,0.703,0.602,0.682
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.638,0.061,0.253,0.024,0.153,0.162,0.141
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.204,0.006,0.091,0.014,0.16,0.083,0.038
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.03,0.573,0.184,0.074,0.08,0.027,0.061
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.014,0.226,0.108,0.025,0.007,0.111,0.041
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.058,0.112,0.199,0.843,0.241,0.39,0.196
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.002,0.001,0.028,0.01,0.272,0.018,0.026
"PRESIDENTE","En blanco",0.01,0.016,0.093,0.004,0.023,0.072,0.127
"PRESIDENTE","No sabe",0.044,0.005,0.044,0.006,0.064,0.137,0.37
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.756,0.093,0.207,0.111,0.194,0.31,0.187
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.028,0.499,0.082,0.048,0.112,0.168,0.03
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.007,0.157,0.041,0.013,0.047,0.122,0.039
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.091,0.105,0.484,0.084,0.085,0.074,0.114
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.047,0.07,0.103,0.685,0.26,0.159,0.244
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.034,0,0.023,0.005,0.18,0.013,0.005
"DIPUTADOS","En blanco",0.012,0.026,0.008,0.027,0.013,0.036,0.131
"DIPUTADOS","No sabe",0.025,0.05,0.052,0.027,0.109,0.118,0.25
