"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.903,0.685,0.131,0.193,0.026,0.183,0.098,0.07
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.018,0.007,0.415,0.186,0.917,0.24,0.043,0.087
"P37","En blanco",0.051,0.119,0.245,0.303,0.038,0.272,0.438,0.333
"P37","No sabe",0.028,0.189,0.209,0.318,0.019,0.305,0.421,0.51
"P38","Lo votaría",0.955,0.577,0.063,0.101,0.033,0.049,0.062,0.069
"P38","Puede que lo vote",0.023,0.252,0.062,0.134,0.204,0.194,0.264,0.197
"P38","Nunca lo votaría",0.008,0.141,0.797,0.664,0.721,0.697,0.357,0.401
"P38","No sabe",0.014,0.03,0.078,0.101,0.042,0.06,0.317,0.333
"P39","Lo votaría",0.492,0.827,0.032,0.044,0.015,0.016,0.024,0.097
"P39","Puede que lo vote",0.303,0.112,0.033,0.032,0.084,0.141,0.083,0.219
"P39","Nunca lo votaría",0.153,0.05,0.871,0.902,0.796,0.782,0.333,0.272
"P39","No sabe",0.052,0.011,0.064,0.022,0.105,0.061,0.56,0.412
"P40","Lo votaría",0.081,0.088,0.835,0.357,0.204,0,0.187,0.038
"P40","Puede que lo vote",0.025,0.003,0.086,0.285,0.281,0.088,0.052,0.173
"P40","Nunca lo votaría",0.834,0.864,0.063,0.248,0.437,0.853,0.205,0.447
"P40","No sabe",0.06,0.045,0.016,0.11,0.078,0.059,0.556,0.342
"P41","Lo votaría",0.038,0.026,0.536,0.68,0.065,0,0.036,0.04
"P41","Puede que lo vote",0.059,0.085,0.293,0.248,0.196,0.035,0.065,0.218
"P41","Nunca lo votaría",0.818,0.82,0.116,0.036,0.631,0.939,0.154,0.415
"P41","No sabe",0.085,0.069,0.055,0.036,0.108,0.026,0.745,0.327
"P42","Lo votaría",0.105,0.028,0.182,0.256,0.075,0.05,0.223,0.219
"P42","Puede que lo vote",0.15,0.11,0.132,0.205,0.18,0.088,0.063,0.095
"P42","Nunca lo votaría",0.511,0.691,0.48,0.373,0.581,0.767,0.102,0.201
"P42","No sabe",0.234,0.171,0.206,0.166,0.164,0.095,0.612,0.485
"P43","Lo votaría",0.031,0.007,0.17,0.048,0.876,0.031,0.026,0.047
"P43","Puede que lo vote",0.053,0.064,0.299,0.178,0.076,0.052,0.206,0.231
"P43","Nunca lo votaría",0.855,0.853,0.485,0.662,0.021,0.805,0.433,0.451
"P43","No sabe",0.061,0.076,0.046,0.112,0.027,0.112,0.335,0.271
"P44","Lo votaría",0.079,0.104,0.006,0.038,0.137,0.65,0,0.165
"P44","Puede que lo vote",0.284,0.413,0.084,0.079,0.063,0.201,0.014,0.162
"P44","Nunca lo votaría",0.516,0.41,0.844,0.793,0.721,0.036,0.57,0.266
"P44","No sabe",0.121,0.073,0.066,0.09,0.079,0.113,0.416,0.407
"P45","Si",0.446,0.448,0.456,0.386,0.461,0.386,0.429,0.115
"P45","No",0.554,0.552,0.544,0.614,0.539,0.614,0.571,0.885
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.764,0.72,0.026,0.095,0.106,0.021,0,0.083
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.027,0.029,0.604,0.178,0.053,0.018,0.009,0.012
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0,0.026,0.076,0.415,0.021,0.046,0.006,0.02
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.148,0.058,0.152,0.212,0.089,0.13,0.506,0.21
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.018,0.027,0.063,0.024,0.662,0,0,0.035
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.015,0.062,0,0,0.002,0.603,0.013,0.019
"DIPUTADOS","En blanco",0.002,0.031,0.021,0.005,0.03,0,0.454,0.015
"DIPUTADOS","No sabe",0.026,0.047,0.058,0.071,0.037,0.182,0.012,0.606
