"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P29","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0.137,0.004,0.003,0,0.021,0.616,0.016,0.005
"P29","Otros",0.029,0.189,0.132,0.049,0.039,0.024,0.065,0.1,0.053
"P29","En blanco",0,0.017,0.032,0.008,0,0.007,0,0.196,0.149
"P29","No sabe",0.009,0.061,0.088,0.059,0.119,0.005,0.029,0.416,0.545
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.926,0.63,0.03,0.102,0.321,0.017,0.131,0.074,0.061
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.025,0.067,0.917,0.459,0.429,0.384,0.09,0.046,0.111
"P33","En blanco",0,0.121,0.017,0.156,0.045,0.307,0.325,0.457,0.11
"P33","No sabe",0.049,0.182,0.036,0.283,0.205,0.292,0.454,0.423,0.718
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.262,0.052,0.805,0.418,0.287,0.04,0.08,0.09,0.134
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.008,0.182,0.157,0.126,0.121,0.82,0.11,0.047,0.047
"P34","En blanco",0.447,0.477,0.033,0.172,0.059,0.101,0.472,0.406,0.282
"P34","No sabe",0.283,0.289,0.005,0.284,0.533,0.039,0.338,0.457,0.537
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.924,0.629,0.129,0.045,0.278,0.039,0.185,0.079,0.056
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.011,0.02,0.737,0.793,0.397,0.21,0.082,0.099,0.176
"P35","En blanco",0.021,0.222,0.068,0.099,0.118,0.472,0.473,0.376,0.208
"P35","No sabe",0.044,0.129,0.066,0.063,0.207,0.279,0.26,0.446,0.56
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.224,0.082,0.652,0.725,0.382,0.037,0.079,0.119,0.176
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.011,0.059,0.223,0.175,0.17,0.823,0,0.042,0.038
"P36","En blanco",0.56,0.629,0.075,0.012,0.284,0.074,0.576,0.38,0.233
"P36","No sabe",0.205,0.23,0.05,0.088,0.164,0.066,0.345,0.459,0.553
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.905,0.686,0.135,0.206,0.249,0.027,0.186,0.076,0.049
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.013,0.006,0.43,0.209,0.107,0.916,0.245,0.071,0.096
"P37","En blanco",0.053,0.117,0.218,0.318,0.375,0.038,0.278,0.398,0.318
"P37","No sabe",0.029,0.191,0.217,0.267,0.269,0.019,0.291,0.455,0.537
"P38","Lo votaría",0.978,0.582,0.066,0.115,0.12,0.033,0.05,0,0.048
"P38","Puede que lo vote",0.014,0.249,0.065,0.145,0.2,0.207,0.178,0.049,0.217
"P38","Nunca lo votaría",0.006,0.139,0.787,0.652,0.587,0.718,0.711,0.275,0.372
"P38","No sabe",0.002,0.03,0.082,0.088,0.093,0.042,0.061,0.676,0.363
"P39","Lo votaría",0.5,0.835,0.034,0.021,0.1,0.015,0.016,0.048,0.094
"P39","Puede que lo vote",0.308,0.107,0.032,0.036,0.079,0.085,0.124,0.087,0.24
"P39","Nunca lo votaría",0.149,0.047,0.867,0.92,0.648,0.794,0.797,0.188,0.215
"P39","No sabe",0.043,0.011,0.067,0.023,0.173,0.106,0.063,0.677,0.451
"P40","Lo votaría",0.084,0.089,0.833,0.407,0.281,0.204,0,0.021,0.042
"P40","Puede que lo vote",0.026,0,0.083,0.301,0.143,0.275,0.09,0.067,0.161
"P40","Nunca lo votaría",0.832,0.866,0.067,0.251,0.322,0.442,0.85,0.237,0.427
"P40","No sabe",0.058,0.045,0.017,0.041,0.254,0.079,0.06,0.675,0.37
"P41","Lo votaría",0.038,0.02,0.55,0.749,0.126,0.063,0,0.038,0.043
"P41","Puede que lo vote",0.056,0.083,0.274,0.199,0.333,0.195,0.035,0.089,0.209
"P41","Nunca lo votaría",0.819,0.827,0.118,0.041,0.275,0.632,0.938,0.198,0.393
"P41","No sabe",0.087,0.07,0.058,0.011,0.266,0.11,0.027,0.675,0.355
"P42","Lo votaría",0.081,0.022,0.142,0.193,0.727,0.063,0.031,0,0.146
"P42","Puede que lo vote",0.155,0.107,0.139,0.224,0.02,0.182,0.09,0.128,0.105
"P42","Nunca lo votaría",0.527,0.698,0.503,0.426,0.04,0.589,0.782,0.168,0.216
"P42","No sabe",0.237,0.173,0.216,0.157,0.213,0.166,0.097,0.704,0.533
"P43","Lo votaría",0.033,0.007,0.173,0.055,0.121,0.878,0.031,0.018,0
"P43","Puede que lo vote",0.049,0.064,0.313,0.19,0.155,0.073,0.053,0.071,0.254
"P43","Nunca lo votaría",0.857,0.852,0.466,0.711,0.598,0.021,0.801,0.236,0.452
"P43","No sabe",0.061,0.077,0.048,0.044,0.126,0.028,0.115,0.675,0.294
"P44","Lo votaría",0.082,0.106,0.006,0.011,0.051,0.139,0.642,0,0.182
"P44","Puede que lo vote",0.295,0.417,0.061,0.09,0.111,0.064,0.205,0.038,0.178
"P44","Nunca lo votaría",0.499,0.404,0.866,0.874,0.594,0.717,0.037,0.542,0.209
"P44","No sabe",0.124,0.073,0.067,0.025,0.244,0.08,0.116,0.42,0.431
"P45","Si",0.455,0.443,0.44,0.392,0.411,0.461,0.395,0.405,0.127
"P45","No",0.545,0.557,0.56,0.608,0.589,0.539,0.605,0.595,0.873
