"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P25","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.673,0.027,0.074,0.153,0.034,0.259,0.062,0.075
"P25","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.039,0.796,0.469,0.143,0.07,0,0.134,0.163
"P25","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.083,0.062,0.132,0.48,0.017,0.108,0.013,0.022
"P25","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.108,0.076,0.128,0.128,0.807,0.045,0.292,0.111
"P25","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.003,0.014,0,0.021,0.502,0.025,0.06
"P25","Otros",0.056,0.03,0.088,0.032,0,0.069,0.039,0.053
"P25","En blanco",0.004,0.002,0.005,0.021,0,0,0.259,0.076
"P25","No sabe",0.016,0.004,0.09,0.043,0.051,0.017,0.176,0.44
"P29","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.629,0.065,0.021,0.14,0.051,0.28,0.159,0.093
"P29","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.056,0.472,0.595,0.13,0.046,0,0.08,0.147
"P29","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.082,0.118,0.047,0.428,0.035,0.131,0.015,0.057
"P29","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.095,0.17,0.047,0.17,0.823,0.053,0.342,0.123
"P29","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.003,0.104,0,0.003,0.444,0.03,0.069
"P29","Otros",0.083,0.114,0.081,0.055,0.029,0.067,0.006,0.044
"P29","En blanco",0.004,0.026,0.005,0.015,0,0.025,0.137,0.01
"P29","No sabe",0.027,0.032,0.1,0.062,0.013,0,0.231,0.457
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.745,0.097,0.087,0.278,0.036,0.285,0.112,0.136
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.075,0.828,0.568,0.473,0.417,0.082,0.365,0.209
"P33","En blanco",0.063,0.053,0.143,0.041,0.287,0.304,0.273,0.057
"P33","No sabe",0.117,0.022,0.202,0.208,0.26,0.329,0.25,0.598
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.167,0.78,0.473,0.398,0.082,0.092,0.17,0.205
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.115,0.139,0.196,0.185,0.826,0.062,0.383,0.165
"P34","En blanco",0.41,0.061,0.169,0.096,0.085,0.697,0.221,0.281
"P34","No sabe",0.308,0.02,0.162,0.321,0.007,0.149,0.226,0.349
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.718,0.146,0.124,0.328,0.034,0.306,0.195,0.211
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.054,0.715,0.785,0.394,0.26,0.119,0.143,0.223
"P35","En blanco",0.114,0.086,0.05,0.09,0.482,0.527,0.289,0.252
"P35","No sabe",0.114,0.053,0.041,0.188,0.224,0.048,0.373,0.314
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.167,0.686,0.611,0.383,0.069,0.064,0.151,0.329
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.115,0.22,0.286,0.187,0.779,0.026,0.361,0.149
"P36","En blanco",0.497,0.064,0.055,0.258,0.103,0.859,0.286,0.2
"P36","No sabe",0.221,0.03,0.048,0.172,0.049,0.051,0.202,0.322
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.746,0.161,0.079,0.362,0.031,0.275,0.115,0.234
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.111,0.384,0.453,0.226,0.883,0.229,0.398,0.23
"P37","En blanco",0.051,0.238,0.32,0.206,0.052,0.476,0.259,0.256
"P37","No sabe",0.092,0.217,0.148,0.206,0.034,0.02,0.228,0.28
"P38","Lo votaría",0.776,0.142,0.014,0.191,0.032,0.217,0.099,0.206
"P38","Puede que lo vote",0.121,0.036,0.17,0.182,0.149,0.184,0.037,0.247
"P38","Nunca lo votaría",0.083,0.722,0.759,0.537,0.778,0.551,0.575,0.426
"P38","No sabe",0.02,0.1,0.057,0.09,0.041,0.048,0.289,0.121
"P39","Lo votaría",0.505,0.119,0.014,0.127,0.001,0.213,0.11,0.079
"P39","Puede que lo vote",0.246,0.003,0.058,0.112,0.068,0.149,0.032,0.312
"P39","Nunca lo votaría",0.192,0.833,0.835,0.656,0.822,0.579,0.541,0.507
"P39","No sabe",0.057,0.045,0.093,0.105,0.109,0.059,0.317,0.102
"P40","Lo votaría",0.091,0.841,0.466,0.356,0.226,0,0.171,0.159
"P40","Puede que lo vote",0.078,0.037,0.236,0.116,0.253,0.071,0.233,0.256
"P40","Nunca lo votaría",0.769,0.113,0.286,0.373,0.408,0.88,0.273,0.513
"P40","No sabe",0.062,0.009,0.012,0.155,0.113,0.049,0.323,0.072
"P41","Lo votaría",0.033,0.604,0.586,0.19,0.119,0,0.086,0.174
"P41","Puede que lo vote",0.096,0.255,0.226,0.23,0.186,0.028,0.287,0.139
"P41","Nunca lo votaría",0.765,0.084,0.162,0.427,0.6,0.923,0.313,0.566
"P41","No sabe",0.106,0.057,0.026,0.153,0.095,0.049,0.314,0.121
"P42","Lo votaría",0.072,0.131,0.14,0.485,0.042,0,0.051,0.107
"P42","Puede que lo vote",0.154,0.136,0.174,0.154,0.173,0.043,0.017,0.179
"P42","Nunca lo votaría",0.551,0.513,0.485,0.235,0.596,0.801,0.42,0.502
"P42","No sabe",0.223,0.22,0.201,0.126,0.189,0.156,0.512,0.212
"P43","Lo votaría",0.092,0.178,0.217,0.204,0.874,0,0.151,0.131
"P43","Puede que lo vote",0.1,0.269,0.226,0.162,0.05,0.042,0.074,0.186
"P43","Nunca lo votaría",0.757,0.494,0.5,0.564,0.051,0.866,0.274,0.602
"P43","No sabe",0.051,0.059,0.057,0.07,0.025,0.092,0.501,0.081
"P44","Lo votaría",0.088,0.057,0.025,0.026,0.116,0.4,0.057,0.211
"P44","Puede que lo vote",0.277,0.088,0.095,0.153,0.088,0.262,0.022,0.157
"P44","Nunca lo votaría",0.525,0.799,0.802,0.675,0.736,0.246,0.553,0.512
"P44","No sabe",0.11,0.056,0.078,0.146,0.06,0.092,0.368,0.12
"P45","Si",0.413,0.48,0.49,0.369,0.498,0.56,0.374,0.259
"P45","No",0.587,0.52,0.51,0.631,0.502,0.44,0.626,0.741
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.639,0.04,0,0.252,0.022,0.17,0.019,0.09
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.206,0.015,0.036,0.034,0.012,0.245,0.08,0.056
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.018,0.758,0.26,0.216,0.064,0,0.128,0.167
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.027,0.092,0.58,0.123,0.01,0,0.013,0.085
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.095,0.087,0.092,0.163,0.884,0.025,0.245,0.14
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.001,0.002,0.013,0.016,0,0.496,0,0.045
"PRESIDENTE","En blanco",0,0.002,0.003,0.126,0,0.022,0.493,0.006
"PRESIDENTE","No sabe",0.014,0.004,0.016,0.07,0.008,0.042,0.022,0.411
