"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda","En blanco","No sabe"
"P16","Bastante seguro",0.137,0.252,0.077,0.091,0.14,0,0,0.214
"P16","Algo seguro",0.178,0.283,0.218,0.668,0.394,0,0.293,0.054
"P16","Para nada seguro",0.197,0,0.399,0.091,0.245,0,0.243,0.589
"P25","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.246,0.455,0,0,0,0,0,0.099
"P25","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0,0,0.332,0.135,0,0,0.079,0
"P25","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.721,0.545,0.617,0.805,0.748,0,0.627,0.654
"P25","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0,0,0,0,0.252,0,0.023,0
"P25","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0,0,0,0,0,0,0
"P25","Otros",0.033,0,0,0.06,0,1,0.06,0.171
"P25","En blanco",0,0,0,0,0,0,0,0
"P25","No sabe",0,0,0.051,0,0,0,0.211,0.076
"P29","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.347,0,0,0.326,0,1,0,0.105
"P29","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.032,0,0,0.109,0,0,0,0.072
"P29","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.537,0.759,0.77,0.565,0.358,0,0.688,0.599
"P29","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.084,0,0.043,0,0.642,0,0,0
"P29","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0,0,0,0,0,0,0
"P29","Otros",0,0,0,0,0,0,0.057,0.173
"P29","En blanco",0,0,0,0,0,0,0,0
"P29","No sabe",0,0.241,0.187,0,0,0,0.255,0.051
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",1,0.763,0.062,0.374,0,1,0.113,0.326
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,0.237,0.819,0.569,0.628,0,0.44,0.074
"P33","En blanco",0,0,0,0,0,0,0.048,0.236
"P33","No sabe",0,0,0.119,0.057,0.372,0,0.399,0.364
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,0.589,0.841,0.384,0,0,0.306,0.093
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.035,0.411,0,0.048,1,0,0.02,0
"P34","En blanco",0.144,0,0.026,0,0,1,0.094,0
"P34","No sabe",0.821,0,0.133,0.568,0,0,0.58,0.907
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.931,0.411,0.441,0.131,0,1,0.083,0.344
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.037,0.589,0.439,0.869,0.815,0,0.096,0.174
"P35","En blanco",0,0,0.059,0,0.185,0,0.315,0
"P35","No sabe",0.032,0,0.061,0,0,0,0.506,0.482
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.181,0.718,0.826,0.933,0,0,0.035,0.173
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0,0.282,0.103,0.067,1,0,0.246,0
"P36","En blanco",0.305,0,0.071,0,0,1,0.444,0.564
"P36","No sabe",0.514,0,0,0,0,0,0.275,0.263
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.956,0.277,0.108,0.214,0,0,0.095,0.255
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.044,0,0.291,0.065,1,0,0.034,0
"P37","En blanco",0,0.723,0.482,0.201,0,0,0.354,0.579
"P37","No sabe",0,0,0.119,0.52,0,1,0.517,0.166
"P38","Lo votaría",0.403,0,0,0,0,0,0.098,0.258
"P38","Puede que lo vote",0.363,0.28,0,0.172,0,1,0.449,0
"P38","Nunca lo votaría",0.102,0.72,1,0.626,1,0,0.453,0.655
"P38","No sabe",0.132,0,0,0.202,0,0,0,0.087
"P39","Lo votaría",0.23,0,0,0.211,0,0,0,0.103
"P39","Puede que lo vote",0.15,0.278,0.039,0,0,1,0.246,0
"P39","Nunca lo votaría",0.455,0.722,0.961,0.723,1,0,0.491,0.897
"P39","No sabe",0.165,0,0,0.066,0,0,0.263,0
"P40","Lo votaría",0,0,0.803,0,0.431,0,0.297,0
"P40","Puede que lo vote",0,0.722,0.197,0.289,0.569,0,0.072,0.233
"P40","Nunca lo votaría",0.902,0.278,0,0.276,0,1,0.368,0.659
"P40","No sabe",0.098,0,0,0.435,0,0,0.263,0.108
"P41","Lo votaría",0.098,0.278,0.353,0.354,0.431,0,0.035,0
"P41","Puede que lo vote",0.052,0.722,0.494,0.435,0.324,0,0.073,0.233
"P41","Nunca lo votaría",0.788,0,0.153,0,0.245,1,0.157,0.659
"P41","No sabe",0.062,0,0,0.211,0,0,0.735,0.108
"P42","Lo votaría",0.454,0.278,0.961,0.646,1,1,0.452,0.874
"P42","Puede que lo vote",0,0.722,0,0.078,0,0,0,0
"P42","Nunca lo votaría",0.208,0,0.039,0,0,0,0.039,0.126
"P42","No sabe",0.338,0,0,0.276,0,0,0.509,0
"P43","Lo votaría",0,0,0.372,0,0.684,0,0.034,0.558
"P43","Puede que lo vote",0.046,0,0.047,0.147,0.316,0,0.312,0
"P43","Nunca lo votaría",0.889,1,0.581,0.414,0,1,0.654,0.339
"P43","No sabe",0.065,0,0,0.439,0,0,0,0.103
"P44","Lo votaría",0,0,0,0.205,0,1,0,0
"P44","Puede que lo vote",0.127,0,0.348,0,0,0,0,0
"P44","Nunca lo votaría",0.808,1,0.608,0.356,1,0,0.725,0.795
"P44","No sabe",0.065,0,0.044,0.439,0,0,0.275,0.205
"P45","Si",0.09,1,0.587,0.4,0.772,0,0.536,0
"P45","No",0.91,0,0.413,0.6,0.228,1,0.464,1
