"var","categoria","Si","No","No sabe"
"P35","Muy buena",0.293,0.389,0.286
"P35","Buena",0.138,0.203,0.154
"P35","Ni buena ni mala",0.195,0.107,0.238
"P35","Mala",0.149,0.095,0.073
"P35","Muy mala",0.191,0.204,0.231
"P35","No sabe",0.034,0.002,0.018
"P36","Muy buena",0.168,0.131,0.111
"P36","Buena",0.129,0.233,0.14
"P36","Ni buena ni mala",0.38,0.335,0.52
"P36","Mala",0.182,0.125,0.102
"P36","Muy mala",0.111,0.176,0.12
"P36","No sabe",0.03,0,0.007
"P37","Muy buena",0.179,0.119,0.094
"P37","Buena",0.082,0.164,0.152
"P37","Ni buena ni mala",0.198,0.332,0.391
"P37","Mala",0.276,0.102,0.094
"P37","Muy mala",0.222,0.267,0.246
"P37","No sabe",0.043,0.016,0.023
"P38","Muy buena",0.117,0.126,0.062
"P38","Buena",0.103,0.116,0.09
"P38","Ni buena ni mala",0.32,0.348,0.536
"P38","Mala",0.24,0.086,0.096
"P38","Muy mala",0.18,0.216,0.177
"P38","No sabe",0.04,0.108,0.039
