"var","categoria","Si","No","No sabe"
"P16","Al gobierno nacional que se fue",0.138,0.243,0.252
"P16","Al gobierno nacional que vigente",0.096,0.023,0.082
"P16","No sabe",0.107,0.048,0.032
"P17","Muy de acuerdo",0.627,0.675,0.593
"P17","De acuerdo",0.151,0.111,0.128
"P17","Ni de acuerdo ni en desacuerdo",0.177,0.106,0.199
"P17","En desacuerdo",0.028,0.054,0.041
"P17","Muy en desacuerdo",0.002,0.049,0
"P17","No sabe",0.015,0.005,0.039
"P18","Si",0.758,0.594,0.588
"P18","No",0.096,0.246,0.051
"P18","No sabe",0.146,0.16,0.361
"P19","Si",0.616,0.354,0.391
"P19","No",0.14,0.322,0.078
"P19","No sabe",0.244,0.324,0.531
"P21","Si",0.552,0.023,0.022
"P21","No",0.2,0.873,0.264
"P21","No sabe",0.248,0.104,0.714
"P22","Muy de acuerdo",0.262,0.479,0.319
"P22","De acuerdo",0.127,0.179,0.251
"P22","Ni de acuerdo ni en desacuerdo",0.173,0.122,0.165
"P22","En desacuerdo",0.19,0.088,0.086
"P22","Muy en desacuerdo",0.245,0.119,0.134
"P22","No sabe",0.003,0.013,0.045
"P23","Muy de acuerdo",0.231,0.454,0.363
"P23","De acuerdo",0.131,0.147,0.167
"P23","Ni de acuerdo ni en desacuerdo",0.16,0.169,0.191
"P23","En desacuerdo",0.178,0.083,0.118
"P23","Muy en desacuerdo",0.282,0.147,0.158
"P23","No sabe",0.018,0,0.003
"P24","Muy buena",0.359,0.164,0.324
"P24","Buena",0.309,0.334,0.219
"P24","Ni buena ni mala",0.257,0.313,0.352
"P24","Mala",0.043,0.12,0.095
"P24","Muy mala",0.012,0.069,0.002
"P24","No sabe",0.02,0,0.008
"P25","Muy buena",0.358,0.01,0.011
"P25","Buena",0.327,0.102,0.164
"P25","Ni buena ni mala",0.231,0.241,0.614
"P25","Mala",0.056,0.424,0.181
"P25","Muy mala",0.026,0.223,0.025
"P25","No sabe",0.002,0,0.005
"P26","Muy buena",0.101,0.026,0.006
"P26","Buena",0.197,0.077,0.201
"P26","Ni buena ni mala",0.317,0.226,0.355
"P26","Mala",0.267,0.318,0.291
"P26","Muy mala",0.114,0.348,0.147
"P26","No sabe",0.004,0.005,0
"P27","Muy buena",0.105,0.056,0.009
"P27","Buena",0.193,0.056,0.089
"P27","Ni buena ni mala",0.43,0.294,0.62
"P27","Mala",0.157,0.266,0.181
"P27","Muy mala",0.089,0.302,0.073
"P27","No sabe",0.026,0.026,0.028
"P28","Muy buena",0.197,0.04,0.16
"P28","Buena",0.159,0.09,0.105
"P28","Ni buena ni mala",0.338,0.202,0.277
"P28","Mala",0.177,0.317,0.321
"P28","Muy mala",0.109,0.34,0.12
"P28","No sabe",0.02,0.011,0.017
"P29","Muy buena",0.336,0.107,0.18
"P29","Buena",0.116,0.07,0.046
"P29","Ni buena ni mala",0.088,0.065,0.082
"P29","Mala",0.247,0.252,0.311
"P29","Muy mala",0.213,0.503,0.379
"P29","No sabe",0,0.003,0.002
"P30","Muy buena",0.099,0.126,0.139
"P30","Buena",0.139,0.199,0.264
"P30","Ni buena ni mala",0.134,0.257,0.194
"P30","Mala",0.292,0.222,0.163
"P30","Muy mala",0.33,0.196,0.219
"P30","No sabe",0.006,0,0.021
"P31","Muy buena",0.176,0.061,0.056
"P31","Buena",0.243,0.087,0.204
"P31","Ni buena ni mala",0.206,0.119,0.124
"P31","Mala",0.147,0.201,0.218
"P31","Muy mala",0.225,0.532,0.398
"P31","No sabe",0.003,0,0
"P32","Muy buena",0.267,0.424,0.381
"P32","Buena",0.153,0.184,0.125
"P32","Ni buena ni mala",0.081,0.107,0.212
"P32","Mala",0.195,0.117,0.062
"P32","Muy mala",0.294,0.164,0.22
"P32","No sabe",0.01,0.004,0
"P33","Muy buena",0.192,0.332,0.338
"P33","Buena",0.187,0.297,0.223
"P33","Ni buena ni mala",0.127,0.123,0.153
"P33","Mala",0.169,0.102,0.107
"P33","Muy mala",0.315,0.146,0.179
"P33","No sabe",0.01,0,0
"P34","Muy buena",0.142,0.207,0.168
"P34","Buena",0.144,0.217,0.243
"P34","Ni buena ni mala",0.272,0.346,0.289
"P34","Mala",0.142,0.095,0.133
"P34","Muy mala",0.267,0.133,0.143
"P34","No sabe",0.033,0.002,0.024
"P35","Muy buena",0.253,0.501,0.245
"P35","Buena",0.14,0.16,0.254
"P35","Ni buena ni mala",0.213,0.085,0.203
"P35","Mala",0.106,0.101,0.097
"P35","Muy mala",0.272,0.148,0.174
"P35","No sabe",0.016,0.005,0.027
"P36","Muy buena",0.159,0.139,0.08
"P36","Buena",0.149,0.224,0.169
"P36","Ni buena ni mala",0.388,0.329,0.538
"P36","Mala",0.157,0.129,0.088
"P36","Muy mala",0.129,0.179,0.117
"P36","No sabe",0.018,0,0.008
"P37","Muy buena",0.12,0.176,0.064
"P37","Buena",0.112,0.145,0.187
"P37","Ni buena ni mala",0.214,0.336,0.481
"P37","Mala",0.189,0.142,0.061
"P37","Muy mala",0.325,0.189,0.193
"P37","No sabe",0.04,0.012,0.014
"P38","Muy buena",0.1,0.117,0.095
"P38","Buena",0.088,0.136,0.091
"P38","Ni buena ni mala",0.351,0.385,0.505
"P38","Mala",0.155,0.126,0.073
"P38","Muy mala",0.232,0.153,0.19
"P38","No sabe",0.074,0.083,0.046
