"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P49","Mala",0.218,0.085,0.185
"P49","Muy mala",0.609,0.143,0.365
"P49","No sabe",0.018,0.004,0.023
"P50","Muy buena",0.023,0.289,0.039
"P50","Buena",0.033,0.384,0.123
"P50","Ni buena ni mala",0.141,0.229,0.27
"P50","Mala",0.24,0.056,0.197
"P50","Muy mala",0.519,0.033,0.315
"P50","No sabe",0.044,0.009,0.056
"P51","Muy buena",0.19,0.03,0.057
"P51","Buena",0.35,0.06,0.112
"P51","Ni buena ni mala",0.299,0.124,0.208
"P51","Mala",0.077,0.2,0.156
"P51","Muy mala",0.062,0.578,0.428
"P51","No sabe",0.022,0.008,0.039
"P52","Muy buena",0.036,0.483,0.191
"P52","Buena",0.048,0.234,0.182
"P52","Ni buena ni mala",0.104,0.137,0.186
"P52","Mala",0.15,0.059,0.122
"P52","Muy mala",0.626,0.081,0.275
"P52","No sabe",0.036,0.006,0.044
"P53","Muy buena",0.023,0.204,0.277
"P53","Buena",0.025,0.215,0.133
"P53","Ni buena ni mala",0.13,0.307,0.191
"P53","Mala",0.154,0.139,0.104
"P53","Muy mala",0.624,0.122,0.239
"P53","No sabe",0.044,0.013,0.056
"P54","Muy buena",0.02,0.329,0.106
"P54","Buena",0.026,0.346,0.151
"P54","Ni buena ni mala",0.096,0.191,0.2
"P54","Mala",0.192,0.065,0.16
"P54","Muy mala",0.645,0.064,0.34
"P54","No sabe",0.021,0.005,0.043
"P55","Muy buena",0.16,0.031,0.027
"P55","Buena",0.393,0.044,0.089
"P55","Ni buena ni mala",0.285,0.089,0.237
"P55","Mala",0.062,0.218,0.161
"P55","Muy mala",0.078,0.607,0.45
"P55","No sabe",0.022,0.011,0.036
"P56","Muy buena",0.032,0.164,0.071
"P56","Buena",0.093,0.26,0.114
"P56","Ni buena ni mala",0.36,0.334,0.34
"P56","Mala",0.192,0.088,0.141
"P56","Muy mala",0.207,0.113,0.226
"P56","No sabe",0.116,0.041,0.108
"P57","Muy buena",0.011,0.118,0.014
"P57","Buena",0.026,0.24,0.073
"P57","Ni buena ni mala",0.232,0.397,0.313
"P57","Mala",0.191,0.099,0.151
"P57","Muy mala",0.438,0.085,0.319
"P57","No sabe",0.102,0.061,0.13
