"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P43","Muy buena",0.162,0.001,0.023
"P43","Buena",0.344,0.062,0.034
"P43","Ni buena ni mala",0.285,0.037,0.16
"P43","Mala",0.149,0.109,0.142
"P43","Muy mala",0.05,0.786,0.617
"P43","No sabe",0.01,0.005,0.024
"P44","Muy de acuerdo",0.334,0.092,0.094
"P44","De acuerdo",0.285,0.131,0.127
"P44","Ni de acuerdo ni en desacuerdo",0.248,0.304,0.325
"P44","En desacuerdo",0.061,0.182,0.152
"P44","Muy en desacuerdo",0.025,0.237,0.207
"P44","No sabe",0.047,0.054,0.095
"P45","Muy de acuerdo",0.355,0.035,0.063
"P45","De acuerdo",0.339,0.069,0.076
"P45","Ni de acuerdo ni en desacuerdo",0.212,0.301,0.294
"P45","En desacuerdo",0.05,0.215,0.153
"P45","Muy en desacuerdo",0.024,0.353,0.348
"P45","No sabe",0.02,0.027,0.066
"P46","Si",0.639,0.059,0.111
"P46","No",0.114,0.729,0.6
"P46","No sabe",0.247,0.212,0.289
"P47","Muy buena",0.205,0.013,0.04
"P47","Buena",0.323,0.082,0.085
"P47","Ni buena ni mala",0.279,0.066,0.136
"P47","Mala",0.14,0.123,0.143
"P47","Muy mala",0.05,0.713,0.58
"P47","No sabe",0.003,0.003,0.016
"P48","Muy buena",0.672,0.001,0.029
"P48","Buena",0.179,0.013,0.029
"P48","Ni buena ni mala",0.091,0.022,0.09
"P48","Mala",0.04,0.07,0.12
"P48","Muy mala",0.017,0.89,0.709
"P48","No sabe",0.001,0.004,0.023
"P49","Muy buena",0.071,0.264,0.115
"P49","Buena",0.016,0.311,0.16
"P49","Ni buena ni mala",0.054,0.196,0.21
"P49","Mala",0.2,0.089,0.196
"P49","Muy mala",0.644,0.136,0.291
"P49","No sabe",0.015,0.004,0.028
"P50","Muy buena",0.019,0.288,0.038
"P50","Buena",0.037,0.384,0.129
"P50","Ni buena ni mala",0.146,0.226,0.297
"P50","Mala",0.239,0.053,0.198
"P50","Muy mala",0.527,0.037,0.268
"P50","No sabe",0.032,0.012,0.07
"P51","Muy buena",0.185,0.028,0.038
"P51","Buena",0.355,0.054,0.066
"P51","Ni buena ni mala",0.308,0.123,0.184
"P51","Mala",0.079,0.203,0.164
"P51","Muy mala",0.056,0.586,0.497
"P51","No sabe",0.017,0.006,0.051
"P52","Muy buena",0.03,0.485,0.217
"P52","Buena",0.04,0.248,0.198
"P52","Ni buena ni mala",0.109,0.133,0.205
"P52","Mala",0.161,0.057,0.11
"P52","Muy mala",0.638,0.072,0.206
"P52","No sabe",0.022,0.005,0.064
"P53","Muy buena",0.024,0.213,0.32
"P53","Buena",0.029,0.225,0.133
"P53","Ni buena ni mala",0.112,0.306,0.223
"P53","Mala",0.156,0.129,0.104
"P53","Muy mala",0.64,0.113,0.155
"P53","No sabe",0.039,0.014,0.065
"P54","Muy buena",0.016,0.33,0.118
"P54","Buena",0.019,0.348,0.174
"P54","Ni buena ni mala",0.079,0.2,0.23
"P54","Mala",0.196,0.058,0.163
"P54","Muy mala",0.673,0.059,0.261
"P54","No sabe",0.017,0.005,0.054
"P55","Muy buena",0.143,0.027,0.023
"P55","Buena",0.367,0.045,0.053
"P55","Ni buena ni mala",0.317,0.091,0.193
"P55","Mala",0.076,0.213,0.172
"P55","Muy mala",0.08,0.615,0.511
"P55","No sabe",0.017,0.009,0.048
"P56","Muy buena",0.024,0.162,0.088
"P56","Buena",0.096,0.261,0.106
"P56","Ni buena ni mala",0.38,0.326,0.326
"P56","Mala",0.186,0.086,0.141
"P56","Muy mala",0.214,0.115,0.225
"P56","No sabe",0.1,0.05,0.114
"P57","Muy buena",0.011,0.109,0.023
"P57","Buena",0.031,0.236,0.078
"P57","Ni buena ni mala",0.223,0.409,0.32
"P57","Mala",0.18,0.098,0.158
"P57","Muy mala",0.463,0.085,0.273
"P57","No sabe",0.092,0.063,0.148
