"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.113,0.01,0.01,0.052,0.073
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.827,0.017,0.017,0.168,0.033
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.006,0.018,0.81,0.035,0.041
"P25","Otros candidatos",0.031,0.056,0.041,0.582,0.602
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.092,0.628,0.059,0.063,0.213
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.584,0.076,0.012,0.059,0.079
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.028,0.109,0.89,0.051,0.051
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.047,0.006,0.008,0.686,0.024
"P31","Otro candidato",0.249,0.181,0.031,0.141,0.633
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.677,0.045,0.022,0.142,0.143
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.039,0.819,0.178,0.061,0.203
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.017,0.062,0.764,0.039,0.041
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.043,0.003,0.004,0.604,0.02
"P33","Otro candidato",0.224,0.071,0.032,0.154,0.593
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.527,0.192,0.035,0.177,0.12
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.215,0.516,0.048,0.084,0.198
"P35","Javier Milei – José Luis Espert por los liberales",0.014,0.125,0.863,0.073,0.057
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.036,0.004,0.009,0.586,0.028
"P35","Otro candidato",0.208,0.163,0.045,0.08,0.597
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.491,0.328,0.037,0.109,0.153
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.432,0.359,0.04,0.147,0.143
"P37","Javier Milei – José Luis Espert por los liberales",0.008,0.126,0.872,0.078,0.061
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.013,0.002,0.011,0.595,0.023
"P37","Otro candidato",0.056,0.185,0.04,0.071,0.62
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.887,0.055,0.024,0.358,0.092
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.063,0.888,0.435,0.115,0.184
"P38","No sabe",0.05,0.057,0.541,0.527,0.724
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.709,0.022,0.026,0.337,0.095
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.031,0.789,0.372,0.161,0.359
"P39","No sabe",0.26,0.189,0.602,0.502,0.546
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.741,0.021,0.047,0.382,0.131
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.027,0.884,0.557,0.146,0.287
"P40","No sabe",0.232,0.095,0.396,0.472,0.582
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.922,0.018,0.022,0.396,0.071
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.019,0.801,0.437,0.165,0.367
"P41","No sabe",0.059,0.181,0.541,0.439,0.562
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.778,0.023,0.052,0.39,0.132
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.025,0.787,0.402,0.181,0.322
"P42","No sabe",0.197,0.19,0.546,0.429,0.546
"P43","Muy buena",0.156,0.01,0.012,0.066,0.016
"P43","Buena",0.35,0.064,0.03,0.08,0.05
"P43","Ni buena ni mala",0.293,0.038,0.069,0.315,0.176
"P43","Mala",0.14,0.102,0.098,0.298,0.199
"P43","Muy mala",0.048,0.782,0.78,0.234,0.527
"P43","No sabe",0.013,0.004,0.011,0.007,0.032
"P44","Muy de acuerdo",0.33,0.071,0.113,0.12,0.126
"P44","De acuerdo",0.288,0.119,0.117,0.202,0.161
"P44","Ni de acuerdo ni en desacuerdo",0.257,0.323,0.27,0.415,0.316
"P44","En desacuerdo",0.058,0.185,0.158,0.152,0.158
"P44","Muy en desacuerdo",0.019,0.25,0.259,0.076,0.143
"P44","No sabe",0.048,0.052,0.083,0.035,0.096
"P45","Muy de acuerdo",0.351,0.03,0.041,0.125,0.101
"P45","De acuerdo",0.342,0.053,0.062,0.18,0.12
"P45","Ni de acuerdo ni en desacuerdo",0.22,0.286,0.248,0.276,0.391
"P45","En desacuerdo",0.044,0.225,0.186,0.199,0.121
"P45","Muy en desacuerdo",0.021,0.374,0.423,0.192,0.197
"P45","No sabe",0.022,0.032,0.04,0.028,0.07
"P46","Si",0.636,0.055,0.074,0.23,0.155
"P46","No",0.109,0.733,0.745,0.438,0.463
"P46","No sabe",0.255,0.212,0.181,0.332,0.382
"P47","Muy buena",0.216,0.009,0.022,0.055,0.039
"P47","Buena",0.331,0.083,0.062,0.158,0.098
"P47","Ni buena ni mala",0.274,0.069,0.071,0.229,0.186
"P47","Mala",0.133,0.112,0.12,0.232,0.189
"P47","Muy mala",0.041,0.72,0.72,0.326,0.474
"P47","No sabe",0.005,0.007,0.005,0,0.014
"P48","Muy buena",0.678,0.012,0.009,0.116,0.018
"P48","Buena",0.175,0.007,0.014,0.213,0.038
"P48","Ni buena ni mala",0.092,0.02,0.033,0.123,0.132
"P48","Mala",0.036,0.062,0.077,0.212,0.157
"P48","Muy mala",0.013,0.894,0.864,0.324,0.624
"P48","No sabe",0.006,0.005,0.003,0.012,0.031
"P49","Muy buena",0.071,0.386,0.081,0.01,0.027
"P49","Buena",0.026,0.326,0.23,0.082,0.106
"P49","Ni buena ni mala",0.059,0.161,0.252,0.116,0.206
"P49","Mala",0.217,0.026,0.201,0.152,0.217
"P49","Muy mala",0.609,0.095,0.23,0.638,0.404
"P49","No sabe",0.018,0.006,0.006,0.002,0.04
"P50","Muy buena",0.024,0.304,0.078,0.023,0.113
"P50","Buena",0.046,0.379,0.195,0.088,0.203
"P50","Ni buena ni mala",0.147,0.219,0.282,0.196,0.294
"P50","Mala",0.237,0.052,0.176,0.21,0.132
"P50","Muy mala",0.503,0.032,0.245,0.43,0.18
"P50","No sabe",0.043,0.014,0.024,0.053,0.078
"P51","Muy buena",0.183,0.034,0.023,0.092,0.044
"P51","Buena",0.363,0.053,0.043,0.115,0.086
"P51","Ni buena ni mala",0.296,0.105,0.142,0.336,0.254
"P51","Mala",0.087,0.176,0.175,0.16,0.213
"P51","Muy mala",0.046,0.617,0.603,0.286,0.354
"P51","No sabe",0.025,0.015,0.014,0.011,0.049
"P52","Muy buena",0.036,0.565,0.279,0.027,0.148
"P52","Buena",0.043,0.237,0.27,0.104,0.142
"P52","Ni buena ni mala",0.105,0.102,0.215,0.093,0.231
"P52","Mala",0.167,0.026,0.096,0.125,0.147
"P52","Muy mala",0.612,0.062,0.121,0.613,0.274
"P52","No sabe",0.037,0.008,0.019,0.038,0.058
"P53","Muy buena",0.017,0.11,0.602,0.008,0.046
"P53","Buena",0.027,0.194,0.247,0.062,0.093
"P53","Ni buena ni mala",0.117,0.38,0.11,0.161,0.306
"P53","Mala",0.161,0.163,0.017,0.173,0.174
"P53","Muy mala",0.628,0.129,0.012,0.566,0.308
"P53","No sabe",0.05,0.024,0.012,0.03,0.073
"P54","Muy buena",0.02,0.403,0.134,0.053,0.084
"P54","Buena",0.024,0.362,0.236,0.079,0.17
"P54","Ni buena ni mala",0.085,0.158,0.238,0.201,0.274
"P54","Mala",0.196,0.037,0.146,0.189,0.156
"P54","Muy mala",0.648,0.033,0.223,0.466,0.268
"P54","No sabe",0.027,0.007,0.023,0.012,0.048
"P55","Muy buena",0.142,0.038,0.013,0.026,0.026
"P55","Buena",0.37,0.046,0.03,0.097,0.085
"P55","Ni buena ni mala",0.318,0.095,0.126,0.345,0.192
"P55","Mala",0.076,0.199,0.171,0.208,0.226
"P55","Muy mala",0.067,0.611,0.645,0.312,0.417
"P55","No sabe",0.027,0.011,0.015,0.012,0.054
"P56","Muy buena",0.029,0.133,0.115,0.131,0.145
"P56","Buena",0.089,0.252,0.162,0.109,0.168
"P56","Ni buena ni mala",0.378,0.358,0.304,0.249,0.309
"P56","Mala",0.191,0.091,0.124,0.168,0.104
"P56","Muy mala",0.199,0.123,0.228,0.256,0.144
"P56","No sabe",0.114,0.043,0.067,0.087,0.13
"P57","Muy buena",0.011,0.096,0.038,0.016,0.096
"P57","Buena",0.032,0.251,0.08,0.151,0.142
"P57","Ni buena ni mala",0.229,0.395,0.359,0.27,0.347
"P57","Mala",0.18,0.112,0.147,0.109,0.108
"P57","Muy mala",0.447,0.088,0.27,0.315,0.163
"P57","No sabe",0.101,0.058,0.106,0.139,0.144
