"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.025,0.012,0.008
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.019,0.036,0.039
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.14,0.068,0.004
"P25","Otros candidatos",0.07,0.082,0.142
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.077,0.054,0.04
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.644,0.742,0.761
"P29","Javier Milei – José Luis Espert por los liberales",0.203,0.108,0.01
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.011,0.004,0.008
"P29","Otro candidato",0.065,0.092,0.181
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.506,0.555,0.627
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.062,0.09,0.065
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.318,0.167,0.029
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.01,0.004,0.007
"P31","Otro candidato",0.104,0.184,0.272
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.058,0.041,0.058
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.632,0.754,0.789
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.212,0.112,0.013
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.003,0.003,0.005
"P33","Otro candidato",0.095,0.09,0.135
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.167,0.18,0.18
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.392,0.443,0.515
"P35","Javier Milei – José Luis Espert por los liberales",0.339,0.186,0.033
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.009,0.013,0.005
"P35","Otro candidato",0.093,0.178,0.267
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.279,0.311,0.346
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.29,0.323,0.34
"P37","Javier Milei – José Luis Espert por los liberales",0.322,0.219,0.034
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.014,0.001,0.003
"P37","Otro candidato",0.095,0.146,0.277
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.088,0.091,0.073
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.789,0.817,0.786
"P38","No sabe",0.123,0.092,0.141
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.053,0.049,0.037
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.717,0.759,0.747
"P39","No sabe",0.23,0.192,0.216
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.049,0.027,0.036
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.846,0.838,0.838
"P40","No sabe",0.105,0.135,0.126
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.039,0.034,0.042
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.802,0.793,0.765
"P41","No sabe",0.159,0.173,0.193
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.031,0.029,0.035
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.809,0.766,0.757
"P42","No sabe",0.16,0.205,0.208
"P43","Muy buena",0.023,0.001,0.012
"P43","Buena",0.08,0.083,0.048
"P43","Ni buena ni mala",0.032,0.037,0.033
"P43","Mala",0.128,0.077,0.087
"P43","Muy mala",0.734,0.793,0.816
"P43","No sabe",0.003,0.009,0.004
"P44","Muy de acuerdo",0.097,0.099,0.064
"P44","De acuerdo",0.099,0.136,0.137
"P44","Ni de acuerdo ni en desacuerdo",0.238,0.321,0.345
"P44","En desacuerdo",0.237,0.163,0.182
"P44","Muy en desacuerdo",0.28,0.229,0.218
"P44","No sabe",0.049,0.052,0.054
"P45","Muy de acuerdo",0.046,0.02,0.027
"P45","De acuerdo",0.065,0.086,0.057
"P45","Ni de acuerdo ni en desacuerdo",0.256,0.337,0.31
"P45","En desacuerdo",0.226,0.207,0.198
"P45","Muy en desacuerdo",0.387,0.322,0.382
"P45","No sabe",0.02,0.028,0.026
"P46","Si",0.082,0.054,0.047
"P46","No",0.756,0.691,0.736
"P46","No sabe",0.162,0.255,0.217
"P47","Muy buena",0.039,0.016,0.012
"P47","Buena",0.057,0.093,0.083
"P47","Ni buena ni mala",0.067,0.053,0.057
"P47","Mala",0.174,0.101,0.094
"P47","Muy mala",0.663,0.725,0.752
"P47","No sabe",0,0.012,0.002
"P48","Muy buena",0.041,0.011,0.024
"P48","Buena",0.024,0.017,0.014
"P48","Ni buena ni mala",0.007,0.024,0.014
"P48","Mala",0.086,0.057,0.051
"P48","Muy mala",0.841,0.868,0.895
"P48","No sabe",0.001,0.023,0.002
"P49","Muy buena",0.331,0.282,0.389
"P49","Buena",0.293,0.384,0.29
"P49","Ni buena ni mala",0.2,0.17,0.142
"P49","Mala",0.059,0.051,0.059
"P49","Muy mala",0.116,0.099,0.118
"P49","No sabe",0.001,0.014,0.002
"P50","Muy buena",0.322,0.253,0.305
"P50","Buena",0.398,0.39,0.358
"P50","Ni buena ni mala",0.169,0.247,0.202
"P50","Mala",0.069,0.039,0.062
"P50","Muy mala",0.039,0.042,0.062
"P50","No sabe",0.003,0.029,0.011
"P51","Muy buena",0.062,0.018,0.021
"P51","Buena",0.065,0.071,0.041
"P51","Ni buena ni mala",0.111,0.109,0.104
"P51","Mala",0.21,0.184,0.163
"P51","Muy mala",0.538,0.595,0.665
"P51","No sabe",0.014,0.023,0.006
"P52","Muy buena",0.535,0.506,0.541
"P52","Buena",0.227,0.273,0.22
"P52","Ni buena ni mala",0.149,0.075,0.108
"P52","Mala",0.041,0.052,0.046
"P52","Muy mala",0.045,0.069,0.079
"P52","No sabe",0.003,0.025,0.006
"P53","Muy buena",0.223,0.114,0.052
"P53","Buena",0.363,0.297,0.082
"P53","Ni buena ni mala",0.282,0.441,0.322
"P53","Mala",0.052,0.083,0.24
"P53","Muy mala",0.062,0.044,0.28
"P53","No sabe",0.018,0.021,0.024
"P54","Muy buena",0.462,0.358,0.353
"P54","Buena",0.332,0.341,0.336
"P54","Ni buena ni mala",0.117,0.202,0.165
"P54","Mala",0.037,0.054,0.061
"P54","Muy mala",0.05,0.033,0.077
"P54","No sabe",0.002,0.012,0.008
"P55","Muy buena",0.035,0.031,0.035
"P55","Buena",0.043,0.046,0.033
"P55","Ni buena ni mala",0.084,0.096,0.091
"P55","Mala",0.225,0.203,0.159
"P55","Muy mala",0.613,0.602,0.671
"P55","No sabe",0,0.022,0.011
"P56","Muy buena",0.183,0.156,0.149
"P56","Buena",0.204,0.254,0.248
"P56","Ni buena ni mala",0.317,0.325,0.339
"P56","Mala",0.087,0.099,0.103
"P56","Muy mala",0.154,0.1,0.14
"P56","No sabe",0.055,0.066,0.021
"P57","Muy buena",0.143,0.093,0.103
"P57","Buena",0.228,0.232,0.239
"P57","Ni buena ni mala",0.401,0.391,0.364
"P57","Mala",0.047,0.131,0.14
"P57","Muy mala",0.105,0.082,0.115
"P57","No sabe",0.076,0.071,0.039
