"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P45","Ni de acuerdo ni en desacuerdo",0.218,0.286,0.31
"P45","En desacuerdo",0.061,0.207,0.149
"P45","Muy en desacuerdo",0.037,0.373,0.299
"P45","No sabe",0.022,0.028,0.065
"P46","Si",0.608,0.067,0.139
"P46","No",0.141,0.741,0.538
"P46","No sabe",0.251,0.192,0.323
"P47","Muy buena",0.193,0.025,0.038
"P47","Buena",0.329,0.069,0.1
"P47","Ni buena ni mala",0.264,0.062,0.166
"P47","Mala",0.145,0.112,0.156
"P47","Muy mala",0.067,0.729,0.523
"P47","No sabe",0.002,0.003,0.017
"P48","Muy buena",0.644,0.031,0.014
"P48","Buena",0.167,0.018,0.037
"P48","Ni buena ni mala",0.082,0.015,0.117
"P48","Mala",0.047,0.058,0.133
"P48","Muy mala",0.055,0.875,0.677
"P48","No sabe",0.005,0.003,0.022
"P49","Muy buena",0.073,0.304,0.036
"P49","Buena",0.025,0.333,0.102
"P49","Ni buena ni mala",0.051,0.199,0.211
"P49","Mala",0.198,0.071,0.236
"P49","Muy mala",0.637,0.089,0.386
"P49","No sabe",0.016,0.004,0.029
"P50","Muy buena",0.038,0.245,0.065
"P50","Buena",0.046,0.343,0.168
"P50","Ni buena ni mala",0.145,0.241,0.28
"P50","Mala",0.233,0.089,0.156
"P50","Muy mala",0.505,0.07,0.257
"P50","No sabe",0.033,0.012,0.074
"P51","Muy buena",0.179,0.031,0.04
"P51","Buena",0.346,0.053,0.078
"P51","Ni buena ni mala",0.289,0.11,0.232
"P51","Mala",0.097,0.183,0.171
"P51","Muy mala",0.069,0.612,0.435
"P51","No sabe",0.02,0.011,0.044
"P52","Muy buena",0.047,0.51,0.135
"P52","Buena",0.037,0.256,0.186
"P52","Ni buena ni mala",0.098,0.13,0.23
"P52","Mala",0.161,0.039,0.143
"P52","Muy mala",0.629,0.059,0.246
"P52","No sabe",0.028,0.006,0.06
"P53","Muy buena",0.031,0.223,0.305
"P53","Buena",0.035,0.207,0.149
"P53","Ni buena ni mala",0.121,0.304,0.209
"P53","Mala",0.15,0.129,0.109
"P53","Muy mala",0.621,0.119,0.17
"P53","No sabe",0.042,0.018,0.058
"P54","Muy buena",0.037,0.327,0.082
"P54","Buena",0.031,0.339,0.163
"P54","Ni buena ni mala",0.081,0.194,0.241
"P54","Mala",0.184,0.065,0.173
"P54","Muy mala",0.647,0.066,0.293
"P54","No sabe",0.02,0.009,0.048
"P55","Muy buena",0.143,0.027,0.021
"P55","Buena",0.354,0.045,0.067
"P55","Ni buena ni mala",0.304,0.101,0.199
"P55","Mala",0.084,0.191,0.195
"P55","Muy mala",0.092,0.627,0.472
"P55","No sabe",0.023,0.009,0.046
"P56","Muy buena",0.021,0.146,0.113
"P56","Buena",0.095,0.234,0.143
"P56","Ni buena ni mala",0.372,0.349,0.295
"P56","Mala",0.192,0.102,0.112
"P56","Muy mala",0.216,0.125,0.213
"P56","No sabe",0.104,0.044,0.124
"P57","Muy buena",0.011,0.087,0.054
"P57","Buena",0.041,0.211,0.096
"P57","Ni buena ni mala",0.232,0.387,0.34
"P57","Mala",0.182,0.119,0.124
"P57","Muy mala",0.442,0.129,0.238
"P57","No sabe",0.092,0.067,0.148
