"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P17","Nunca la votaría",0.326,0.721,0.942,0.414,0.562
"P17","No sabe",0.03,0.027,0.019,0.081,0.093
"P18","Lo votaría",0.127,0.312,0.076,0.054,0.055
"P18","Puede que lo vote",0.194,0.343,0.275,0.128,0.214
"P18","Nunca lo votaría",0.632,0.293,0.585,0.739,0.548
"P18","No sabe",0.047,0.052,0.064,0.079,0.183
"P19","Lo votaría",0.071,0.151,0.073,0.039,0.067
"P19","Puede que lo vote",0.214,0.352,0.243,0.175,0.165
"P19","Nunca lo votaría",0.587,0.381,0.559,0.609,0.531
"P19","No sabe",0.128,0.116,0.125,0.177,0.237
"P20","La votaría",0.138,0.392,0.338,0.032,0.211
"P20","Puede que la vote",0.125,0.219,0.306,0.061,0.154
"P20","Nunca la votaría",0.698,0.34,0.302,0.823,0.5
"P20","No sabe",0.039,0.049,0.054,0.084,0.135
"P21","Lo votaría",0.047,0.1,0.703,0.065,0.033
"P21","Puede que lo vote",0.13,0.191,0.211,0.15,0.142
"P21","Nunca lo votaría",0.773,0.628,0.058,0.69,0.664
"P21","No sabe",0.05,0.081,0.028,0.095,0.161
"P22","La votaría",0.067,0.232,0.139,0.023,0.067
"P22","Puede que la vote",0.153,0.284,0.254,0.097,0.178
"P22","Nunca la votaría",0.691,0.393,0.518,0.725,0.575
"P22","No sabe",0.089,0.091,0.089,0.155,0.18
"P23","Lo votaría",0.15,0.079,0.018,0.047,0.052
"P23","Puede que lo vote",0.377,0.159,0.045,0.163,0.165
"P23","Nunca lo votaría",0.404,0.714,0.897,0.67,0.634
"P23","No sabe",0.069,0.048,0.04,0.12,0.149
"P24","Lo votaría",0.037,0.116,0.02,0.017,0.019
"P24","Puede que lo vote",0.172,0.253,0.118,0.127,0.105
"P24","Nunca lo votaría",0.657,0.514,0.753,0.64,0.66
"P24","No sabe",0.134,0.117,0.109,0.216,0.216
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.15,0.396,0.141,0.043,0.216
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.099,0.269,0.037,0.068,0.051
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.083,0.026,0.012,0.073,0.084
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.584,0.226,0.011,0.361,0.258
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.013,0.02,0.754,0.004,0.027
"P25","Otros candidatos",0.071,0.063,0.045,0.451,0.364
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.654,0.258,0.017,0.326,0.304
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.222,0.576,0.141,0.033,0.221
"P29","Javier Milei – José Luis Espert por los liberales",0.034,0.044,0.801,0.061,0.05
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.019,0.009,0.008,0.461,0.01
"P29","Otro candidato",0.071,0.113,0.033,0.119,0.415
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.264,0.619,0.05,0.097,0.093
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.484,0.21,0.019,0.088,0.162
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.036,0.048,0.892,0.08,0.032
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.035,0.012,0.003,0.667,0.019
"P31","Otro candidato",0.181,0.111,0.036,0.068,0.694
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.642,0.279,0.008,0.061,0.084
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.233,0.59,0.219,0.033,0.266
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.014,0.035,0.753,0.041,0.014
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.007,0.012,0.007,0.742,0.011
"P33","Otro candidato",0.104,0.084,0.013,0.123,0.625
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.625,0.284,0.028,0.122,0.185
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.284,0.606,0.027,0.203,0.145
"P37","Javier Milei – José Luis Espert por los liberales",0.022,0.042,0.919,0.025,0.02
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.003,0.007,0.594,0.009
"P37","Otro candidato",0.061,0.065,0.019,0.056,0.641
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.656,0.264,0.023,0.505,0.311
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.245,0.61,0.501,0.098,0.29
"P38","No sabe",0.099,0.126,0.476,0.397,0.399
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.555,0.204,0.03,0.335,0.21
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.268,0.662,0.396,0.106,0.181
"P39","No sabe",0.177,0.134,0.574,0.559,0.609
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.646,0.255,0.028,0.334,0.133
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.235,0.63,0.601,0.102,0.307
"P40","No sabe",0.119,0.115,0.371,0.564,0.56
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.658,0.252,0.026,0.564,0.295
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.257,0.676,0.453,0.071,0.194
"P41","No sabe",0.085,0.072,0.521,0.365,0.511
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.65,0.267,0.037,0.384,0.144
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.25,0.664,0.426,0.074,0.18
"P42","No sabe",0.1,0.069,0.537,0.542,0.676
"P43","Muy buena",0.127,0.051,0.009,0.037,0.043
"P43","Buena",0.288,0.128,0.034,0.135,0.113
"P43","Ni buena ni mala",0.21,0.101,0.061,0.353,0.22
"P43","Mala",0.134,0.157,0.085,0.255,0.132
"P43","Muy mala",0.228,0.56,0.802,0.193,0.469
"P43","No sabe",0.013,0.003,0.009,0.027,0.023
"P44","Muy de acuerdo",0.27,0.165,0.118,0.118,0.116
"P44","De acuerdo",0.274,0.175,0.111,0.154,0.148
"P44","Ni de acuerdo ni en desacuerdo",0.242,0.305,0.267,0.422,0.352
"P44","En desacuerdo",0.082,0.157,0.164,0.166,0.135
"P44","Muy en desacuerdo",0.084,0.158,0.267,0.072,0.148
"P44","No sabe",0.048,0.04,0.073,0.068,0.101
"P45","Muy de acuerdo",0.305,0.137,0.043,0.079,0.079
"P45","De acuerdo",0.283,0.159,0.047,0.177,0.125
"P45","Ni de acuerdo ni en desacuerdo",0.222,0.273,0.244,0.319,0.357
"P45","En desacuerdo",0.075,0.165,0.191,0.222,0.143
"P45","Muy en desacuerdo",0.091,0.243,0.441,0.137,0.231
"P45","No sabe",0.024,0.023,0.034,0.066,0.065
"P46","Si",0.529,0.242,0.059,0.201,0.18
"P46","No",0.229,0.546,0.768,0.38,0.467
"P46","No sabe",0.242,0.212,0.173,0.419,0.353
"P47","Muy buena",0.166,0.073,0.016,0.055,0.069
"P47","Buena",0.274,0.138,0.065,0.181,0.151
"P47","Ni buena ni mala",0.209,0.124,0.059,0.316,0.213
"P47","Mala",0.145,0.141,0.111,0.229,0.123
"P47","Muy mala",0.203,0.518,0.744,0.219,0.429
"P47","No sabe",0.003,0.006,0.005,0,0.015
"P48","Muy buena",0.47,0.165,0.011,0.303,0.225
"P48","Buena",0.125,0.066,0.009,0.183,0.064
"P48","Ni buena ni mala",0.076,0.041,0.034,0.161,0.096
"P48","Mala",0.069,0.078,0.058,0.115,0.089
"P48","Muy mala",0.258,0.648,0.884,0.228,0.494
"P48","No sabe",0.002,0.002,0.004,0.01,0.032
"P49","Muy buena",0.119,0.254,0.132,0.044,0.146
"P49","Buena",0.096,0.226,0.249,0.05,0.137
"P49","Ni buena ni mala",0.106,0.143,0.233,0.083,0.145
"P49","Mala",0.183,0.111,0.168,0.131,0.161
"P49","Muy mala",0.481,0.263,0.21,0.663,0.377
"P49","No sabe",0.015,0.003,0.008,0.029,0.034
"P50","Muy buena",0.104,0.283,0.076,0.02,0.057
"P50","Buena",0.142,0.319,0.213,0.043,0.137
"P50","Ni buena ni mala",0.172,0.159,0.296,0.15,0.283
"P50","Mala",0.193,0.089,0.169,0.221,0.154
"P50","Muy mala",0.358,0.143,0.231,0.482,0.276
"P50","No sabe",0.031,0.007,0.015,0.084,0.093
"P51","Muy buena",0.177,0.073,0.023,0.076,0.035
"P51","Buena",0.313,0.147,0.046,0.043,0.1
"P51","Ni buena ni mala",0.231,0.177,0.124,0.383,0.251
"P51","Mala",0.101,0.171,0.167,0.207,0.172
"P51","Muy mala",0.168,0.426,0.627,0.226,0.376
"P51","No sabe",0.01,0.006,0.013,0.065,0.066
"P52","Muy buena",0.138,0.387,0.335,0.046,0.22
"P52","Buena",0.104,0.198,0.255,0.039,0.123
"P52","Ni buena ni mala",0.113,0.116,0.201,0.077,0.168
"P52","Mala",0.143,0.096,0.08,0.101,0.095
"P52","Muy mala",0.484,0.197,0.115,0.622,0.323
"P52","No sabe",0.018,0.006,0.014,0.115,0.071
"P53","Muy buena",0.044,0.067,0.59,0.027,0.032
"P53","Buena",0.067,0.142,0.265,0.037,0.076
"P53","Ni buena ni mala",0.194,0.31,0.114,0.066,0.297
"P53","Mala",0.169,0.178,0.018,0.135,0.157
"P53","Muy mala",0.493,0.28,0.008,0.622,0.353
"P53","No sabe",0.033,0.023,0.005,0.113,0.085
"P54","Muy buena",0.111,0.298,0.169,0.031,0.106
"P54","Buena",0.122,0.266,0.244,0.069,0.156
"P54","Ni buena ni mala",0.123,0.142,0.228,0.154,0.198
"P54","Mala",0.156,0.09,0.146,0.122,0.135
"P54","Muy mala",0.477,0.194,0.202,0.593,0.336
"P54","No sabe",0.011,0.01,0.011,0.031,0.069
"P55","Muy buena",0.117,0.069,0.017,0.027,0.043
"P55","Buena",0.311,0.134,0.031,0.107,0.11
"P55","Ni buena ni mala",0.25,0.138,0.125,0.323,0.246
"P55","Mala",0.107,0.199,0.169,0.172,0.156
"P55","Muy mala",0.198,0.448,0.649,0.296,0.391
"P55","No sabe",0.017,0.012,0.009,0.075,0.054
"P56","Muy buena",0.061,0.147,0.105,0.074,0.076
"P56","Buena",0.162,0.232,0.152,0.059,0.117
"P56","Ni buena ni mala",0.364,0.37,0.317,0.273,0.32
"P56","Mala",0.167,0.091,0.131,0.146,0.146
"P56","Muy mala",0.162,0.114,0.232,0.285,0.193
"P56","No sabe",0.084,0.046,0.063,0.163,0.148
"P57","Muy buena",0.037,0.121,0.028,0.017,0.026
"P57","Buena",0.111,0.236,0.079,0.041,0.076
"P57","Ni buena ni mala",0.286,0.337,0.386,0.187,0.308
"P57","Mala",0.16,0.107,0.145,0.121,0.156
"P57","Muy mala",0.325,0.146,0.268,0.419,0.277
"P57","No sabe",0.081,0.053,0.094,0.215,0.157
