"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P47","Muy buena",0.21,0.01,0.069
"P47","Buena",0.328,0.073,0.131
"P47","Ni buena ni mala",0.254,0.054,0.216
"P47","Mala",0.143,0.11,0.164
"P47","Muy mala",0.06,0.75,0.406
"P47","No sabe",0.005,0.003,0.014
"P48","Muy buena",0.62,0.009,0.172
"P48","Buena",0.179,0.011,0.058
"P48","Ni buena ni mala",0.075,0.013,0.133
"P48","Mala",0.064,0.053,0.119
"P48","Muy mala",0.06,0.91,0.496
"P48","No sabe",0.002,0.004,0.022
"P49","Muy buena",0.069,0.279,0.059
"P49","Buena",0.026,0.325,0.079
"P49","Ni buena ni mala",0.046,0.208,0.177
"P49","Mala",0.213,0.084,0.211
"P49","Muy mala",0.633,0.1,0.442
"P49","No sabe",0.013,0.004,0.032
"P50","Muy buena",0.029,0.24,0.061
"P50","Buena",0.053,0.34,0.126
"P50","Ni buena ni mala",0.138,0.259,0.239
"P50","Mala",0.259,0.086,0.155
"P50","Muy mala",0.487,0.066,0.341
"P50","No sabe",0.034,0.009,0.078
"P51","Muy buena",0.215,0.025,0.035
"P51","Buena",0.382,0.044,0.1
"P51","Ni buena ni mala",0.276,0.099,0.286
"P51","Mala",0.065,0.193,0.176
"P51","Muy mala",0.055,0.628,0.346
"P51","No sabe",0.007,0.011,0.057
"P52","Muy buena",0.035,0.534,0.054
"P52","Buena",0.047,0.266,0.129
"P52","Ni buena ni mala",0.108,0.106,0.249
"P52","Mala",0.168,0.037,0.153
"P52","Muy mala",0.622,0.05,0.347
"P52","No sabe",0.02,0.007,0.068
"P53","Muy buena",0.036,0.251,0.219
"P53","Buena",0.028,0.219,0.112
"P53","Ni buena ni mala",0.103,0.302,0.206
"P53","Mala",0.171,0.116,0.114
"P53","Muy mala",0.627,0.096,0.278
"P53","No sabe",0.035,0.016,0.071
"P54","Muy buena",0.019,0.328,0.065
"P54","Buena",0.031,0.342,0.119
"P54","Ni buena ni mala",0.088,0.208,0.19
"P54","Mala",0.203,0.06,0.175
"P54","Muy mala",0.647,0.058,0.385
"P54","No sabe",0.012,0.004,0.066
"P55","Muy buena",0.148,0.028,0.032
"P55","Buena",0.37,0.039,0.106
"P55","Ni buena ni mala",0.303,0.085,0.255
"P55","Mala",0.082,0.188,0.186
"P55","Muy mala",0.083,0.65,0.368
"P55","No sabe",0.014,0.01,0.053
"P56","Muy buena",0.031,0.148,0.082
"P56","Buena",0.114,0.236,0.102
"P56","Ni buena ni mala",0.372,0.339,0.318
"P56","Mala",0.194,0.097,0.132
"P56","Muy mala",0.196,0.136,0.224
"P56","No sabe",0.093,0.044,0.142
"P57","Muy buena",0.011,0.092,0.034
"P57","Buena",0.041,0.215,0.069
"P57","Ni buena ni mala",0.225,0.393,0.316
"P57","Mala",0.2,0.112,0.127
"P57","Muy mala",0.433,0.125,0.296
"P57","No sabe",0.09,0.063,0.158
