"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P35","Javier Milei – José Luis Espert por los liberales",0.048,0.022,0.88,0.021,0.04
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.013,0.014,0.011,0.577,0.01
"P35","Otro candidato",0.076,0.158,0.026,0.102,0.633
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.42,0.476,0.032,0.213,0.219
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.443,0.423,0.045,0.236,0.185
"P37","Javier Milei – José Luis Espert por los liberales",0.05,0.017,0.888,0.036,0.041
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.006,0.009,0.009,0.443,0.012
"P37","Otro candidato",0.081,0.075,0.026,0.072,0.543
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.124,0.81,0.041,0.536,0.351
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.734,0.122,0.483,0.072,0.28
"P38","No sabe",0.142,0.068,0.476,0.392,0.369
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.068,0.804,0.039,0.339,0.166
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.819,0.098,0.377,0.085,0.191
"P39","No sabe",0.113,0.098,0.584,0.576,0.643
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.092,0.72,0.056,0.452,0.277
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.751,0.104,0.586,0.086,0.296
"P40","No sabe",0.157,0.176,0.358,0.462,0.427
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.095,0.821,0.043,0.569,0.356
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.828,0.089,0.437,0.085,0.195
"P41","No sabe",0.077,0.09,0.52,0.346,0.449
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.104,0.744,0.061,0.479,0.283
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.808,0.096,0.412,0.087,0.172
"P42","No sabe",0.088,0.16,0.527,0.434,0.545
"P43","Muy buena",0.027,0.175,0.008,0.063,0.036
"P43","Buena",0.069,0.4,0.037,0.13,0.103
"P43","Ni buena ni mala",0.056,0.247,0.07,0.348,0.225
"P43","Mala",0.145,0.096,0.089,0.258,0.173
"P43","Muy mala",0.695,0.072,0.783,0.199,0.443
"P43","No sabe",0.008,0.01,0.013,0.002,0.02
"P44","Muy de acuerdo",0.096,0.318,0.116,0.172,0.171
"P44","De acuerdo",0.153,0.298,0.113,0.177,0.166
"P44","Ni de acuerdo ni en desacuerdo",0.322,0.235,0.276,0.408,0.311
"P44","En desacuerdo",0.186,0.052,0.156,0.158,0.128
"P44","Muy en desacuerdo",0.194,0.054,0.266,0.05,0.129
"P44","No sabe",0.049,0.043,0.073,0.035,0.095
"P45","Muy de acuerdo",0.066,0.352,0.045,0.138,0.144
"P45","De acuerdo",0.096,0.322,0.051,0.212,0.178
"P45","Ni de acuerdo ni en desacuerdo",0.324,0.211,0.245,0.335,0.284
