"var","categoria","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P17","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.035,0.026,0,0.139,0.816,0,0.006
"P17","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.004,0.007,0,0.155,0.004,0.594,0.032
"P17","No sabe",0.061,0.185,0.21,0.097,0.099,0.265,0.74
"P18","La votaría",0.38,0.154,0.01,0.205,0.083,0.318,0.12
"P18","Puede que la vote",0.17,0.397,0.058,0.03,0.058,0.193,0.126
"P18","Nunca la votaría",0.2,0.337,0.808,0.376,0.651,0.332,0.431
"P18","No sabe",0.25,0.112,0.124,0.389,0.208,0.157,0.323
"P19","Lo votaría",0.631,0.096,0,0.152,0.037,0,0.082
"P19","Puede que lo vote",0.123,0.483,0.133,0.223,0.092,0.165,0.107
"P19","Nunca lo votaría",0.113,0.338,0.786,0.565,0.742,0.72,0.554
"P19","No sabe",0.133,0.083,0.081,0.06,0.129,0.115,0.257
"P20","La votaría",0.265,0.199,0.508,0.191,0.062,0.313,0.071
"P20","Puede que la vote",0.231,0.45,0.151,0.223,0.102,0.01,0.098
"P20","Nunca la votaría",0.441,0.335,0.334,0.586,0.73,0.643,0.681
"P20","No sabe",0.063,0.016,0.007,0,0.106,0.034,0.15
"P21","Lo votaría",0.248,0.367,0.081,0,0.039,0,0.083
"P21","Puede que lo vote",0.264,0.506,0.091,0.046,0.133,0.11,0.107
"P21","Nunca lo votaría",0.297,0.094,0.7,0.906,0.723,0.781,0.569
"P21","No sabe",0.191,0.033,0.128,0.048,0.105,0.109,0.241
"P22","Lo votaría",0.25,0.365,0.057,0.223,0.038,0.285,0.103
"P22","Puede que lo vote",0.279,0.406,0.079,0,0.088,0.202,0.119
"P22","Nunca lo votaría",0.441,0.208,0.761,0.705,0.765,0.402,0.604
"P22","No sabe",0.03,0.021,0.103,0.072,0.109,0.111,0.174
"P23","Lo votaría",0.243,0.273,0.04,0.285,0.055,0.292,0.227
"P23","Puede que lo vote",0.154,0.46,0.063,0.014,0.114,0.146,0.045
"P23","Nunca lo votaría",0.565,0.252,0.788,0.701,0.665,0.399,0.52
"P23","No sabe",0.038,0.015,0.109,0,0.166,0.163,0.208
"P24","La votaría",0.226,0.211,0.005,0,0.108,0.292,0.218
"P24","Puede que la vote",0.168,0.166,0.063,0.229,0.108,0,0.07
"P24","Nunca la votaría",0.574,0.562,0.836,0.696,0.636,0.62,0.482
"P24","No sabe",0.032,0.061,0.096,0.075,0.148,0.088,0.23
"P25","Lo votaría",0.276,0.172,0.115,0,0.131,0.294,0.124
"P25","Puede que lo vote",0.196,0.424,0.144,0.018,0.019,0.254,0.15
"P25","Nunca lo votaría",0.503,0.36,0.655,0.911,0.755,0.34,0.5
"P25","No sabe",0.025,0.044,0.086,0.071,0.095,0.112,0.226
"P26","Lo votaría",0.188,0.129,0.033,0.958,0.037,0.306,0.071
"P26","Puede que lo vote",0.24,0.408,0.065,0.014,0.097,0.175,0.062
"P26","Nunca lo votaría",0.507,0.401,0.804,0.028,0.686,0.43,0.662
"P26","No sabe",0.065,0.062,0.098,0,0.18,0.089,0.205
"P27","Lo votaría",0.186,0.224,0,0.257,0.427,0.315,0.071
"P27","Puede que lo vote",0.155,0.318,0.057,0,0.318,0.191,0.116
"P27","Nunca lo votaría",0.577,0.383,0.846,0.673,0.16,0.377,0.595
"P27","No sabe",0.082,0.075,0.097,0.07,0.095,0.117,0.218
"P28","Lo votaría",0.195,0.202,0.005,0,0.368,0.304,0.071
"P28","Puede que lo vote",0.108,0.097,0.033,0.239,0.281,0.195,0.061
"P28","Nunca lo votaría",0.58,0.611,0.864,0.705,0.217,0.336,0.681
"P28","No sabe",0.117,0.09,0.098,0.056,0.134,0.165,0.187
"P29","Lo votaría",0.202,0.179,0.014,0,0.098,0.662,0.071
"P29","Puede que lo vote",0.095,0.152,0.024,0.014,0.164,0.226,0.029
"P29","Nunca lo votaría",0.644,0.608,0.894,0.93,0.648,0.061,0.767
"P29","No sabe",0.059,0.061,0.068,0.056,0.09,0.051,0.133
"P30","La votaría",0.23,0.151,0,0.244,0.152,0.068,0.081
"P30","Puede que la vote",0.063,0.171,0.114,0.017,0.301,0.551,0.042
"P30","Nunca la votaría",0.638,0.557,0.781,0.672,0.514,0.238,0.698
"P30","No sabe",0.069,0.121,0.105,0.067,0.033,0.143,0.179
"P31","Si",0.345,0.399,0.341,0.357,0.457,0.31,0.589
"P31","No",0.655,0.601,0.659,0.643,0.543,0.69,0.411
