"var","categoria","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P11","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.622,0.151,0.143,0,0.029,0,0.069
"P11","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.095,0.413,0.043,0.276,0.148,0.118,0.116
"P11","Arabella Carreras por Unidos Bariloche",0.058,0.13,0.699,0.016,0.019,0.048,0.004
"P11","Pablo Chamátropulos por Podemos Bariloche",0.049,0.034,0.003,0.506,0.009,0,0
"P11","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.011,0.092,0,0.186,0.773,0.042,0.014
"P11","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.013,0.025,0.016,0.007,0.771,0.007
"P11","No sabe",0.165,0.167,0.087,0,0.015,0.021,0.79
"P12","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.72,0.15,0.064,0.268,0,0,0.101
"P12","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.079,0.52,0.026,0.023,0.211,0,0.15
"P12","Arabella Carreras por Unidos Bariloche",0.044,0.042,0.81,0,0.016,0,0
"P12","Pablo Chamátropulos por Podemos Bariloche",0,0.008,0,0.439,0,0,0.002
"P12","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.051,0.042,0.024,0.192,0.708,0.106,0.011
"P12","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.065,0.08,0.02,0,0.033,0.894,0.01
"P12","No sabe",0.041,0.158,0.056,0.078,0.032,0,0.726
"P13","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.746,0.186,0.151,0,0.036,0.017,0.151
"P13","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.058,0.558,0.076,0.053,0.04,0.096,0.141
"P13","Arabella Carreras por Unidos Bariloche",0.014,0.127,0.755,0.016,0.117,0,0.011
"P13","Pablo Chamátropulos por Podemos Bariloche",0.01,0.022,0.007,0.88,0.008,0.05,0
"P13","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.051,0.023,0,0.02,0.737,0.038,0.012
"P13","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.009,0.036,0,0.031,0.026,0.55,0.016
"P13","No sabe",0.112,0.048,0.011,0,0.036,0.249,0.669
"P14","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.674,0.192,0.088,0.164,0,0,0.029
"P14","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.126,0.513,0.027,0.022,0.118,0.026,0.124
"P14","Arabella Carreras por Unidos Bariloche",0.054,0.074,0.788,0,0.043,0,0.006
"P14","Pablo Chamátropulos por Podemos Bariloche",0,0.079,0,0.563,0.018,0,0.002
"P14","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.036,0.076,0,0,0.776,0.069,0.072
"P14","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0,0.019,0.236,0.045,0.894,0.026
"P14","No sabe",0.11,0.066,0.078,0.015,0,0.011,0.741
"P15","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.68,0.211,0.154,0.249,0.056,0,0.087
"P15","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.173,0.504,0.024,0.195,0.154,0.14,0.124
"P15","Arabella Carreras por Unidos Bariloche",0.059,0.082,0.771,0,0.021,0.032,0.006
"P15","Pablo Chamátropulos por Podemos Bariloche",0.016,0.018,0.008,0.439,0.006,0.04,0
"P15","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.006,0.071,0,0,0.755,0.053,0.036
"P15","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.016,0.017,0.02,0.047,0,0.724,0.008
"P15","No sabe",0.05,0.097,0.023,0.07,0.008,0.011,0.739
"P16","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.707,0.134,0,0.015,0.043,0,0.058
"P16","Carlos Valeri  por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.106,0.396,0.234,0,0.146,0.131,0.051
"P16","Arabella Carreras por Unidos Bariloche",0.061,0.154,0.67,0.143,0.016,0.046,0.014
"P16","Pablo Chamátropulos por Podemos Bariloche",0,0.028,0.006,0.524,0.026,0,0.061
"P16","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.071,0.021,0,0.257,0.71,0.074,0.026
"P16","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.016,0.058,0.017,0,0.018,0.749,0.008
"P16","No sabe",0.039,0.209,0.073,0.061,0.041,0,0.782
"P17","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.701,0.14,0.154,0.05,0.022,0.221,0.095
"P17","Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.069,0.453,0.152,0.017,0.008,0.023,0.092
"P17","Arabella Carreras por Unidos Bariloche",0.045,0.1,0.549,0,0.118,0.012,0.002
"P17","Pablo Chamátropulos por Podemos Bariloche",0.044,0.077,0.025,0.505,0.004,0,0.016
"P17","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.06,0.027,0.01,0.771,0.071,0.007
"P17","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.059,0.016,0.136,0.007,0.619,0.043
"P17","No sabe",0.141,0.111,0.077,0.282,0.07,0.054,0.745
"P18","La votaría",0.537,0.094,0.051,0.337,0.026,0.108,0.078
"P18","Puede que la vote",0.113,0.265,0.157,0.051,0.228,0.358,0.104
"P18","Nunca la votaría",0.159,0.373,0.71,0.323,0.54,0.417,0.505
"P18","No sabe",0.191,0.268,0.082,0.289,0.206,0.117,0.313
"P19","Lo votaría",0.542,0.115,0.109,0.021,0.055,0,0.133
"P19","Puede que lo vote",0.113,0.397,0.178,0.039,0.248,0.377,0.091
"P19","Nunca lo votaría",0.128,0.399,0.655,0.849,0.587,0.577,0.572
"P19","No sabe",0.217,0.089,0.058,0.091,0.11,0.046,0.204
"P20","La votaría",0.381,0.099,0.569,0.32,0.014,0,0.077
"P20","Puede que la vote",0.133,0.349,0.228,0.053,0.327,0.049,0.124
"P20","Nunca la votaría",0.482,0.47,0.179,0.534,0.581,0.924,0.674
"P20","No sabe",0.004,0.082,0.024,0.093,0.078,0.027,0.125
"P21","Lo votaría",0.297,0.299,0.134,0.055,0,0.032,0.075
"P21","Puede que lo vote",0.169,0.393,0.203,0.041,0.324,0.106,0.124
"P21","Nunca lo votaría",0.31,0.226,0.581,0.809,0.584,0.791,0.599
"P21","No sabe",0.224,0.082,0.082,0.095,0.092,0.071,0.202
"P22","Lo votaría",0.362,0.323,0.121,0.313,0,0,0.097
"P22","Puede que lo vote",0.184,0.368,0.066,0.055,0.31,0.331,0.13
"P22","Nunca lo votaría",0.418,0.28,0.718,0.495,0.618,0.603,0.606
"P22","No sabe",0.036,0.029,0.095,0.137,0.072,0.066,0.167
"P23","Lo votaría",0.32,0.252,0.08,0.379,0.035,0,0.223
"P23","Puede que lo vote",0.133,0.295,0.06,0.104,0.279,0.299,0.069
"P23","Nunca lo votaría",0.471,0.4,0.767,0.517,0.629,0.605,0.48
"P23","No sabe",0.076,0.053,0.093,0,0.057,0.096,0.228
"P24","La votaría",0.383,0.073,0.065,0.337,0.064,0,0.156
"P24","Puede que la vote",0.102,0.391,0.061,0,0.079,0.033,0.054
"P24","Nunca la votaría",0.411,0.5,0.821,0.563,0.799,0.933,0.546
"P24","No sabe",0.104,0.036,0.053,0.1,0.058,0.034,0.244
"P25","Lo votaría",0.287,0.141,0.19,0.341,0.015,0,0.153
"P25","Puede que lo vote",0.201,0.262,0.179,0.058,0.265,0.398,0.113
"P25","Nunca lo votaría",0.403,0.533,0.586,0.559,0.659,0.532,0.544
"P25","No sabe",0.109,0.064,0.045,0.042,0.061,0.07,0.19
"P26","Lo votaría",0.256,0.117,0.09,0.88,0,0,0.067
"P26","Puede que lo vote",0.2,0.244,0.103,0,0.358,0.282,0.065
"P26","Nunca lo votaría",0.414,0.547,0.728,0.077,0.586,0.677,0.672
"P26","No sabe",0.13,0.092,0.079,0.043,0.056,0.041,0.196
"P27","Lo votaría",0.276,0.2,0.08,0.364,0.274,0.016,0.075
"P27","Puede que lo vote",0.098,0.201,0.054,0.1,0.492,0.353,0.098
"P27","Nunca lo votaría",0.489,0.572,0.779,0.495,0.205,0.579,0.566
"P27","No sabe",0.137,0.027,0.087,0.041,0.029,0.052,0.261
"P28","Lo votaría",0.304,0.058,0.067,0.349,0.263,0,0.067
"P28","Puede que lo vote",0.034,0.289,0.076,0,0.216,0.361,0.048
"P28","Nunca lo votaría",0.569,0.614,0.769,0.565,0.407,0.501,0.628
"P28","No sabe",0.093,0.039,0.088,0.086,0.114,0.138,0.257
"P29","Lo votaría",0.293,0.058,0.124,0.35,0.027,0.508,0.079
"P29","Puede que lo vote",0.044,0.151,0.012,0.045,0.229,0.38,0.037
"P29","Nunca lo votaría",0.567,0.738,0.827,0.564,0.7,0.112,0.728
"P29","No sabe",0.096,0.053,0.037,0.041,0.044,0,0.156
"P30","La votaría",0.258,0.173,0.091,0,0.12,0.04,0.085
"P30","Puede que la vote",0,0.219,0.143,0.37,0.257,0.445,0.045
"P30","Nunca la votaría",0.634,0.559,0.679,0.549,0.584,0.413,0.656
"P30","No sabe",0.108,0.049,0.087,0.081,0.039,0.102,0.214
"P31","Si",0.551,0.296,0.335,0.265,0.388,0.55,0.477
"P31","No",0.449,0.704,0.665,0.735,0.612,0.45,0.523
