"var","categoria","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P12","Pablo Chamátropulos por Podemos Bariloche",0,0,0,0.589,0,0,0.004
"P12","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.052,0.027,0.026,0.096,0.666,0.021,0.039
"P12","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.013,0.007,0.213,0.061,0.69,0.017
"P12","No sabe",0.076,0.14,0.05,0.041,0.064,0.149,0.805
"P13","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.726,0.169,0.126,0.032,0.172,0.07,0.109
"P13","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.066,0.511,0.065,0.16,0.055,0.081,0.105
"P13","Arabella Carreras por Unidos Bariloche",0.024,0.025,0.72,0.058,0.047,0.026,0.002
"P13","Pablo Chamátropulos por Podemos Bariloche",0.051,0.006,0.007,0.694,0.005,0.22,0.004
"P13","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.013,0.167,0,0.018,0.678,0,0.018
"P13","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.028,0.006,0.028,0.038,0.02,0.513,0.013
"P13","No sabe",0.092,0.116,0.054,0,0.023,0.09,0.749
"P15","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.716,0.086,0.112,0.179,0.048,0.192,0.094
"P15","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.121,0.768,0.027,0.043,0.06,0.071,0.041
"P15","Arabella Carreras por Unidos Bariloche",0.013,0.042,0.789,0.032,0.039,0.048,0.018
"P15","Pablo Chamátropulos por Podemos Bariloche",0.022,0,0.01,0.656,0,0,0.004
"P15","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.042,0.022,0.035,0,0.735,0.013,0.017
"P15","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.011,0.011,0.007,0,0,0.592,0.017
"P15","No sabe",0.075,0.071,0.02,0.09,0.118,0.084,0.809
"P16","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.697,0.132,0,0.053,0.05,0.057,0.054
"P16","Carlos Valeri  por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.119,0.517,0.134,0,0.052,0,0.088
"P16","Arabella Carreras por Unidos Bariloche",0.074,0.077,0.74,0.154,0.014,0.043,0.02
"P16","Pablo Chamátropulos por Podemos Bariloche",0,0,0.024,0.726,0.112,0,0
"P16","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.007,0.027,0,0.019,0.715,0.177,0.006
"P16","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.019,0.006,0.006,0,0.04,0.645,0.018
"P16","No sabe",0.084,0.241,0.096,0.048,0.017,0.078,0.814
"P17","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.635,0.126,0.125,0.069,0.066,0.006,0.103
"P17","Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.086,0.427,0.109,0.021,0.054,0.011,0.087
"P17","Arabella Carreras por Unidos Bariloche",0.061,0.142,0.675,0,0.009,0,0.012
"P17","Pablo Chamátropulos por Podemos Bariloche",0.102,0.051,0,0.598,0.027,0,0
"P17","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.011,0.014,0.04,0.028,0.652,0.109,0.016
"P17","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.038,0,0,0.181,0.006,0.608,0.041
"P17","No sabe",0.067,0.24,0.051,0.103,0.186,0.266,0.741
"P18","La votaría",0.572,0.103,0.006,0.209,0.034,0.274,0.027
"P18","Puede que la vote",0.163,0.37,0.154,0.101,0.038,0.167,0.108
"P18","Nunca la votaría",0.129,0.289,0.714,0.359,0.686,0.301,0.552
"P18","No sabe",0.136,0.238,0.126,0.331,0.242,0.258,0.313
"P19","Lo votaría",0.592,0.095,0.095,0.013,0.048,0.083,0.103
"P19","Puede que lo vote",0.155,0.377,0.233,0.299,0.066,0.142,0.104
"P19","Nunca lo votaría",0.162,0.344,0.622,0.577,0.734,0.636,0.571
"P19","No sabe",0.091,0.184,0.05,0.111,0.152,0.139,0.222
"P20","La votaría",0.371,0.157,0.478,0.194,0.012,0.287,0.047
"P20","Puede que la vote",0.118,0.427,0.315,0.147,0.119,0.094,0.104
"P20","Nunca la votaría",0.475,0.353,0.2,0.595,0.802,0.545,0.703
"P20","No sabe",0.036,0.063,0.007,0.064,0.067,0.074,0.146
"P21","Lo votaría",0.363,0.274,0.109,0.024,0,0.03,0.062
"P21","Puede que lo vote",0.167,0.433,0.23,0.082,0.117,0.184,0.165
"P21","Nunca lo votaría",0.332,0.148,0.571,0.766,0.708,0.711,0.579
"P21","No sabe",0.138,0.145,0.09,0.128,0.175,0.075,0.194
"P22","Lo votaría",0.355,0.227,0.07,0.196,0.128,0.283,0.055
"P22","Puede que lo vote",0.162,0.523,0.115,0.051,0.074,0.251,0.12
"P22","Nunca lo votaría",0.451,0.205,0.717,0.633,0.732,0.389,0.621
"P22","No sabe",0.032,0.045,0.098,0.12,0.066,0.077,0.204
"P23","Lo votaría",0.264,0.345,0.029,0.27,0.11,0.291,0.155
"P23","Puede que lo vote",0.156,0.434,0.054,0.054,0.092,0.13,0.091
"P23","Nunca lo votaría",0.495,0.197,0.813,0.676,0.691,0.473,0.522
"P23","No sabe",0.085,0.024,0.104,0,0.107,0.106,0.232
"P24","La votaría",0.311,0.32,0.014,0,0.148,0.26,0.028
"P24","Puede que la vote",0.089,0.259,0.09,0.27,0.053,0,0.096
"P24","Nunca la votaría",0.53,0.332,0.835,0.659,0.691,0.665,0.624
"P24","No sabe",0.07,0.089,0.061,0.071,0.108,0.075,0.252
"P25","Lo votaría",0.299,0.151,0.127,0,0.147,0.262,0.105
"P25","Puede que lo vote",0.182,0.395,0.174,0.071,0.064,0.295,0.142
"P25","Nunca lo votaría",0.5,0.28,0.647,0.876,0.733,0.366,0.517
"P25","No sabe",0.019,0.174,0.052,0.053,0.056,0.077,0.236
"P26","Lo votaría",0.316,0.071,0.04,0.883,0,0.273,0.009
"P26","Puede que lo vote",0.123,0.378,0.112,0.091,0.153,0.219,0.108
"P26","Nunca lo votaría",0.492,0.362,0.783,0.026,0.734,0.431,0.694
"P26","No sabe",0.069,0.189,0.065,0,0.113,0.077,0.189
"P27","Lo votaría",0.314,0.174,0.03,0.243,0.284,0.281,0
"P27","Puede que lo vote",0.093,0.384,0.052,0.066,0.231,0.285,0.118
"P27","Nunca lo votaría",0.491,0.331,0.848,0.638,0.399,0.352,0.636
"P27","No sabe",0.102,0.111,0.07,0.053,0.086,0.082,0.246
"P28","Lo votaría",0.32,0.132,0.015,0,0.259,0.303,0
"P28","Puede que lo vote",0.033,0.175,0.074,0.279,0.193,0.174,0.074
"P28","Nunca lo votaría",0.575,0.582,0.842,0.668,0.43,0.316,0.671
"P28","No sabe",0.072,0.111,0.069,0.053,0.118,0.207,0.255
"P29","Lo votaría",0.329,0.106,0.044,0,0.027,0.608,0.009
"P29","Puede que lo vote",0,0.203,0.012,0.053,0.151,0.265,0.063
"P29","Nunca lo votaría",0.615,0.576,0.908,0.894,0.779,0.086,0.755
"P29","No sabe",0.056,0.115,0.036,0.053,0.043,0.041,0.173
"P30","La votaría",0.279,0.156,0.01,0.232,0.063,0.176,0.02
"P30","Puede que la vote",0.03,0.15,0.109,0.067,0.288,0.491,0.05
"P30","Nunca la votaría",0.621,0.577,0.786,0.65,0.611,0.228,0.684
"P30","No sabe",0.07,0.117,0.095,0.051,0.038,0.105,0.246
"P31","Si",0.46,0.424,0.434,0.364,0.356,0.334,0.486
"P31","No",0.54,0.576,0.566,0.636,0.644,0.666,0.514
