"var","categoria","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P10","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.11,0.451,0.087,0.038,0.005,0,0.073
"P10","Arabella Carreras por Unidos Bariloche",0.112,0.207,0.816,0,0.041,0,0.055
"P10","Pablo Chamátropulos por Podemos Bariloche",0.016,0.028,0.015,0.444,0.019,0.011,0.046
"P10","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.011,0.004,0.185,0.904,0.105,0.036
"P10","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.016,0.009,0.04,0.119,0,0.628,0.07
"P10","No sabe",0.143,0.223,0.004,0.095,0.027,0.155,0.613
"P11","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.671,0.061,0.05,0.147,0.053,0,0.059
"P11","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.036,0.505,0.204,0.161,0.028,0,0.209
"P11","Arabella Carreras por Unidos Bariloche",0.079,0.158,0.641,0,0.01,0,0.017
"P11","Pablo Chamátropulos por Podemos Bariloche",0.055,0,0.015,0.433,0.02,0,0.015
"P11","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.017,0.021,0.021,0.137,0.846,0.194,0.015
"P11","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.028,0.008,0,0.039,0.655,0.021
"P11","No sabe",0.142,0.227,0.061,0.122,0.004,0.151,0.664
"P12","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.65,0.142,0.051,0.15,0,0,0.177
"P12","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.083,0.54,0.237,0.348,0.045,0,0.125
"P12","Arabella Carreras por Unidos Bariloche",0.069,0.126,0.673,0.024,0.036,0,0.014
"P12","Pablo Chamátropulos por Podemos Bariloche",0.006,0,0,0.382,0.008,0,0
"P12","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.068,0.041,0.014,0.013,0.845,0.123,0.012
"P12","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.033,0.026,0,0,0.06,0.753,0.032
"P12","No sabe",0.091,0.125,0.025,0.083,0.006,0.124,0.64
"P13","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.743,0.183,0.067,0.211,0.032,0,0.102
"P13","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.039,0.53,0.086,0.152,0.062,0.185,0.115
"P13","Arabella Carreras por Unidos Bariloche",0.031,0.178,0.636,0,0.024,0.026,0.021
"P13","Pablo Chamátropulos por Podemos Bariloche",0.007,0,0.04,0.433,0.048,0.082,0.055
"P13","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.039,0.011,0.144,0.012,0.797,0,0.015
"P13","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.004,0.028,0,0.192,0,0.578,0.03
"P13","No sabe",0.137,0.07,0.027,0,0.037,0.129,0.662
"P14","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.62,0.124,0.088,0.329,0.018,0.091,0.046
"P14","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.111,0.55,0.185,0.148,0.02,0,0.148
"P14","Arabella Carreras por Unidos Bariloche",0.088,0.111,0.699,0,0.047,0,0.025
"P14","Pablo Chamátropulos por Podemos Bariloche",0.016,0.007,0,0.459,0.011,0.102,0.017
"P14","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.047,0.057,0.009,0.064,0.788,0.01,0.094
"P14","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.003,0.008,0,0,0.085,0.684,0.087
"P14","No sabe",0.115,0.143,0.019,0,0.031,0.113,0.583
"P15","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.775,0.061,0.059,0.165,0.055,0.109,0.084
"P15","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.106,0.64,0.228,0.159,0.009,0.219,0.111
"P15","Arabella Carreras por Unidos Bariloche",0.049,0.143,0.654,0.025,0.027,0,0.046
"P15","Pablo Chamátropulos por Podemos Bariloche",0.026,0,0.008,0.498,0,0,0.01
"P15","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.006,0.026,0.011,0.153,0.872,0.009,0.018
"P15","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.015,0.035,0,0,0.007,0.526,0.018
"P15","No sabe",0.023,0.095,0.04,0,0.03,0.137,0.713
"P16","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.729,0.064,0.043,0.145,0.035,0,0.049
"P16","Carlos Valeri  por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.093,0.709,0.193,0.103,0.003,0,0.025
"P16","Arabella Carreras por Unidos Bariloche",0.085,0.025,0.713,0.064,0.045,0.204,0.036
"P16","Pablo Chamátropulos por Podemos Bariloche",0,0,0.007,0.408,0.022,0,0.067
"P16","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.01,0.027,0,0.211,0.857,0.011,0.064
"P16","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.006,0.008,0.035,0,0.005,0.677,0.049
"P16","No sabe",0.077,0.167,0.009,0.069,0.033,0.108,0.71
"P18","La votaría",0.37,0.225,0.054,0.155,0.033,0.237,0.138
"P18","Puede que la vote",0.242,0.141,0.273,0.143,0.074,0.206,0.087
"P18","Nunca la votaría",0.168,0.49,0.553,0.387,0.629,0.461,0.483
"P18","No sabe",0.22,0.144,0.12,0.315,0.264,0.096,0.292
"P19","Lo votaría",0.598,0.086,0.063,0.144,0.072,0,0.049
"P19","Puede que lo vote",0.173,0.281,0.311,0.179,0.098,0.406,0.092
"P19","Nunca lo votaría",0.089,0.551,0.526,0.61,0.668,0.531,0.651
"P19","No sabe",0.14,0.082,0.1,0.067,0.162,0.063,0.208
"P20","La votaría",0.236,0.298,0.475,0.143,0.024,0.202,0.142
"P20","Puede que la vote",0.203,0.309,0.323,0.192,0.199,0.013,0.117
"P20","Nunca la votaría",0.542,0.373,0.195,0.597,0.636,0.737,0.614
"P20","No sabe",0.019,0.02,0.007,0.068,0.141,0.048,0.127
"P21","Lo votaría",0.337,0.202,0.126,0,0,0,0.128
"P21","Puede que lo vote",0.174,0.408,0.339,0.212,0.192,0.127,0.109
"P21","Nunca lo votaría",0.312,0.298,0.412,0.611,0.703,0.823,0.598
"P21","No sabe",0.177,0.092,0.123,0.177,0.105,0.05,0.165
"P22","Lo votaría",0.28,0.337,0.06,0.033,0.042,0.198,0.218
"P22","Puede que lo vote",0.2,0.286,0.305,0.14,0.123,0.257,0.133
"P22","Nunca lo votaría",0.508,0.338,0.505,0.754,0.733,0.52,0.485
"P22","No sabe",0.012,0.039,0.13,0.073,0.102,0.025,0.164
"P23","Lo votaría",0.275,0.217,0.101,0.043,0.06,0.204,0.284
"P23","Puede que lo vote",0.123,0.326,0.279,0.046,0.116,0.204,0.078
"P23","Nunca lo votaría",0.542,0.422,0.494,0.789,0.741,0.519,0.465
"P23","No sabe",0.06,0.035,0.126,0.122,0.083,0.073,0.173
"P24","La votaría",0.316,0.206,0.064,0,0.097,0,0.201
"P24","Puede que la vote",0.108,0.262,0.113,0,0.115,0.204,0.062
"P24","Nunca la votaría",0.533,0.497,0.722,0.774,0.724,0.771,0.523
"P24","No sabe",0.043,0.035,0.101,0.226,0.064,0.025,0.214
"P25","Lo votaría",0.291,0.34,0.08,0.121,0.048,0,0.142
"P25","Puede que lo vote",0.158,0.396,0.354,0.059,0.094,0.304,0.097
"P25","Nunca lo votaría",0.495,0.237,0.479,0.777,0.757,0.642,0.561
"P25","No sabe",0.056,0.027,0.087,0.043,0.101,0.054,0.2
"P26","Lo votaría",0.199,0.247,0.075,0.526,0,0.214,0.106
"P26","Puede que lo vote",0.239,0.214,0.273,0,0.191,0.214,0.071
"P26","Nunca lo votaría",0.486,0.516,0.544,0.312,0.67,0.516,0.652
"P26","No sabe",0.076,0.023,0.108,0.162,0.139,0.056,0.171
"P27","Lo votaría",0.228,0.228,0.029,0.013,0.436,0.227,0.142
"P27","Puede que lo vote",0.107,0.192,0.272,0.045,0.424,0.317,0.077
"P27","Nunca lo votaría",0.602,0.523,0.541,0.783,0.131,0.392,0.571
"P27","No sabe",0.063,0.057,0.158,0.159,0.009,0.064,0.21
"P28","Lo votaría",0.235,0.243,0.066,0,0.379,0,0.105
"P28","Puede que lo vote",0.079,0.207,0.026,0,0.259,0.485,0.058
"P28","Nunca lo votaría",0.645,0.512,0.749,0.791,0.226,0.41,0.631
"P28","No sabe",0.041,0.038,0.159,0.209,0.136,0.105,0.206
"P29","Lo votaría",0.243,0.231,0.043,0,0.105,0.415,0.125
"P29","Puede que lo vote",0.032,0.168,0.061,0.047,0.262,0.262,0.045
"P29","Nunca lo votaría",0.694,0.563,0.809,0.911,0.551,0.323,0.669
"P29","No sabe",0.031,0.038,0.087,0.042,0.082,0,0.161
"P30","La votaría",0.239,0.151,0.057,0,0.224,0.316,0.024
"P30","Puede que la vote",0.058,0.272,0.113,0.013,0.319,0.332,0.129
"P30","Nunca la votaría",0.654,0.456,0.705,0.903,0.421,0.275,0.656
"P30","No sabe",0.049,0.121,0.125,0.084,0.036,0.077,0.191
"P31","Si",0.473,0.403,0.329,0.272,0.428,0.451,0.46
"P31","No",0.527,0.597,0.671,0.728,0.572,0.549,0.54
