"var","categoria","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P08","No sabe",0.086,0.181,0.023,0.116,0.033,0.196,0.775
"P09","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.713,0.235,0.114,0.131,0.045,0.027,0.054
"P09","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.04,0.595,0.253,0.165,0.063,0,0.086
"P09","Arabella Carreras por Unidos Bariloche",0,0.042,0.512,0.016,0.003,0.195,0.028
"P09","Pablo Chamátropulos por Podemos Bariloche",0.02,0.005,0.033,0.55,0.115,0,0.009
"P09","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.007,0.016,0.061,0.046,0.763,0.049,0.013
"P09","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.097,0,0,0.037,0,0.718,0.049
"P09","No sabe",0.123,0.107,0.027,0.055,0.011,0.011,0.761
"P11","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.688,0.09,0.059,0.085,0.046,0,0.114
"P11","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.113,0.624,0.13,0.072,0.049,0.146,0.047
"P11","Arabella Carreras por Unidos Bariloche",0.005,0.04,0.678,0.015,0.035,0.047,0.007
"P11","Pablo Chamátropulos por Podemos Bariloche",0.063,0.023,0.005,0.51,0,0,0.01
"P11","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.038,0,0.009,0.023,0.797,0.124,0.03
"P11","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.012,0,0.011,0.162,0.029,0.627,0.013
"P11","No sabe",0.081,0.223,0.108,0.133,0.044,0.056,0.779
"P12","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.872,0.141,0.047,0.094,0,0.188,0.061
"P12","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.02,0.525,0.225,0.126,0.089,0.117,0.187
"P12","Arabella Carreras por Unidos Bariloche",0.029,0.068,0.669,0.162,0.003,0.031,0.004
"P12","Pablo Chamátropulos por Podemos Bariloche",0.005,0.006,0,0.47,0,0,0.003
"P12","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.036,0.078,0.03,0.095,0.742,0.046,0.016
"P12","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.021,0.061,0,0,0.114,0.607,0.014
"P12","No sabe",0.017,0.121,0.029,0.053,0.052,0.011,0.715
"P13","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.749,0.248,0.114,0.116,0.049,0.164,0.162
"P13","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.022,0.441,0.109,0.222,0.094,0.094,0.189
"P13","Arabella Carreras por Unidos Bariloche",0,0.062,0.565,0.016,0.03,0.082,0.011
"P13","Pablo Chamátropulos por Podemos Bariloche",0.117,0.006,0,0.546,0.02,0.051,0.01
"P13","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.006,0.166,0.015,0.776,0.015,0.014
"P13","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.01,0.04,0.014,0,0,0.529,0.043
"P13","No sabe",0.102,0.197,0.032,0.085,0.031,0.065,0.571
"P14","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.812,0.129,0.057,0.048,0.013,0.025,0.065
"P14","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.006,0.455,0.218,0.158,0.068,0,0.143
"P14","Arabella Carreras por Unidos Bariloche",0.005,0.127,0.69,0.066,0.004,0.016,0.01
"P14","Pablo Chamátropulos por Podemos Bariloche",0.005,0.007,0,0.612,0.052,0.02,0.016
"P14","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.004,0.118,0.008,0,0.786,0.247,0.01
"P14","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.092,0.005,0,0.022,0.061,0.659,0.066
"P14","No sabe",0.076,0.159,0.027,0.094,0.016,0.033,0.69
"P15","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.823,0.221,0.106,0.051,0.081,0.021,0.083
"P15","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.075,0.507,0.241,0.256,0.085,0.108,0.176
"P15","Arabella Carreras por Unidos Bariloche",0,0.098,0.569,0.094,0.003,0.074,0.007
"P15","Pablo Chamátropulos por Podemos Bariloche",0.032,0.005,0.018,0.525,0,0,0.003
"P15","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.004,0.016,0.021,0.059,0.813,0.035,0.027
"P15","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.012,0.007,0.015,0,0.006,0.556,0.027
"P15","No sabe",0.054,0.146,0.03,0.015,0.012,0.206,0.677
"P16","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.737,0.187,0.022,0.081,0.031,0.07,0.086
"P16","Carlos Valeri  por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.051,0.502,0.242,0,0.052,0.015,0.068
"P16","Arabella Carreras por Unidos Bariloche",0.065,0.101,0.677,0.037,0.069,0.021,0.012
"P16","Pablo Chamátropulos por Podemos Bariloche",0,0.006,0.021,0.656,0,0.154,0.011
"P16","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.088,0.024,0.008,0.017,0.778,0.106,0.012
"P16","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.024,0.005,0.019,0.017,0.05,0.622,0.012
"P16","No sabe",0.035,0.175,0.011,0.192,0.02,0.012,0.799
"P17","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.696,0.217,0.143,0.069,0,0.042,0.125
"P17","Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.044,0.479,0.143,0.065,0.009,0.013,0.105
"P17","Arabella Carreras por Unidos Bariloche",0.022,0.096,0.592,0.036,0.003,0.059,0.002
"P17","Pablo Chamátropulos por Podemos Bariloche",0.037,0.02,0,0.51,0.07,0.082,0.023
"P17","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.003,0.006,0.033,0.052,0.802,0,0.015
"P17","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.041,0,0,0.016,0.052,0.575,0.048
"P17","No sabe",0.157,0.182,0.089,0.252,0.064,0.229,0.682
"P18","La votaría",0.674,0.127,0.093,0,0.106,0.095,0.039
"P18","Puede que la vote",0.103,0.217,0.251,0.049,0.123,0.222,0.153
"P18","Nunca la votaría",0.055,0.458,0.562,0.483,0.488,0.611,0.481
"P18","No sabe",0.168,0.198,0.094,0.468,0.283,0.072,0.327
"P19","Lo votaría",0.664,0.01,0.15,0.025,0.107,0.051,0.09
"P19","Puede que lo vote",0.09,0.287,0.28,0.146,0.221,0.24,0.107
"P19","Nunca lo votaría",0.199,0.513,0.493,0.581,0.561,0.678,0.546
"P19","No sabe",0.047,0.19,0.077,0.248,0.111,0.031,0.257
"P20","La votaría",0.493,0.136,0.444,0.114,0.08,0.098,0.029
"P20","Puede que la vote",0.111,0.207,0.404,0.15,0.25,0.045,0.121
"P20","Nunca la votaría",0.392,0.585,0.132,0.691,0.559,0.842,0.708
"P20","No sabe",0.004,0.072,0.02,0.045,0.111,0.015,0.142
"P21","Lo votaría",0.384,0.109,0.168,0.171,0,0.053,0.113
"P21","Puede que lo vote",0.093,0.448,0.306,0.094,0.229,0.141,0.125
"P21","Nunca lo votaría",0.411,0.261,0.423,0.616,0.667,0.761,0.523
"P21","No sabe",0.112,0.182,0.103,0.119,0.104,0.045,0.239
"P22","Lo votaría",0.406,0.427,0.079,0.116,0.114,0.077,0.073
"P22","Puede que lo vote",0.148,0.358,0.274,0.016,0.214,0.2,0.117
"P22","Nunca lo votaría",0.392,0.215,0.569,0.709,0.579,0.681,0.64
"P22","No sabe",0.054,0,0.078,0.159,0.093,0.042,0.17
"P23","Lo votaría",0.397,0.236,0.126,0.162,0.142,0.051,0.188
"P23","Puede que lo vote",0.05,0.439,0.211,0.108,0.103,0.181,0.065
"P23","Nunca lo votaría",0.499,0.29,0.585,0.664,0.604,0.71,0.536
"P23","No sabe",0.054,0.035,0.078,0.066,0.151,0.058,0.211
"P24","La votaría",0.387,0.31,0.089,0,0.101,0.051,0.116
"P24","Puede que la vote",0.073,0.29,0.111,0,0.164,0.054,0.07
"P24","Nunca la votaría",0.5,0.379,0.739,0.694,0.606,0.876,0.583
"P24","No sabe",0.04,0.021,0.061,0.306,0.129,0.019,0.231
"P25","Lo votaría",0.422,0.236,0.159,0,0.115,0.05,0.068
"P25","Puede que lo vote",0.105,0.368,0.29,0.05,0.083,0.253,0.164
"P25","Nunca lo votaría",0.443,0.375,0.493,0.692,0.719,0.654,0.545
"P25","No sabe",0.03,0.021,0.058,0.258,0.083,0.043,0.223
"P26","Lo votaría",0.425,0.178,0.049,0.561,0.1,0.048,0.004
"P26","Puede que lo vote",0.15,0.276,0.289,0.034,0.156,0.209,0.066
"P26","Nunca lo votaría",0.377,0.524,0.579,0.168,0.549,0.721,0.741
"P26","No sabe",0.048,0.022,0.083,0.237,0.195,0.022,0.189
"P27","Lo votaría",0.392,0.17,0.087,0,0.448,0.057,0.04
"P27","Puede que lo vote",0.086,0.22,0.187,0.062,0.34,0.248,0.122
"P27","Nunca lo votaría",0.453,0.542,0.643,0.681,0.124,0.662,0.616
"P27","No sabe",0.069,0.068,0.083,0.257,0.088,0.033,0.222
"P28","Lo votaría",0.4,0.146,0.098,0,0.305,0.049,0.023
"P28","Puede que lo vote",0.038,0.223,0.064,0,0.336,0.23,0.048
"P28","Nunca lo votaría",0.49,0.567,0.759,0.69,0.176,0.642,0.743
"P28","No sabe",0.072,0.064,0.079,0.31,0.183,0.079,0.186
"P29","Lo votaría",0.419,0.146,0.098,0,0.062,0.352,0.027
"P29","Puede que lo vote",0.03,0.203,0.043,0.053,0.191,0.279,0.026
"P29","Nunca lo votaría",0.486,0.602,0.823,0.689,0.663,0.369,0.825
"P29","No sabe",0.065,0.049,0.036,0.258,0.084,0,0.122
"P30","La votaría",0.267,0.057,0.096,0,0.298,0.13,0.014
"P30","Puede que la vote",0.174,0.329,0.08,0,0.237,0.293,0.041
"P30","Nunca la votaría",0.486,0.541,0.739,0.692,0.43,0.517,0.759
"P30","No sabe",0.073,0.073,0.085,0.308,0.035,0.06,0.186
"P31","Si",0.472,0.332,0.353,0.525,0.345,0.336,0.524
"P31","No",0.528,0.668,0.647,0.475,0.655,0.664,0.476
