"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P25","No sabe",0.126,0.111,0.169,0.102,0.185
"P27","A Alberto Fernández",0.353,0.15,0.203,0.054,0.293
"P27","A Sergio Massa",0.272,0.112,0.179,0.317,0.138
"P27","A algún candidato del peronismo",0.104,0.211,0,0.4,0.239
"P27","A algún candidato del kirchnerismo",0.271,0.527,0.618,0.229,0.33
"P28","A Alberto Fernández",0.219,0.142,0.105,0.026,0.128
"P28","A Sergio Massa",0.19,0.088,0.031,0.082,0.16
"P28","A algún candidato del peronismo",0.111,0.212,0.087,0.415,0.266
"P28","A Cristina Fernández de Kirchner",0.48,0.558,0.777,0.477,0.446
"P29","A Horacio Rodriguez Larreta",0.307,0.308,0.575,0.225,0.44
"P29","A Mauricio Macri",0.325,0.458,0.055,0.416,0.214
"P29","A Patricia Bullrich",0.272,0.193,0.328,0.175,0.294
"P29","A Facundo Manes",0.054,0.041,0.042,0.178,0
"P29","A Gerardo Morales",0.042,0,0,0.006,0.052
"P30","Seguro lo votaria",0.185,0.237,0.212,0.434,0.194
"P30","Quizás lo votaría",0.4,0.331,0.404,0.294,0.378
"P30","Nunca lo votaría",0.415,0.432,0.384,0.272,0.428
"P31","Muy buena",0.099,0.038,0.152,0.105,0.027
"P31","Buena",0.121,0.133,0.149,0.086,0.147
"P31","Ni buena ni mala",0.153,0.253,0.269,0.222,0.165
"P31","Mala",0.155,0.112,0.078,0.156,0.207
"P31","Muy mala",0.463,0.422,0.348,0.416,0.442
"P31","No sabe",0.009,0.042,0.004,0.015,0.012
"P32","Muy buena",0.142,0.127,0.183,0.123,0.142
"P32","Buena",0.184,0.208,0.244,0.125,0.141
"P32","Ni buena ni mala",0.199,0.198,0.16,0.119,0.15
"P32","Mala",0.124,0.125,0.169,0.233,0.179
"P32","Muy mala",0.332,0.342,0.244,0.395,0.375
"P32","No sabe",0.019,0,0,0.005,0.013
"P33","Muy buena",0.24,0.335,0.411,0.232,0.308
"P33","Buena",0.039,0.064,0.074,0.087,0.048
"P33","Ni buena ni mala",0.108,0.031,0.005,0.08,0.109
"P33","Mala",0.066,0.058,0.105,0.037,0.059
"P33","Muy mala",0.53,0.509,0.405,0.553,0.46
"P33","No sabe",0.017,0.003,0,0.011,0.016
"P34","Muy buena",0.128,0.103,0.24,0.081,0.162
"P34","Buena",0.244,0.172,0.23,0.237,0.183
"P34","Ni buena ni mala",0.204,0.195,0.159,0.165,0.208
"P34","Mala",0.12,0.166,0.015,0.159,0.157
"P34","Muy mala",0.281,0.354,0.351,0.353,0.265
"P34","No sabe",0.023,0.01,0.005,0.005,0.025
"P35","Muy buena",0.131,0.042,0.064,0.075,0.082
"P35","Buena",0.176,0.353,0.23,0.161,0.212
"P35","Ni buena ni mala",0.143,0.113,0.225,0.17,0.228
"P35","Mala",0.134,0.118,0.211,0.191,0.091
"P35","Muy mala",0.407,0.372,0.27,0.403,0.38
"P35","No sabe",0.009,0.002,0,0,0.007
"P36","Muy buena",0.246,0.144,0.204,0.194,0.223
"P36","Buena",0.186,0.257,0.234,0.142,0.103
"P36","Ni buena ni mala",0.129,0.187,0.114,0.144,0.131
"P36","Mala",0.123,0.047,0.103,0.193,0.116
"P36","Muy mala",0.296,0.354,0.345,0.273,0.388
"P36","No sabe",0.02,0.011,0,0.054,0.039
"P37","Muy buena",0.136,0.234,0.209,0.156,0.163
"P37","Buena",0.142,0.08,0.117,0.099,0.153
"P37","Ni buena ni mala",0.26,0.142,0.339,0.269,0.188
"P37","Mala",0.125,0.11,0.05,0.066,0.118
"P37","Muy mala",0.302,0.362,0.285,0.331,0.317
"P37","No sabe",0.035,0.072,0,0.079,0.061
