"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P24","La ausencia de patrulleros y personal policial",0.199,0.179,0.143,0.216,0.112,0.126
"P24","Otro",0.142,0.169,0.114,0.458,0.465,0.217
"P24","Ninguno",0.14,0.099,0.028,0,0.064,0.253
"P25","Frente de Todos y el peronismo",0.713,0.036,0.059,0.641,0.055,0.216
"P25","Cambiemos",0.128,0.665,0.074,0.013,0.183,0.139
"P25","Liberales Libertarios",0.054,0.138,0.777,0.016,0.273,0.101
"P25","Izquierda",0.018,0.031,0.047,0.317,0.033,0.019
"P25","No sabe",0.087,0.13,0.043,0.013,0.456,0.525
"P27","A Alberto Fernández",0.203,0.277,0,0.583,0,0.712
"P27","A Sergio Massa",0.247,0.236,0,0.1,0.082,0.089
"P27","A algún candidato del peronismo",0.194,0.487,0.094,0,0.266,0.162
"P27","A algún candidato del kirchnerismo",0.356,0,0.906,0.317,0.652,0.037
"P28","A Alberto Fernández",0.116,0.257,0,0.492,0,0.294
"P28","A Sergio Massa",0.163,0.085,0,0.101,0,0.086
"P28","A algún candidato del peronismo",0.174,0.658,0,0,0.36,0.541
"P28","A Cristina Fernández de Kirchner",0.547,0,1,0.407,0.64,0.079
"P29","A Horacio Rodriguez Larreta",0.589,0.283,0.148,0,0.067,0.023
"P29","A Mauricio Macri",0.215,0.368,0.181,0,0.455,0.057
"P29","A Patricia Bullrich",0.101,0.285,0.671,0,0.478,0.217
"P29","A Facundo Manes",0.03,0.041,0,1,0,0.672
"P29","A Gerardo Morales",0.065,0.023,0,0,0,0.031
"P30","Seguro lo votaria",0.278,0.21,0.426,0,0.04,0.596
"P30","Quizás lo votaría",0.302,0.375,0.461,0,0.803,0.081
"P30","Nunca lo votaría",0.42,0.415,0.113,1,0.157,0.323
"P31","Muy buena",0.154,0.013,0,0.029,0.009,0.149
"P31","Buena",0.251,0.031,0,0.193,0.047,0.032
"P31","Ni buena ni mala",0.282,0.062,0.093,0.347,0.236,0.245
"P31","Mala",0.175,0.121,0.073,0.141,0.295,0.245
"P31","Muy mala",0.135,0.768,0.781,0.29,0.407,0.254
"P31","No sabe",0.003,0.005,0.053,0,0.006,0.075
"P32","Muy buena",0.104,0.295,0.011,0.013,0.045,0.055
"P32","Buena",0.091,0.29,0.222,0.104,0.224,0.076
"P32","Ni buena ni mala",0.092,0.205,0.305,0.009,0.291,0.305
"P32","Mala",0.141,0.102,0.238,0.156,0.146,0.336
"P32","Muy mala",0.558,0.099,0.216,0.718,0.294,0.199
"P32","No sabe",0.014,0.009,0.008,0,0,0.029
"P33","Muy buena",0.585,0.045,0,0.287,0.058,0.131
"P33","Buena",0.077,0.033,0.002,0,0.07,0.119
"P33","Ni buena ni mala",0.077,0.058,0.075,0.382,0.1,0.15
"P33","Mala",0.078,0.048,0.006,0.071,0.061,0.149
"P33","Muy mala",0.181,0.804,0.909,0.26,0.586,0.441
"P33","No sabe",0.002,0.012,0.008,0,0.125,0.01
"P34","Muy buena",0.101,0.25,0.047,0.109,0.096,0.042
"P34","Buena",0.112,0.358,0.265,0.092,0.318,0.164
"P34","Ni buena ni mala",0.148,0.21,0.252,0.084,0.229,0.391
"P34","Mala",0.191,0.043,0.203,0.077,0.036,0.087
"P34","Muy mala",0.432,0.134,0.226,0.638,0.321,0.157
"P34","No sabe",0.016,0.005,0.007,0,0,0.159
"P35","Muy buena",0.188,0.032,0.006,0.012,0,0.071
"P35","Buena",0.369,0.092,0.025,0.202,0.067,0.222
"P35","Ni buena ni mala",0.201,0.079,0.167,0.073,0.273,0.317
"P35","Mala",0.111,0.187,0.122,0.067,0.123,0.146
"P35","Muy mala",0.128,0.605,0.68,0.646,0.5,0.228
"P35","No sabe",0.003,0.005,0,0,0.037,0.016
"P36","Muy buena",0.08,0.49,0.181,0.028,0.125,0.107
"P36","Buena",0.115,0.261,0.168,0.091,0.28,0.176
"P36","Ni buena ni mala",0.089,0.115,0.347,0.072,0.056,0.251
"P36","Mala",0.163,0.045,0.121,0.064,0.181,0.117
"P36","Muy mala",0.519,0.088,0.18,0.745,0.288,0.222
"P36","No sabe",0.034,0.001,0.003,0,0.07,0.127
"P37","Muy buena",0.055,0.161,0.636,0.012,0.078,0.022
"P37","Buena",0.071,0.23,0.128,0,0.126,0.099
"P37","Ni buena ni mala",0.13,0.416,0.219,0,0.299,0.197
"P37","Mala",0.111,0.103,0,0.092,0.227,0.283
"P37","Muy mala",0.577,0.048,0.016,0.896,0.234,0.201
"P37","No sabe",0.056,0.042,0.001,0,0.036,0.198
