"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Mauricio Macri","No sabe",0.007,0.004,0.01,0,0.003,0,0.035,0.014,0,0.01,0.002,0.019,0,0.003,0.002,0,0,0
"Sergio Massa","Muy buena",0.105,0.147,0.065,0.128,0.043,0.166,0.151,0.127,0.079,0.119,0.165,0.005,0.113,0.226,0.021,0,0,0
"Sergio Massa","Buena",0.13,0.129,0.13,0.027,0.159,0.14,0.143,0.145,0.103,0.151,0.126,0.037,0.254,0.236,0.028,0,0,0
"Sergio Massa","Ni buena ni mala",0.171,0.151,0.19,0.274,0.17,0.128,0.133,0.12,0.219,0.155,0.132,0.136,0.283,0.181,0.141,0,0,0
"Sergio Massa","Mala",0.156,0.14,0.172,0.141,0.085,0.204,0.284,0.184,0.119,0.18,0.296,0.088,0.016,0.069,0.234,0,0,0
"Sergio Massa","Muy mala",0.433,0.431,0.435,0.43,0.543,0.362,0.26,0.41,0.48,0.393,0.279,0.715,0.334,0.288,0.574,0,0,0
"Sergio Massa","No sabe",0.005,0.002,0.008,0,0,0,0.029,0.014,0,0.002,0.002,0.019,0,0,0.002,0,0,0
"Juan Schiaretti","Muy buena",0.059,0.045,0.073,0.041,0.036,0.096,0.082,0.072,0.032,0.083,0.131,0.043,0,0.024,0.108,0,0,0
"Juan Schiaretti","Buena",0.129,0.099,0.158,0.159,0.114,0.131,0.133,0.112,0.097,0.187,0.175,0.238,0.067,0.075,0.156,0,0,0
"Juan Schiaretti","Ni buena ni mala",0.401,0.42,0.383,0.121,0.479,0.423,0.451,0.335,0.531,0.29,0.347,0.458,0.352,0.312,0.536,0,0,0
"Juan Schiaretti","Mala",0.15,0.181,0.119,0.188,0.132,0.155,0.149,0.078,0.16,0.205,0.157,0.105,0.162,0.191,0.094,0,0,0
"Juan Schiaretti","Muy mala",0.21,0.235,0.187,0.406,0.209,0.136,0.13,0.389,0.118,0.164,0.143,0.103,0.405,0.378,0.052,0,0,0
"Juan Schiaretti","No sabe",0.051,0.02,0.08,0.085,0.03,0.059,0.055,0.014,0.062,0.071,0.047,0.053,0.014,0.02,0.054,0,0,0
