"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P33","7",0,0,0.035,0,0,0.288,0.157,0.249,0.018,0
"P33","8",0,0.019,0,0,0.01,0.02,0.382,0.317,0.066,0
"P33","9-Pésimo",0.017,0,0.068,0,0.108,0.111,0.126,0,0.869,0.053
"P33","No sabe",0.005,0,0,0,0.032,0.032,0,0,0.011,0.925
"P34","1-Excelente",0.586,0.15,0.037,0.119,0.16,0.063,0,0,0.007,0
"P34","2",0.104,0.785,0.183,0.02,0.016,0,0.023,0,0,0.022
"P34","3",0.136,0.031,0.535,0.075,0.043,0.075,0,0,0,0
"P34","4",0.111,0.01,0.088,0.578,0.016,0.157,0.106,0,0,0
"P34","5",0.011,0.015,0.031,0.128,0.571,0.059,0.124,0,0.007,0
"P34","6",0,0.009,0.035,0,0.041,0.377,0.027,0.083,0,0
"P34","7",0.009,0,0,0.08,0.007,0.017,0.223,0.319,0.006,0
"P34","8",0,0,0,0,0.009,0.095,0.354,0.318,0.054,0
"P34","9-Pésimo",0.01,0,0.091,0,0.124,0.125,0.143,0.28,0.926,0
"P34","No sabe",0.033,0,0,0,0.013,0.032,0,0,0,0.978
"P36","1-Excelente",0.625,0.019,0.047,0.03,0.031,0.064,0,0,0,0.038
"P36","2",0.151,0.551,0.015,0.053,0.011,0,0,0,0.006,0
"P36","3",0.052,0.353,0.703,0.105,0.026,0.037,0.027,0,0,0
"P36","4",0,0,0.178,0.452,0.099,0.125,0.013,0,0,0
"P36","5",0.045,0.067,0.031,0.32,0.615,0.131,0.149,0.034,0.057,0
"P36","6",0.045,0.01,0,0,0.026,0.383,0.088,0.012,0.009,0
"P36","7",0.07,0,0.026,0,0.011,0.124,0.27,0.614,0.003,0
"P36","8",0,0,0,0,0.127,0.074,0.371,0.296,0.043,0
"P36","9-Pésimo",0,0,0,0.04,0,0.014,0.061,0.044,0.882,0
"P36","No sabe",0.012,0,0,0,0.054,0.048,0.021,0,0,0.962
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.448,0.26,0.647,0.258,0.309,0.71,0.596,0.412,0.416,0.238
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.208,0.381,0.244,0.066,0.138,0.047,0.113,0.404,0.118,0.14
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.056,0.2,0.077,0.264,0.246,0.038,0.192,0.07,0.246,0
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.219,0.159,0,0.412,0.263,0.159,0.099,0.114,0.177,0.472
"P37","No sabe",0.069,0,0.032,0,0.044,0.046,0,0,0.043,0.15
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.409,0.19,0.581,0.23,0.269,0.514,0.504,0.417,0.323,0.174
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.207,0.35,0.197,0.107,0.088,0.198,0.145,0.255,0.15,0.219
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.153,0.267,0.188,0.174,0.431,0.099,0.234,0.303,0.217,0.045
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.231,0.193,0,0.489,0.12,0.143,0.117,0.025,0.276,0.468
"P38","No sabe",0,0,0.034,0,0.092,0.046,0,0,0.034,0.094
"P39","Oponerse totalmente",0.422,0.2,0.64,0.25,0.244,0.508,0.557,0.378,0.386,0.173
"P39","Oponerse parcialmente",0.148,0.294,0.035,0.051,0.094,0.152,0.054,0.01,0.029,0.129
"P39","Apoyar parcialmente",0.205,0.369,0.201,0.117,0.354,0.135,0.26,0.549,0.337,0.098
"P39","Apoyar totalmente",0.225,0.137,0.06,0.582,0.193,0.158,0.129,0.025,0.223,0.505
"P39","No sabe",0,0,0.064,0,0.115,0.047,0,0.038,0.025,0.095
"P40","Inseguridad y narcotráfico",0.309,0.274,0.44,0.096,0.19,0.458,0.152,0.312,0.223,0.101
"P40","Altos impuestos y tarifas",0.086,0.132,0.123,0.201,0.28,0.015,0.379,0.367,0.202,0.175
"P40","Educación y estado de las escuelas",0.104,0.336,0.109,0.133,0.373,0.203,0.113,0.163,0.238,0.554
"P40","Inflación",0.329,0.197,0.243,0.412,0.082,0.221,0.264,0.045,0.14,0
"P40","Estado de la salud",0.022,0.021,0.072,0.102,0.034,0.103,0.034,0.085,0.145,0.133
"P40","Corrupción",0.031,0,0.013,0.056,0.025,0,0,0.028,0.01,0
"P40","Pobreza",0.069,0.04,0,0,0.004,0,0,0,0.009,0.037
"P40","Medio ambiente, incendios y contaminación",0,0,0,0,0,0,0,0,0.008,0
"P40","Falta de trabajo",0.05,0,0,0,0.012,0,0.058,0,0,0
"P40","No sabe",0,0,0,0,0,0,0,0,0.025,0
"P44","Muy buena",0.067,0.088,0.116,0,0.007,0.154,0,0,0.026,0
"P44","Buena",0.106,0.024,0.055,0,0.033,0.12,0.152,0.16,0.094,0.051
"P44","Ni buena ni mala",0.143,0.211,0.371,0.425,0.511,0.265,0.206,0.351,0.168,0.613
"P44","Mala",0.471,0.409,0.396,0.484,0.299,0.332,0.558,0.362,0.408,0.176
"P44","Muy mala",0.2,0.268,0.062,0.075,0.125,0.111,0.084,0.127,0.304,0.132
"P44","No sabe",0.013,0,0,0.016,0.025,0.018,0,0,0,0.028
"P45","Peor",0.473,0.477,0.71,0.494,0.557,0.651,0.677,0.543,0.6,0.174
"P45","Igual",0.241,0.286,0.173,0.14,0.18,0.242,0.245,0.124,0.245,0.364
"P45","Mejor",0.102,0.04,0.105,0.031,0.163,0.047,0.039,0.133,0.029,0.462
"P45","No sabe",0.184,0.197,0.012,0.335,0.1,0.06,0.039,0.2,0.126,0
"P46","Peor",0.592,0.45,0.705,0.162,0.442,0.749,0.635,0.461,0.699,0.175
"P46","Igual",0.247,0.413,0.185,0.262,0.385,0.064,0.188,0.39,0.105,0.357
"P46","Mejor",0.122,0.04,0.095,0.178,0.107,0.077,0.151,0.133,0.1,0
"P46","No sabe",0.039,0.097,0.015,0.398,0.066,0.11,0.026,0.016,0.096,0.468
"P47","Javier Milei",0.422,0.35,0.175,0.469,0.525,0.292,0.264,0.261,0.486,0.658
"P47","Los gobernadores",0.535,0.564,0.74,0.461,0.328,0.62,0.634,0.553,0.381,0.241
"P47","No sabe",0.043,0.086,0.085,0.07,0.147,0.088,0.102,0.186,0.133,0.101
"P48","Muy buena",0.2,0.146,0.19,0.03,0,0.128,0.149,0.233,0.064,0.056
"P48","Buena",0.084,0.141,0.421,0.356,0.231,0.199,0.205,0.026,0.186,0.044
"P48","Ni buena ni mala",0.218,0.183,0.176,0.223,0.288,0.332,0.349,0.277,0.097,0.668
"P48","Mala",0.268,0.2,0.169,0.353,0.357,0.283,0.207,0.349,0.301,0.198
"P48","Muy mala",0.23,0.33,0.044,0.038,0.1,0.029,0.09,0.115,0.352,0.034
"P48","No sabe",0,0,0,0,0.024,0.029,0,0,0,0
"P50","Muy buena",0.277,0.255,0.338,0,0.104,0.16,0.073,0.156,0.134,0.064
"P50","Buena",0.193,0.114,0.27,0.41,0.306,0.371,0.201,0.068,0.126,0
"P50","Ni buena ni mala",0.076,0.058,0.204,0.129,0.186,0.301,0.235,0.294,0.093,0.667
"P50","Mala",0.319,0.167,0.144,0.419,0.243,0.062,0.306,0.367,0.393,0.097
"P50","Muy mala",0.135,0.392,0.044,0.042,0.121,0.077,0.185,0.115,0.254,0.172
"P50","No sabe",0,0.014,0,0,0.04,0.029,0,0,0,0
"P51","Muy buena",0.065,0.212,0.121,0.303,0.04,0.223,0.053,0.094,0.128,0
"P51","Buena",0.074,0.23,0.166,0.279,0.278,0.195,0.157,0.043,0.121,0.044
"P51","Ni buena ni mala",0.317,0.213,0.209,0.244,0.372,0.395,0.184,0.758,0.327,0.646
"P51","Mala",0.221,0.157,0.369,0.123,0.149,0.033,0.398,0.092,0.159,0.064
"P51","Muy mala",0.278,0.138,0.075,0.051,0.035,0.068,0.146,0.013,0.258,0.246
"P51","No sabe",0.045,0.05,0.06,0,0.126,0.086,0.062,0,0.007,0
"P54","Muy buena",0.326,0.209,0.406,0.042,0.184,0.215,0.145,0.188,0.129,0.171
"P54","Buena",0.006,0.32,0.173,0.222,0.07,0.187,0.051,0.101,0.026,0
"P54","Ni buena ni mala",0.081,0.134,0.039,0.044,0.163,0.283,0.137,0.013,0.091,0.006
"P54","Mala",0.115,0.098,0.276,0.506,0.168,0.09,0.435,0.577,0.222,0.08
"P54","Muy mala",0.441,0.225,0.106,0.186,0.365,0.225,0.232,0.121,0.523,0.743
"P54","No sabe",0.031,0.014,0,0,0.05,0,0,0,0.009,0
"P55","Muy buena",0.141,0.344,0.056,0.015,0.107,0.152,0.12,0.126,0.082,0.13
"P55","Buena",0.022,0.199,0.182,0.365,0.197,0.144,0.084,0.015,0.093,0.505
"P55","Ni buena ni mala",0.177,0.089,0.125,0.053,0.311,0.073,0.133,0.257,0.081,0
"P55","Mala",0.198,0.143,0.204,0.362,0.152,0.145,0.314,0.258,0.21,0.119
"P55","Muy mala",0.462,0.21,0.433,0.205,0.208,0.439,0.349,0.344,0.534,0.246
"P55","No sabe",0,0.015,0,0,0.025,0.047,0,0,0,0
"P56","Muy buena",0.152,0.14,0.059,0.016,0.175,0.12,0,0.156,0.077,0
"P56","Buena",0.117,0.253,0.237,0.197,0.047,0.356,0.239,0.07,0.067,0.136
"P56","Ni buena ni mala",0.215,0.13,0.129,0.169,0.231,0.099,0.276,0.289,0.086,0.042
"P56","Mala",0.2,0.015,0.153,0.402,0.102,0.067,0.263,0.194,0.119,0.026
"P56","Muy mala",0.316,0.447,0.422,0.216,0.42,0.358,0.222,0.291,0.651,0.796
"P56","No sabe",0,0.015,0,0,0.025,0,0,0,0,0
"P57","Muy buena",0.373,0.217,0.468,0.166,0.234,0.273,0.246,0.146,0.125,0.172
"P57","Buena",0.042,0.237,0.144,0.224,0.129,0.336,0.334,0.258,0.154,0
"P57","Ni buena ni mala",0.124,0.027,0.014,0.053,0.006,0.075,0.137,0,0.091,0.006
"P57","Mala",0.118,0.079,0.221,0.365,0.212,0.091,0.05,0.212,0.159,0.026
"P57","Muy mala",0.343,0.425,0.111,0.192,0.394,0.225,0.233,0.384,0.471,0.702
"P57","No sabe",0,0.015,0.042,0,0.025,0,0,0,0,0.094
"P58","Muy buena",0.408,0.259,0.284,0.38,0.402,0.336,0.154,0.186,0.351,0.603
"P58","Buena",0.036,0.168,0.032,0.308,0.159,0.065,0.087,0.175,0.154,0.006
"P58","Ni buena ni mala",0.091,0.056,0.171,0.013,0.046,0.121,0.077,0,0.045,0
"P58","Mala",0.059,0.064,0.167,0.076,0.039,0.018,0.353,0.336,0.108,0.064
"P58","Muy mala",0.406,0.438,0.346,0.223,0.329,0.442,0.329,0.303,0.342,0.233
"P58","No sabe",0,0.015,0,0,0.025,0.018,0,0,0,0.094
"P59","Muy buena",0.343,0.491,0.105,0.198,0.108,0.091,0.223,0.194,0.313,0.178
"P59","Buena",0.109,0.133,0.136,0.49,0.453,0.273,0.047,0.257,0.086,0.557
"P59","Ni buena ni mala",0,0.128,0.103,0,0.053,0.08,0.089,0.034,0.025,0
"P59","Mala",0.157,0.027,0.108,0.107,0.021,0.033,0.271,0.183,0.118,0.064
"P59","Muy mala",0.391,0.221,0.548,0.205,0.34,0.523,0.37,0.332,0.458,0.107
"P59","No sabe",0,0,0,0,0.025,0,0,0,0,0.094
"P60","Muy buena",0.347,0.454,0.165,0.396,0.342,0.307,0.187,0.24,0.408,0.702
"P60","Buena",0.054,0.144,0.093,0.292,0.179,0.057,0.089,0.423,0.031,0.006
"P60","Ni buena ni mala",0.087,0.194,0.07,0,0.094,0.062,0.283,0.138,0.053,0.026
"P60","Mala",0.206,0,0.127,0.107,0.042,0.055,0.149,0.079,0.098,0.065
"P60","Muy mala",0.306,0.208,0.499,0.205,0.318,0.501,0.279,0.12,0.385,0.107
"P60","No sabe",0,0,0.046,0,0.025,0.018,0.013,0,0.025,0.094
"P61","Muy buena",0.049,0.017,0,0.255,0.008,0,0.073,0.164,0.052,0.026
"P61","Buena",0.034,0.18,0.156,0.32,0.043,0.308,0.046,0.2,0.109,0.499
"P61","Ni buena ni mala",0.324,0.559,0.246,0.215,0.499,0.321,0.263,0.608,0.468,0.175
"P61","Mala",0.118,0.107,0.157,0.132,0.284,0.137,0.476,0.028,0.055,0.1
"P61","Muy mala",0.434,0.088,0.38,0.078,0.042,0.189,0.096,0,0.291,0.036
"P61","No sabe",0.041,0.049,0.061,0,0.124,0.045,0.046,0,0.025,0.164
