"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P31","A algún candidato del peronismo",0.214,0.619,0.688,0.053,0.69
"P31","A Cristina Fernández de Kirchner",0.347,0.056,0.057,0.947,0.052
"P32","A Horacio Rodriguez Larreta",0.346,0.248,0.127,0.278,0.297
"P32","A Mauricio Macri",0.028,0.212,0.064,0.046,0.074
"P32","A Patricia Bullrich",0.145,0.466,0.768,0.032,0.193
"P32","A Facundo Manes",0.206,0.063,0.033,0.356,0.254
"P32","A Gerardo Morales",0.275,0.011,0.008,0.288,0.182
"P33","Seguro lo votaria",0.144,0.251,0.537,0.071,0.144
"P33","Quizás lo votaría",0.22,0.182,0.238,0,0.426
"P33","Nunca lo votaría",0.636,0.567,0.225,0.929,0.43
"P34","Muy buena",0.089,0.064,0.052,0.083,0.017
"P34","Buena",0.263,0.049,0.018,0.288,0.077
"P34","Ni buena ni mala",0.236,0.071,0.016,0.078,0.236
"P34","Mala",0.142,0.105,0.054,0.085,0.131
"P34","Muy mala",0.254,0.707,0.856,0.466,0.521
"P34","No sabe",0.016,0.004,0.004,0,0.018
"P35","Muy buena",0.072,0.328,0.151,0,0.055
"P35","Buena",0.047,0.307,0.161,0.115,0.144
"P35","Ni buena ni mala",0.194,0.165,0.185,0.033,0.106
"P35","Mala",0.166,0.034,0.287,0.078,0.222
"P35","Muy mala",0.503,0.158,0.216,0.774,0.431
"P35","No sabe",0.018,0.008,0,0,0.042
"P36","Muy buena",0.39,0.065,0.088,0.283,0.222
"P36","Buena",0.074,0.053,0.018,0.213,0.007
"P36","Ni buena ni mala",0.094,0.048,0.013,0.021,0.123
"P36","Mala",0.084,0.086,0.048,0.059,0.123
"P36","Muy mala",0.318,0.742,0.833,0.424,0.523
"P36","No sabe",0.04,0.006,0,0,0.002
"P37","Muy buena",0.051,0.177,0.019,0.024,0.053
"P37","Buena",0.208,0.251,0.145,0.189,0.111
"P37","Ni buena ni mala",0.123,0.292,0.174,0.008,0.196
"P37","Mala",0.142,0.108,0.151,0.079,0.128
"P37","Muy mala",0.438,0.151,0.511,0.535,0.399
"P37","No sabe",0.038,0.021,0,0.165,0.113
"P38","Muy buena",0.129,0.045,0.052,0.129,0.086
"P38","Buena",0.309,0.071,0.048,0.031,0.116
"P38","Ni buena ni mala",0.184,0.152,0.076,0.309,0.125
"P38","Mala",0.08,0.147,0.195,0.077,0.09
"P38","Muy mala",0.296,0.585,0.629,0.439,0.456
"P38","No sabe",0.002,0,0,0.015,0.127
"P39","Muy buena",0.094,0.454,0.423,0.03,0.11
"P39","Buena",0.104,0.265,0.148,0,0.102
"P39","Ni buena ni mala",0.173,0.146,0.166,0.464,0.142
"P39","Mala",0.061,0.043,0.119,0,0.135
"P39","Muy mala",0.545,0.08,0.144,0.506,0.409
"P39","No sabe",0.023,0.012,0,0,0.102
"P40","Muy buena",0.136,0.14,0.658,0.103,0.15
"P40","Buena",0.042,0.227,0.229,0,0.103
"P40","Ni buena ni mala",0.163,0.328,0.078,0.085,0.219
"P40","Mala",0.11,0.133,0,0.06,0.101
"P40","Muy mala",0.481,0.144,0.028,0.752,0.306
"P40","No sabe",0.068,0.028,0.007,0,0.121
