"var","categoria","Son lo mismo aunque estén en espacios politoca diferentes","Son aliados tácticos pero lo ocultan","Son adversarios políticos","No sabe"
"P32","A Horacio Rodriguez Larreta",0.173,0.046,0.235,0.418
"P32","A Mauricio Macri",0.131,0.032,0.11,0.119
"P32","A Patricia Bullrich",0.348,0.602,0.404,0.287
"P32","A Facundo Manes",0.164,0.177,0.169,0.058
"P32","A Gerardo Morales",0.184,0.143,0.082,0.118
"P33","Seguro lo votaria",0.476,0.228,0.232,0.193
"P33","Quizás lo votaría",0.256,0.267,0.231,0.184
"P33","Nunca lo votaría",0.268,0.505,0.537,0.623
"P34","Muy buena",0.099,0.022,0.067,0.062
"P34","Buena",0.098,0.069,0.118,0.19
"P34","Ni buena ni mala",0.172,0.148,0.127,0.139
"P34","Mala",0.079,0.12,0.134,0.091
"P34","Muy mala",0.543,0.634,0.55,0.497
"P34","No sabe",0.009,0.007,0.004,0.021
"P35","Muy buena",0.196,0.169,0.177,0.105
"P35","Buena",0.194,0.118,0.146,0.196
"P35","Ni buena ni mala",0.128,0.101,0.154,0.235
"P35","Mala",0.218,0.213,0.108,0.147
"P35","Muy mala",0.264,0.373,0.409,0.287
"P35","No sabe",0,0.026,0.006,0.03
"P36","Muy buena",0.178,0.227,0.215,0.205
"P36","Buena",0.009,0.07,0.067,0.049
"P36","Ni buena ni mala",0.121,0.025,0.028,0.118
"P36","Mala",0.088,0.052,0.091,0.085
"P36","Muy mala",0.604,0.626,0.583,0.511
"P36","No sabe",0,0,0.016,0.032
"P37","Muy buena",0.068,0.056,0.1,0.082
"P37","Buena",0.233,0.081,0.195,0.233
"P37","Ni buena ni mala",0.193,0.187,0.183,0.201
"P37","Mala",0.174,0.087,0.119,0.139
"P37","Muy mala",0.321,0.587,0.366,0.254
"P37","No sabe",0.011,0.002,0.037,0.091
"P38","Muy buena",0.091,0.024,0.07,0.132
"P38","Buena",0.075,0.141,0.2,0.126
"P38","Ni buena ni mala",0.197,0.129,0.135,0.157
"P38","Mala",0.205,0.099,0.091,0.136
"P38","Muy mala",0.432,0.607,0.503,0.376
"P38","No sabe",0,0,0.001,0.073
"P39","Muy buena",0.277,0.272,0.26,0.253
"P39","Buena",0.12,0.125,0.176,0.168
"P39","Ni buena ni mala",0.309,0.151,0.12,0.172
"P39","Mala",0.118,0.122,0.082,0.012
"P39","Muy mala",0.169,0.304,0.356,0.325
"P39","No sabe",0.007,0.026,0.006,0.07
"P40","Muy buena",0.386,0.33,0.215,0.111
"P40","Buena",0.116,0.139,0.171,0.106
"P40","Ni buena ni mala",0.191,0.128,0.169,0.308
"P40","Mala",0.068,0.042,0.121,0.1
"P40","Muy mala",0.217,0.315,0.307,0.254
"P40","No sabe",0.022,0.046,0.017,0.121
