"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P16","Mala",0.176,0.112,0.167,0.127
"P16","Muy mala",0.174,0.155,0.165,0.126
"P16","No sabe",0.186,0.205,0.096,0.06
"P17","Muy buena",0.029,0.044,0.013,0.045
"P17","Buena",0.062,0.036,0.039,0.06
"P17","Ni buena ni mala",0.231,0.354,0.31,0.267
"P17","Mala",0.037,0.048,0.061,0.135
"P17","Muy mala",0.084,0.037,0.12,0.1
"P17","No sabe",0.557,0.481,0.457,0.393
"P18","Muy buena",0.027,0.059,0.046,0.107
"P18","Buena",0.065,0.102,0.068,0.148
"P18","Ni buena ni mala",0.244,0.399,0.319,0.332
"P18","Mala",0.058,0.113,0.088,0.171
"P18","Muy mala",0.174,0.096,0.087,0.069
"P18","No sabe",0.432,0.231,0.392,0.173
"P19","Muy buena",0.638,0.116,0.055,0.018
"P19","Buena",0.171,0.514,0.194,0.098
"P19","Ni buena ni mala",0.082,0.198,0.588,0.221
"P19","Mala",0.041,0.079,0.126,0.358
"P19","Muy mala",0.01,0.019,0.028,0.254
"P19","No sabe",0.058,0.074,0.009,0.051
"P21","Es kirchnerista",0.329,0.071,0.17,0.123
"P21","Forma parte del Frente de Todos",0.284,0.414,0.229,0.182
"P21","Es un hombre de Massa",0.06,0.168,0.252,0.145
"P21","Es un peronista independiente de centro",0.151,0.091,0.028,0.11
"P21","Es un oportunista y está donde le conviene",0.052,0.083,0.15,0.334
"P21","No sabe",0.124,0.173,0.171,0.106
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.125,0.073,0.172,0.21
"P22","Son aliados tácticos pero lo ocultan",0.093,0.136,0.193,0.158
"P22","Son adversarios políticos",0.41,0.436,0.342,0.393
"P22","No sabe",0.372,0.355,0.293,0.239
"P23","Son lo mismo, ambos son de Massa",0.124,0.148,0.362,0.367
"P23","Son aliados en el Frente de Todos pero compiten",0.359,0.419,0.219,0.196
"P23","Son enemigos porque Zamora traicionó a Massa",0.196,0.171,0.166,0.281
"P23","No sabe",0.321,0.262,0.253,0.156
"P24","La seguridad",0.332,0.21,0.166,0.223
"P24","El tránsito",0.143,0.055,0.107,0.047
"P24","El arreglo de las calles",0.134,0.151,0.169,0.108
"P24","El estado de las escuelas y la educación",0.067,0.109,0.055,0.03
"P24","El sistema de salud",0.138,0.184,0.093,0.037
"P24","El deporte y la cultura",0.077,0.125,0.136,0.127
"P24","La obra pública",0.059,0.051,0.121,0.025
"P24","La luminaria",0.009,0.067,0.031,0.11
"P24","No sabe",0.041,0.048,0.122,0.293
"P25","La seguridad",0.148,0.103,0.137,0.159
"P25","El tránsito",0.136,0.047,0.111,0.076
"P25","El arreglo de las calles",0.199,0.151,0.236,0.197
"P25","El estado de las escuelas y la educación",0.07,0.309,0.211,0.171
"P25","El sistema de salud",0.141,0.223,0.179,0.17
"P25","El deporte y la cultura",0.008,0.046,0.011,0.013
"P25","La obra pública",0.043,0.036,0.019,0.049
"P25","La luminaria",0.033,0.019,0.01,0.035
"P25","No sabe",0.222,0.066,0.086,0.13
"P26","Agua corriente y cloacas",0.371,0.411,0.447,0.414
"P26","Energía eléctrica",0.106,0.04,0.244,0.216
"P26","Red de gas natural",0.103,0.102,0.064,0.023
"P26","Recolección de residuos",0.156,0.17,0.059,0.198
"P26","Ninguno",0.264,0.277,0.186,0.149
"P27","Los robos",0.157,0.25,0.327,0.265
"P27","El narcotráfico",0.364,0.318,0.232,0.379
"P27","La ausencia de patrulleros y personal policial",0.167,0.151,0.168,0.167
"P27","Otro",0.092,0.185,0.164,0.143
"P27","Ninguno",0.22,0.096,0.109,0.046
"P28","Frente de Todos y el peronismo",0.55,0.487,0.276,0.107
"P28","Cambiemos",0.153,0.185,0.248,0.396
"P28","Liberales Libertarios",0.107,0.168,0.279,0.35
"P28","Izquierda",0.029,0.045,0.05,0.035
"P28","No sabe",0.161,0.115,0.147,0.112
"P30","A Alberto Fernández",0.094,0.104,0.015,0.113
"P30","A Sergio Massa",0.612,0.175,0.046,0.156
"P30","A algún candidato del peronismo",0.129,0.244,0.418,0.686
"P30","A algún candidato del kirchnerismo",0.165,0.477,0.521,0.045
"P31","A Alberto Fernández",0.056,0.324,0,0.104
"P31","A Sergio Massa",0.593,0.212,0.159,0.083
"P31","A algún candidato del peronismo",0.172,0.134,0.582,0.791
"P31","A Cristina Fernández de Kirchner",0.179,0.33,0.259,0.022
"P32","A Horacio Rodriguez Larreta",0.318,0.434,0.249,0.169
"P32","A Mauricio Macri",0.049,0.065,0.087,0.149
"P32","A Patricia Bullrich",0.198,0.154,0.456,0.498
"P32","A Facundo Manes",0.173,0.196,0.089,0.12
"P32","A Gerardo Morales",0.262,0.151,0.119,0.064
"P33","Seguro lo votaria",0.175,0.133,0.277,0.324
"P33","Quizás lo votaría",0.275,0.209,0.23,0.217
"P33","Nunca lo votaría",0.55,0.658,0.493,0.459
"P34","Muy buena",0.149,0.052,0.04,0.052
"P34","Buena",0.312,0.195,0.132,0.037
"P34","Ni buena ni mala",0.195,0.236,0.202,0.054
"P34","Mala",0.088,0.169,0.1,0.097
"P34","Muy mala",0.252,0.346,0.489,0.756
"P34","No sabe",0.004,0.002,0.037,0.004
"P35","Muy buena",0.147,0.032,0.108,0.24
"P35","Buena",0.06,0.127,0.181,0.206
"P35","Ni buena ni mala",0.162,0.187,0.167,0.154
"P35","Mala",0.172,0.117,0.196,0.144
"P35","Muy mala",0.459,0.479,0.348,0.251
"P35","No sabe",0,0.058,0,0.005
"P36","Muy buena",0.38,0.288,0.202,0.12
"P36","Buena",0.079,0.095,0.044,0.03
"P36","Ni buena ni mala",0.045,0.154,0.081,0.028
"P36","Mala",0.097,0.068,0.13,0.066
"P36","Muy mala",0.309,0.393,0.541,0.753
"P36","No sabe",0.09,0.002,0.002,0.003
"P37","Muy buena",0.087,0.039,0.097,0.096
"P37","Buena",0.165,0.251,0.123,0.208
"P37","Ni buena ni mala",0.109,0.141,0.344,0.176
"P37","Mala",0.181,0.094,0.083,0.146
"P37","Muy mala",0.397,0.428,0.309,0.34
"P37","No sabe",0.061,0.047,0.044,0.034
"P38","Muy buena",0.195,0.091,0.048,0.058
"P38","Buena",0.296,0.27,0.15,0.051
"P38","Ni buena ni mala",0.155,0.221,0.257,0.075
"P38","Mala",0.063,0.102,0.171,0.132
"P38","Muy mala",0.287,0.283,0.371,0.658
"P38","No sabe",0.004,0.033,0.003,0.026
"P39","Muy buena",0.16,0.101,0.322,0.346
"P39","Buena",0.119,0.141,0.129,0.186
"P39","Ni buena ni mala",0.128,0.216,0.228,0.138
"P39","Mala",0.09,0.034,0.085,0.085
"P39","Muy mala",0.471,0.496,0.232,0.204
"P39","No sabe",0.032,0.012,0.004,0.041
"P40","Muy buena",0.165,0.122,0.265,0.289
"P40","Buena",0.062,0.078,0.128,0.196
"P40","Ni buena ni mala",0.078,0.311,0.235,0.184
"P40","Mala",0.13,0.098,0.083,0.087
"P40","Muy mala",0.491,0.355,0.228,0.199
"P40","No sabe",0.074,0.036,0.061,0.045
