"var","categoria","Son lo mismo, ambos son de Massa","Son aliados en el Frente de Todos pero compiten","Son enemigos porque Zamora traicionó a Massa","No sabe"
"P15","Ni buena ni mala",0.309,0.294,0.227,0.202
"P15","Mala",0.203,0.13,0.16,0.159
"P15","Muy mala",0.271,0.089,0.233,0.1
"P15","No sabe",0.009,0.034,0.029,0.08
"P16","Muy buena",0.241,0.113,0.133,0.1
"P16","Buena",0.22,0.145,0.219,0.149
"P16","Ni buena ni mala",0.209,0.249,0.243,0.32
"P16","Mala",0.127,0.167,0.176,0.095
"P16","Muy mala",0.137,0.254,0.159,0.059
"P16","No sabe",0.066,0.072,0.07,0.277
"P17","Muy buena",0.038,0.036,0.054,0.025
"P17","Buena",0.064,0.027,0.062,0.033
"P17","Ni buena ni mala",0.356,0.296,0.22,0.25
"P17","Mala",0.109,0.098,0.104,0.032
"P17","Muy mala",0.144,0.044,0.135,0.025
"P17","No sabe",0.289,0.499,0.425,0.635
"P18","Muy buena",0.076,0.051,0.114,0.075
"P18","Buena",0.14,0.065,0.202,0.061
"P18","Ni buena ni mala",0.36,0.39,0.226,0.274
"P18","Mala",0.134,0.161,0.154,0.063
"P18","Muy mala",0.05,0.139,0.161,0.043
"P18","No sabe",0.24,0.194,0.143,0.484
"P19","Muy buena",0.045,0.145,0.185,0.212
"P19","Buena",0.16,0.309,0.196,0.189
"P19","Ni buena ni mala",0.293,0.306,0.229,0.215
"P19","Mala",0.234,0.138,0.275,0.18
"P19","Muy mala",0.245,0.071,0.094,0.088
"P19","No sabe",0.023,0.031,0.021,0.116
"P20","Que continúe el intendente Julio Zamora",0.066,0.201,0.133,0.22
"P20","Que continúe Julio Zamora pero con mejoras",0.106,0.317,0.156,0.242
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.245,0.155,0.143,0.22
"P20","Que cambie el intendente Julio Zamora",0.583,0.327,0.568,0.318
"P21","Es kirchnerista",0.24,0.106,0.14,0.121
"P21","Forma parte del Frente de Todos",0.177,0.459,0.183,0.141
"P21","Es un hombre de Massa",0.352,0.088,0.095,0.051
"P21","Es un peronista independiente de centro",0.016,0.106,0.217,0.088
"P21","Es un oportunista y está donde le conviene",0.197,0.152,0.308,0.185
"P21","No sabe",0.018,0.089,0.057,0.414
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.254,0.176,0.129,0.062
"P22","Son aliados tácticos pero lo ocultan",0.159,0.215,0.147,0.072
"P22","Son adversarios políticos",0.446,0.445,0.505,0.177
"P22","No sabe",0.141,0.164,0.219,0.689
"P24","La seguridad",0.253,0.196,0.273,0.18
"P24","El tránsito",0.045,0.141,0.033,0.072
"P24","El arreglo de las calles",0.121,0.128,0.236,0.052
"P24","El estado de las escuelas y la educación",0.068,0.052,0.009,0.095
"P24","El sistema de salud",0.064,0.093,0.082,0.145
"P24","El deporte y la cultura",0.094,0.205,0.087,0.086
"P24","La obra pública",0.024,0.061,0.039,0.099
"P24","La luminaria",0.088,0.052,0.086,0.056
"P24","No sabe",0.243,0.072,0.155,0.215
"P25","La seguridad",0.171,0.104,0.112,0.18
"P25","El tránsito",0.075,0.12,0.062,0.082
"P25","El arreglo de las calles",0.23,0.222,0.16,0.149
"P25","El estado de las escuelas y la educación",0.176,0.198,0.293,0.102
"P25","El sistema de salud",0.209,0.178,0.15,0.166
"P25","El deporte y la cultura",0.004,0.037,0.017,0.017
"P25","La obra pública",0.038,0.035,0.064,0.024
"P25","La luminaria",0.001,0.025,0.047,0.043
"P25","No sabe",0.096,0.081,0.095,0.237
"P26","Agua corriente y cloacas",0.402,0.427,0.344,0.48
"P26","Energía eléctrica",0.222,0.096,0.24,0.112
"P26","Red de gas natural",0.061,0.094,0.012,0.06
"P26","Recolección de residuos",0.182,0.178,0.155,0.107
"P26","Ninguno",0.133,0.205,0.249,0.241
"P27","Los robos",0.318,0.206,0.195,0.303
"P27","El narcotráfico",0.355,0.298,0.45,0.247
"P27","La ausencia de patrulleros y personal policial",0.152,0.217,0.14,0.133
"P27","Otro",0.106,0.167,0.169,0.157
"P27","Ninguno",0.069,0.112,0.046,0.16
"P28","Frente de Todos y el peronismo",0.208,0.4,0.305,0.228
"P28","Cambiemos",0.347,0.245,0.335,0.207
"P28","Liberales Libertarios",0.363,0.227,0.223,0.204
"P28","Izquierda",0.013,0.056,0.043,0.047
"P28","No sabe",0.069,0.072,0.094,0.314
"P30","A Alberto Fernández",0.159,0.086,0.069,0.012
"P30","A Sergio Massa",0.103,0.05,0.339,0.315
"P30","A algún candidato del peronismo",0.405,0.638,0.469,0.37
"P30","A algún candidato del kirchnerismo",0.333,0.226,0.123,0.303
"P31","A Alberto Fernández",0.146,0.038,0.082,0.155
"P31","A Sergio Massa",0.135,0.125,0.207,0.338
"P31","A algún candidato del peronismo",0.619,0.523,0.616,0.376
"P31","A Cristina Fernández de Kirchner",0.1,0.314,0.095,0.131
"P32","A Horacio Rodriguez Larreta",0.149,0.207,0.227,0.446
"P32","A Mauricio Macri",0.148,0.073,0.2,0.032
"P32","A Patricia Bullrich",0.587,0.363,0.291,0.274
"P32","A Facundo Manes",0.021,0.244,0.212,0.068
"P32","A Gerardo Morales",0.095,0.113,0.07,0.18
"P33","Seguro lo votaria",0.319,0.282,0.254,0.171
"P33","Quizás lo votaría",0.193,0.192,0.264,0.266
"P33","Nunca lo votaría",0.488,0.526,0.482,0.563
"P34","Muy buena",0.121,0.026,0.033,0.069
"P34","Buena",0.076,0.172,0.12,0.15
"P34","Ni buena ni mala",0.126,0.17,0.086,0.182
"P34","Mala",0.085,0.141,0.108,0.113
"P34","Muy mala",0.586,0.491,0.628,0.475
"P34","No sabe",0.006,0,0.025,0.011
"P35","Muy buena",0.239,0.128,0.178,0.064
"P35","Buena",0.195,0.136,0.153,0.17
"P35","Ni buena ni mala",0.133,0.15,0.205,0.181
"P35","Mala",0.14,0.179,0.101,0.19
"P35","Muy mala",0.289,0.392,0.359,0.354
"P35","No sabe",0.004,0.015,0.004,0.041
"P36","Muy buena",0.147,0.287,0.196,0.203
"P36","Buena",0.051,0.061,0.046,0.055
"P36","Ni buena ni mala",0.068,0.061,0.014,0.134
"P36","Mala",0.062,0.056,0.106,0.122
"P36","Muy mala",0.672,0.534,0.61,0.444
"P36","No sabe",0,0.001,0.028,0.042
"P37","Muy buena",0.103,0.061,0.09,0.077
"P37","Buena",0.163,0.184,0.201,0.246
"P37","Ni buena ni mala",0.184,0.199,0.13,0.257
"P37","Mala",0.094,0.165,0.172,0.078
"P37","Muy mala",0.442,0.385,0.365,0.208
"P37","No sabe",0.014,0.006,0.042,0.134
"P38","Muy buena",0.083,0.059,0.124,0.068
"P38","Buena",0.115,0.199,0.134,0.157
"P38","Ni buena ni mala",0.112,0.115,0.124,0.288
"P38","Mala",0.095,0.189,0.099,0.097
"P38","Muy mala",0.595,0.435,0.519,0.292
"P38","No sabe",0,0.003,0,0.098
"P39","Muy buena",0.379,0.192,0.229,0.231
"P39","Buena",0.153,0.129,0.248,0.091
"P39","Ni buena ni mala",0.119,0.196,0.18,0.19
"P39","Mala",0.079,0.076,0.077,0.066
"P39","Muy mala",0.252,0.406,0.256,0.325
"P39","No sabe",0.018,0.001,0.01,0.097
"P40","Muy buena",0.299,0.214,0.222,0.168
"P40","Buena",0.232,0.103,0.119,0.079
"P40","Ni buena ni mala",0.184,0.218,0.167,0.261
"P40","Mala",0.064,0.089,0.093,0.151
"P40","Muy mala",0.189,0.362,0.366,0.187
"P40","No sabe",0.032,0.014,0.033,0.154
