"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P23","Son lo mismo, ambos son de Massa",0.148,0.399,0.379,0.166,0.339,0.175
"P23","Son aliados en el Frente de Todos pero compiten",0.39,0.199,0.228,0.325,0.203,0.169
"P23","Son enemigos porque Zamora traicionó a Massa",0.234,0.255,0.196,0.071,0.349,0.132
"P23","No sabe",0.228,0.147,0.197,0.438,0.109,0.524
"P24","La seguridad",0.23,0.287,0.185,0.009,0.058,0.248
"P24","El tránsito",0.106,0.073,0.042,0.098,0.021,0.05
"P24","El arreglo de las calles",0.135,0.141,0.124,0.248,0.027,0.113
"P24","El estado de las escuelas y la educación",0.082,0.034,0.015,0,0.056,0.188
"P24","El sistema de salud",0.128,0.071,0.073,0.016,0.196,0.08
"P24","El deporte y la cultura",0.134,0.084,0.166,0.148,0.078,0.081
"P24","La obra pública",0.062,0.04,0.053,0.248,0,0.011
"P24","La luminaria",0.038,0.081,0.111,0.076,0.067,0.054
"P24","No sabe",0.085,0.189,0.231,0.157,0.497,0.175
"P25","La seguridad",0.09,0.156,0.189,0.11,0.181,0.171
"P25","El tránsito",0.085,0.086,0.07,0.217,0.01,0.114
"P25","El arreglo de las calles",0.233,0.189,0.183,0.182,0.167,0.105
"P25","El estado de las escuelas y la educación",0.199,0.163,0.248,0.257,0.15,0.089
"P25","El sistema de salud",0.202,0.21,0.097,0.042,0.198,0.233
"P25","El deporte y la cultura",0.021,0.009,0.028,0.051,0.026,0.007
"P25","La obra pública",0.032,0.059,0.025,0.009,0.03,0.064
"P25","La luminaria",0.019,0.035,0.034,0.013,0.013,0.016
"P25","No sabe",0.119,0.093,0.126,0.119,0.225,0.201
"P26","Agua corriente y cloacas",0.375,0.476,0.447,0.217,0.306,0.373
"P26","Energía eléctrica",0.117,0.198,0.195,0.064,0.116,0.267
"P26","Red de gas natural",0.103,0.025,0.023,0.199,0.108,0.021
"P26","Recolección de residuos",0.124,0.143,0.203,0.311,0.147,0.189
"P26","Ninguno",0.281,0.158,0.132,0.209,0.323,0.15
"P27","Los robos",0.188,0.251,0.374,0.3,0.306,0.21
"P27","El narcotráfico",0.289,0.373,0.348,0.372,0.448,0.318
"P27","La ausencia de patrulleros y personal policial",0.178,0.191,0.102,0.124,0.09,0.219
"P27","Otro",0.153,0.139,0.128,0.177,0.156,0.195
"P27","Ninguno",0.192,0.046,0.048,0.027,0,0.058
"P28","Frente de Todos y el peronismo",0.683,0.045,0.092,0.135,0.169,0.111
"P28","Cambiemos",0.105,0.724,0.063,0.121,0.218,0.156
"P28","Liberales Libertarios",0.107,0.141,0.774,0.088,0.017,0.131
"P28","Izquierda",0.015,0.014,0.053,0.5,0.017,0.007
"P28","No sabe",0.09,0.076,0.018,0.156,0.579,0.595
"P30","A Alberto Fernández",0.089,0.172,0.048,0,0,0.008
"P30","A Sergio Massa",0.448,0.082,0.083,0,0.043,0.151
"P30","A algún candidato del peronismo",0.053,0.602,0.825,0,0.811,0.514
"P30","A algún candidato del kirchnerismo",0.41,0.144,0.044,1,0.146,0.327
"P31","A Alberto Fernández",0.073,0.288,0.037,0,0,0.009
"P31","A Sergio Massa",0.347,0.109,0.154,0,0.057,0.2
"P31","A algún candidato del peronismo",0.262,0.603,0.809,0.217,0.771,0.596
"P31","A Cristina Fernández de Kirchner",0.318,0,0,0.783,0.172,0.195
"P32","A Horacio Rodriguez Larreta",0.391,0.195,0.15,0.358,0.216,0.375
"P32","A Mauricio Macri",0.032,0.202,0.049,0,0.134,0.126
"P32","A Patricia Bullrich",0.047,0.51,0.69,0,0.288,0.279
"P32","A Facundo Manes",0.259,0.034,0.099,0.387,0.15,0.15
"P32","A Gerardo Morales",0.271,0.059,0.012,0.255,0.212,0.07
"P33","Seguro lo votaria",0.072,0.227,0.548,0.091,0.089,0.343
"P33","Quizás lo votaría",0.23,0.208,0.302,0,0.065,0.213
"P33","Nunca lo votaría",0.698,0.565,0.15,0.909,0.846,0.444
"P34","Muy buena",0.09,0.06,0.042,0.075,0.028,0.037
"P34","Buena",0.242,0.038,0.062,0.512,0.011,0.042
"P34","Ni buena ni mala",0.285,0.07,0.011,0.048,0.049,0.232
"P34","Mala",0.154,0.098,0.049,0.112,0.201,0.107
"P34","Muy mala",0.215,0.727,0.834,0.253,0.711,0.543
"P34","No sabe",0.014,0.007,0.002,0,0,0.039
"P35","Muy buena",0.073,0.34,0.096,0.057,0.058,0.082
"P35","Buena",0.059,0.267,0.205,0.083,0.093,0.174
"P35","Ni buena ni mala",0.131,0.21,0.181,0.04,0.094,0.171
"P35","Mala",0.162,0.043,0.246,0.159,0.16,0.28
"P35","Muy mala",0.557,0.114,0.272,0.661,0.595,0.283
"P35","No sabe",0.018,0.026,0,0,0,0.01
"P36","Muy buena",0.479,0.035,0.022,0.309,0.148,0.197
"P36","Buena",0.1,0.011,0.014,0.319,0,0.031
"P36","Ni buena ni mala",0.103,0.076,0.012,0,0.012,0.079
"P36","Mala",0.067,0.08,0.054,0.04,0.166,0.248
"P36","Muy mala",0.226,0.792,0.898,0.332,0.544,0.44
"P36","No sabe",0.025,0.006,0,0,0.13,0.005
"P37","Muy buena",0.033,0.193,0.018,0.125,0.008,0.075
"P37","Buena",0.164,0.293,0.128,0.012,0.071,0.277
"P37","Ni buena ni mala",0.14,0.274,0.138,0.036,0.298,0.25
"P37","Mala",0.123,0.11,0.185,0.097,0.138,0.064
"P37","Muy mala",0.502,0.101,0.531,0.532,0.485,0.123
"P37","No sabe",0.038,0.029,0,0.198,0,0.211
"P38","Muy buena",0.188,0.042,0.009,0,0.041,0.042
"P38","Buena",0.316,0.064,0.04,0.072,0.136,0.11
"P38","Ni buena ni mala",0.205,0.135,0.072,0.108,0.083,0.246
"P38","Mala",0.047,0.159,0.19,0.122,0.176,0.091
"P38","Muy mala",0.242,0.578,0.689,0.505,0.564,0.396
"P38","No sabe",0.002,0.022,0,0.193,0,0.115
"P39","Muy buena",0.085,0.465,0.342,0.106,0.059,0.168
"P39","Buena",0.069,0.288,0.126,0,0.065,0.224
"P39","Ni buena ni mala",0.175,0.138,0.183,0.071,0.275,0.211
"P39","Mala",0.051,0.037,0.164,0.235,0.1,0
"P39","Muy mala",0.6,0.072,0.185,0.588,0.39,0.168
"P39","No sabe",0.02,0,0,0,0.111,0.229
"P40","Muy buena",0.095,0.171,0.595,0.162,0.083,0.12
"P40","Buena",0.034,0.219,0.237,0,0.057,0.096
"P40","Ni buena ni mala",0.157,0.358,0.074,0.159,0.148,0.22
"P40","Mala",0.13,0.107,0.015,0.072,0.21,0.068
"P40","Muy mala",0.529,0.131,0.079,0.607,0.393,0.159
"P40","No sabe",0.055,0.014,0,0,0.109,0.337
