"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P16","Muy mala",0.133,0.156,0.12,0.26,0.166
"P16","No sabe",0.114,0.056,0.128,0.098,0.163
"P17","Muy buena",0.031,0.064,0.015,0.025,0.059
"P17","Buena",0.064,0,0,0.103,0.035
"P17","Ni buena ni mala",0.334,0.221,0.327,0.276,0.24
"P17","Mala",0.096,0.157,0.042,0.104,0.049
"P17","Muy mala",0.045,0.142,0.136,0.124,0.073
"P17","No sabe",0.43,0.416,0.48,0.368,0.544
"P18","Muy buena",0.073,0.064,0.019,0.124,0.049
"P18","Buena",0.098,0.204,0.006,0.156,0.113
"P18","Ni buena ni mala",0.344,0.188,0.437,0.371,0.298
"P18","Mala",0.146,0.134,0.03,0.182,0.114
"P18","Muy mala",0.077,0.061,0.225,0.036,0.153
"P18","No sabe",0.262,0.349,0.283,0.131,0.273
"P19","Muy buena",0.128,0.092,0.082,0.099,0.233
"P19","Buena",0.168,0.24,0.388,0.218,0.251
"P19","Ni buena ni mala",0.289,0.312,0.297,0.201,0.245
"P19","Mala",0.207,0.209,0.158,0.281,0.106
"P19","Muy mala",0.156,0.146,0.075,0.201,0.067
"P19","No sabe",0.052,0.001,0,0,0.098
"P20","Que continúe el intendente Julio Zamora",0.138,0.098,0.266,0.151,0.203
"P20","Que continúe Julio Zamora pero con mejoras",0.208,0.05,0.357,0.222,0.289
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.205,0.275,0.202,0.071,0.175
"P20","Que cambie el intendente Julio Zamora",0.449,0.577,0.175,0.556,0.333
"P21","Es kirchnerista",0.165,0.161,0.019,0.205,0.165
"P21","Forma parte del Frente de Todos",0.291,0.268,0.244,0.116,0.283
"P21","Es un hombre de Massa",0.137,0.175,0.255,0.159,0.129
"P21","Es un peronista independiente de centro",0.058,0.085,0.115,0.16,0.09
"P21","Es un oportunista y está donde le conviene",0.206,0.233,0.351,0.224,0.152
"P21","No sabe",0.143,0.078,0.016,0.136,0.181
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.2,0.197,0.156,0.18,0.082
"P22","Son aliados tácticos pero lo ocultan",0.117,0.269,0.127,0.257,0.102
"P22","Son adversarios políticos",0.382,0.357,0.353,0.361,0.461
"P22","No sabe",0.301,0.177,0.364,0.202,0.355
"P23","Son lo mismo, ambos son de Massa",0.287,0.391,0.303,0.336,0.195
"P23","Son aliados en el Frente de Todos pero compiten",0.289,0.159,0.442,0.313,0.285
"P23","Son enemigos porque Zamora traicionó a Massa",0.18,0.309,0.044,0.21,0.268
"P23","No sabe",0.244,0.141,0.211,0.141,0.252
"P24","La seguridad",0.221,0.267,0.136,0.208,0.252
"P24","El tránsito",0.088,0.094,0.195,0.015,0.056
"P24","El arreglo de las calles",0.101,0.15,0.035,0.16,0.155
"P24","El estado de las escuelas y la educación",0.043,0.008,0.147,0.104,0.072
"P24","El sistema de salud",0.123,0.047,0.142,0.048,0.102
"P24","El deporte y la cultura",0.135,0.145,0.088,0.136,0.086
"P24","La obra pública",0.062,0.023,0.116,0.016,0.056
"P24","La luminaria",0.068,0.103,0.007,0.084,0.078
"P24","No sabe",0.159,0.163,0.134,0.229,0.143
"P25","La seguridad",0.211,0.17,0.058,0.11,0.051
"P25","El tránsito",0.06,0.132,0.288,0.09,0.051
"P25","El arreglo de las calles",0.202,0.147,0.281,0.28,0.119
"P25","El estado de las escuelas y la educación",0.162,0.244,0.248,0.25,0.178
"P25","El sistema de salud",0.171,0.161,0.032,0.097,0.329
"P25","El deporte y la cultura",0.013,0.021,0.015,0.007,0.042
"P25","La obra pública",0.059,0.007,0.055,0.036,0.025
"P25","La luminaria",0.024,0.035,0,0.013,0.019
"P25","No sabe",0.098,0.083,0.023,0.117,0.186
"P27","Los robos",0.306,0.256,0.267,0.205,0.193
"P27","El narcotráfico",0.299,0.407,0.164,0.474,0.3
"P27","La ausencia de patrulleros y personal policial",0.163,0.188,0.377,0.158,0.086
"P27","Otro",0.155,0.099,0.159,0.131,0.181
"P27","Ninguno",0.077,0.05,0.033,0.032,0.24
"P28","Frente de Todos y el peronismo",0.269,0.269,0.483,0.248,0.314
"P28","Cambiemos",0.331,0.318,0.163,0.275,0.213
"P28","Liberales Libertarios",0.249,0.291,0.072,0.318,0.272
"P28","Izquierda",0.035,0.026,0.18,0.054,0.002
"P28","No sabe",0.116,0.096,0.102,0.105,0.199
"P30","A Alberto Fernández",0.105,0.082,0.065,0.032,0.112
"P30","A Sergio Massa",0.198,0.203,0,0.19,0.278
"P30","A algún candidato del peronismo",0.427,0.474,0.935,0.475,0.469
"P30","A algún candidato del kirchnerismo",0.27,0.241,0,0.303,0.141
"P31","A Alberto Fernández",0.204,0.073,0,0.013,0.13
"P31","A Sergio Massa",0.192,0.212,0,0.175,0.193
"P31","A algún candidato del peronismo",0.417,0.597,0.917,0.538,0.434
"P31","A Cristina Fernández de Kirchner",0.187,0.118,0.083,0.274,0.243
"P32","A Horacio Rodriguez Larreta",0.254,0.35,0.691,0.029,0.162
"P32","A Mauricio Macri",0.114,0,0,0.023,0.233
"P32","A Patricia Bullrich",0.385,0.495,0,0.526,0.281
"P32","A Facundo Manes",0.126,0.08,0.091,0.422,0.181
"P32","A Gerardo Morales",0.121,0.075,0.218,0,0.143
"P33","Seguro lo votaria",0.238,0.635,0,0.503,0.131
"P33","Quizás lo votaría",0.239,0.05,0,0.101,0.444
"P33","Nunca lo votaría",0.523,0.315,1,0.396,0.425
"P34","Muy buena",0.07,0.113,0,0.03,0.061
"P34","Buena",0.122,0.113,0.317,0.093,0.126
"P34","Ni buena ni mala",0.127,0.138,0.091,0.187,0.142
"P34","Mala",0.097,0.131,0.159,0.09,0.127
"P34","Muy mala",0.583,0.499,0.433,0.589,0.512
"P34","No sabe",0.001,0.006,0,0.011,0.032
"P35","Muy buena",0.146,0.302,0.051,0.151,0.113
"P35","Buena",0.229,0.149,0.078,0.126,0.105
"P35","Ni buena ni mala",0.179,0.185,0.143,0.147,0.141
"P35","Mala",0.152,0.077,0.206,0.146,0.198
"P35","Muy mala",0.272,0.287,0.522,0.418,0.425
"P35","No sabe",0.022,0,0,0.012,0.018
"P36","Muy buena",0.124,0.333,0.481,0.177,0.224
"P36","Buena",0.035,0.023,0.007,0.119,0.069
"P36","Ni buena ni mala",0.079,0.037,0.083,0.089,0.045
"P36","Mala",0.06,0.103,0.02,0.099,0.116
"P36","Muy mala",0.68,0.504,0.409,0.505,0.524
"P36","No sabe",0.022,0,0,0.011,0.022
"P37","Muy buena",0.109,0.124,0.056,0.05,0.039
"P37","Buena",0.232,0.203,0.091,0.188,0.153
"P37","Ni buena ni mala",0.219,0.311,0.076,0.054,0.191
"P37","Mala",0.169,0.053,0.28,0.041,0.137
"P37","Muy mala",0.247,0.309,0.386,0.547,0.453
"P37","No sabe",0.024,0,0.111,0.12,0.027
"P38","Muy buena",0.056,0.132,0.169,0.055,0.099
"P38","Buena",0.141,0.122,0.233,0.088,0.221
"P38","Ni buena ni mala",0.158,0.137,0.045,0.15,0.173
"P38","Mala",0.148,0.19,0.072,0.1,0.055
"P38","Muy mala",0.481,0.416,0.481,0.564,0.425
"P38","No sabe",0.016,0.003,0,0.043,0.027
"P39","Muy buena",0.319,0.394,0.209,0.169,0.152
"P39","Buena",0.165,0.193,0.085,0.154,0.136
"P39","Ni buena ni mala",0.19,0.097,0.028,0.206,0.186
"P39","Mala",0.053,0.045,0.061,0.092,0.128
"P39","Muy mala",0.252,0.264,0.541,0.321,0.385
"P39","No sabe",0.021,0.007,0.076,0.058,0.013
"P40","Muy buena",0.205,0.311,0.069,0.335,0.182
"P40","Buena",0.179,0.169,0.046,0.048,0.142
"P40","Ni buena ni mala",0.249,0.152,0.089,0.152,0.228
"P40","Mala",0.116,0.054,0.314,0.067,0.052
"P40","Muy mala",0.218,0.276,0.406,0.325,0.327
"P40","No sabe",0.033,0.038,0.076,0.073,0.069
