"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P16","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.094,0.172,0.022,0.017,0.577,0.722,0.083,0.093,0.115,0.034
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.094,0.238,0.13,0,0.101,0.068,0.748,0,0.052,0.024
"P16","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.02,0.032,0.053,0.244,0.021,0.006,0.005,0.132,0,0
"P16","En blanco",0,0.025,0.085,0.102,0.057,0,0.015,0.064,0.685,0.067
"P16","No sabe",0.014,0.201,0.267,0.444,0.163,0.045,0.043,0.665,0.102,0.736
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.641,0.485,0.724,0.601,0.041,0.104,0.046,0,0.048,0.103
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.083,0.03,0.043,0.038,0.762,0.486,0.144,0.095,0.133,0.023
"P19","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.084,0.237,0.128,0.041,0.101,0.127,0.791,0,0.044,0.037
"P19","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.007,0.036,0.052,0.056,0,0.024,0,0.193,0,0.038
"P19","En blanco",0.039,0.088,0.006,0.081,0.012,0.083,0.015,0.354,0.744,0.033
"P19","No sabe",0.146,0.124,0.047,0.183,0.084,0.176,0.004,0.358,0.031,0.766
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.622,0.414,0.815,0.512,0.097,0.032,0.09,0.048,0.086,0.04
"P22","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.105,0.224,0.036,0.017,0.63,0.814,0.177,0.152,0.083,0.04
"P22","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.072,0.104,0.08,0.215,0.15,0.067,0.659,0,0.105,0.053
"P22","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.008,0.039,0.016,0.031,0,0,0,0.482,0,0.045
"P22","En blanco",0.081,0.023,0,0.113,0.054,0.066,0.032,0,0.693,0.07
"P22","No sabe",0.112,0.196,0.053,0.112,0.069,0.021,0.042,0.318,0.033,0.752
"P25","Lo votaría",0.452,0.565,0.134,0.254,0.276,0.158,0.135,0.054,0.223,0.197
"P25","Puede que lo vote",0.248,0.069,0.25,0.226,0.142,0.283,0.154,0,0.084,0.051
"P25","Nunca lo votaría",0.141,0.048,0.446,0.423,0.505,0.433,0.533,0.474,0.607,0.167
"P25","No sabe",0.159,0.318,0.17,0.097,0.077,0.126,0.178,0.472,0.086,0.585
"P26","Lo votaría",0.194,0.315,0.794,0.595,0.205,0.079,0.103,0.162,0.102,0.082
"P26","Puede que lo vote",0.239,0.131,0.064,0.255,0.169,0.224,0.173,0.126,0.133,0.221
"P26","Nunca lo votaría",0.381,0.266,0.132,0.052,0.531,0.554,0.432,0.245,0.592,0.241
"P26","No sabe",0.186,0.288,0.01,0.098,0.095,0.143,0.292,0.467,0.173,0.456
"P27","Lo votaría",0.089,0,0.045,0.023,0.44,0.203,0.182,0.524,0.096,0
"P27","Puede que lo vote",0.116,0,0.004,0.045,0.171,0.311,0.192,0,0.048,0.072
"P27","Nunca lo votaría",0.572,0.642,0.75,0.767,0.223,0.387,0.287,0.284,0.741,0.441
"P27","No sabe",0.223,0.358,0.201,0.165,0.166,0.099,0.339,0.192,0.115,0.487
"P28","Lo votaría",0.017,0.025,0.01,0.185,0.43,0.531,0.136,0,0.297,0.158
"P28","Puede que lo vote",0.17,0.011,0.033,0.045,0.358,0.203,0.221,0,0,0.058
"P28","Nunca lo votaría",0.625,0.642,0.849,0.673,0.159,0.16,0.337,0.496,0.588,0.316
"P28","No sabe",0.188,0.322,0.108,0.097,0.053,0.106,0.306,0.504,0.115,0.468
"P29","Lo votaría",0.008,0.044,0.004,0,0.236,0.027,0.238,0.125,0.072,0.02
"P29","Puede que lo vote",0.112,0.036,0.056,0.184,0.14,0.237,0.155,0,0,0.05
"P29","Nunca lo votaría",0.644,0.617,0.843,0.677,0.45,0.514,0.222,0.288,0.763,0.344
"P29","No sabe",0.236,0.303,0.097,0.139,0.174,0.222,0.385,0.587,0.165,0.586
"P30","Si",0.832,0.784,0.92,0.486,1,0.944,1,0.582,0.937,0.888
"P30","No",0.168,0.216,0.08,0.514,0,0.056,0,0.418,0.063,0.112
