"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.015,0.006,0.007,0.136,0.147,0.057
"P10","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.04,0.515,0.087,0.074,0,0.048
"P10","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.025,0.224,0.078,0,0.056,0.092
"P10","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.026,0.017,0.653,0.042,0.01,0.022
"P10","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0,0,0.135,0.033,0.059
"P10","En blanco",0.009,0.016,0.02,0,0.518,0.024
"P10","No sabe",0.032,0.032,0.033,0.066,0.115,0.353
"P16","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.824,0.093,0.061,0.203,0.021,0.09
"P16","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.056,0.586,0.188,0.077,0.066,0.137
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.058,0.153,0.695,0.026,0.026,0.025
"P16","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.013,0.006,0.01,0.482,0.125,0.003
"P16","En blanco",0.022,0.033,0.018,0.058,0.724,0.03
"P16","No sabe",0.027,0.129,0.028,0.154,0.038,0.715
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.669,0.117,0.073,0.142,0.299,0.277
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.08,0.788,0.104,0.081,0.025,0.033
"P19","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.099,0.053,0.776,0.146,0.012,0.027
"P19","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.005,0.005,0,0.529,0,0.02
"P19","En blanco",0.036,0.009,0.044,0.014,0.602,0.062
"P19","No sabe",0.111,0.028,0.003,0.088,0.062,0.581
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.679,0.102,0.134,0.333,0.181,0.254
"P22","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.141,0.721,0.152,0.124,0.042,0.116
"P22","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.03,0.113,0.583,0.22,0.181,0.072
"P22","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.005,0,0,0.205,0.076,0.049
"P22","En blanco",0.055,0.039,0.059,0.049,0.483,0.043
"P22","No sabe",0.09,0.025,0.072,0.069,0.037,0.466
"P25","Lo votaría",0.472,0.174,0.148,0.036,0.219,0.144
"P25","Puede que lo vote",0.254,0.21,0.153,0.036,0.085,0.118
"P25","Nunca lo votaría",0.173,0.469,0.543,0.311,0.616,0.333
"P25","No sabe",0.101,0.147,0.156,0.617,0.08,0.405
"P26","Lo votaría",0.417,0.08,0.177,0.401,0.299,0.334
"P26","Puede que lo vote",0.198,0.216,0.17,0.069,0.176,0.118
"P26","Nunca lo votaría",0.247,0.584,0.401,0.23,0.402,0.28
"P26","No sabe",0.138,0.12,0.252,0.3,0.123,0.268
"P27","Lo votaría",0.093,0.335,0.18,0,0.043,0.098
"P27","Puede que lo vote",0.071,0.216,0.187,0,0.068,0.056
"P27","Nunca lo votaría",0.617,0.269,0.335,0.427,0.783,0.573
"P27","No sabe",0.219,0.18,0.298,0.573,0.106,0.273
"P28","Lo votaría",0.054,0.338,0.207,0.118,0.268,0.169
"P28","Puede que lo vote",0.084,0.37,0.221,0.044,0.016,0.034
"P28","Nunca lo votaría",0.697,0.188,0.322,0.33,0.637,0.521
"P28","No sabe",0.165,0.104,0.25,0.508,0.079,0.276
"P29","Lo votaría",0.044,0.053,0.272,0,0.023,0.062
"P29","Puede que lo vote",0.114,0.137,0.181,0,0.176,0.015
"P29","Nunca lo votaría",0.633,0.576,0.25,0.423,0.667,0.613
"P29","No sabe",0.209,0.234,0.297,0.577,0.134,0.31
"P30","Si",0.961,0.859,0.967,0.968,0.262,0.878
"P30","No",0.039,0.141,0.033,0.032,0.738,0.122
