"var","categoria","Malena Galmarini a intendenta por Unión por la Patria","Julio Zamora a intendente por Unión por la Patria","Claudio Cufré a intendente por Juntos por el Cambio","Segundo Cernadas a intendente por Juntos por el Cambio","Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros","No sabe"
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.191,0.197,0.362,0.557,0.073,0.005,0.026,0.042
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.043,0.111,0.18,0.137,0.766,0.015,0.026,0.043
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0.029,0.028,0.026,0,0.839,0.026,0
"P27","Otros",0.014,0.331,0.098,0.127,0.009,0.119,0.767,0.12
"P27","No sabe",0.012,0.117,0.122,0.057,0.018,0,0.019,0.696
"P28","Lo votaría",0.795,0.173,0.109,0.012,0.087,0.024,0.092,0.098
"P28","Puede que lo vote",0.065,0.182,0.069,0.095,0.098,0.018,0.086,0.013
"P28","Nunca lo votaría",0.123,0.615,0.818,0.813,0.808,0.681,0.273,0.211
"P28","No sabe",0.017,0.03,0.004,0.08,0.007,0.277,0.549,0.678
"P29","Lo votaría",0.406,0.125,0.1,0.036,0.037,0.107,0,0.054
"P29","Puede que lo vote",0.194,0.167,0.084,0.011,0.023,0,0.146,0.072
"P29","Nunca lo votaría",0.313,0.652,0.816,0.883,0.934,0.893,0.328,0.239
"P29","No sabe",0.087,0.056,0,0.07,0.006,0,0.526,0.635
"P30","Lo votaría",0.26,0.418,0.118,0.003,0.054,0.024,0.173,0.064
"P30","Puede que lo vote",0.193,0.119,0.071,0.013,0.035,0.085,0.05,0.023
"P30","Nunca lo votaría",0.515,0.424,0.811,0.929,0.911,0.891,0.271,0.138
"P30","No sabe",0.032,0.039,0,0.055,0,0,0.506,0.775
"P31","Lo votaría",0.12,0.21,0.729,0.355,0.088,0.042,0.034,0
"P31","Puede que lo vote",0.103,0.149,0.128,0.351,0.283,0.03,0.13,0.046
"P31","Nunca lo votaría",0.764,0.602,0.143,0.266,0.574,0.928,0.799,0.314
"P31","No sabe",0.013,0.039,0,0.028,0.055,0,0.037,0.64
"P32","Lo votaría",0.104,0.126,0.488,0.638,0.064,0,0.021,0.058
"P32","Puede que lo vote",0.053,0.174,0.165,0.249,0.216,0,0.171,0.075
"P32","Nunca lo votaría",0.822,0.642,0.308,0.105,0.662,1,0.222,0.157
"P32","No sabe",0.021,0.058,0.039,0.008,0.058,0,0.586,0.71
"P33","Lo votaría",0.127,0.078,0.344,0.182,0.725,0.021,0.03,0.045
"P33","Puede que lo vote",0.054,0.147,0.134,0.157,0.077,0.029,0.074,0.037
"P33","Nunca lo votaría",0.819,0.72,0.512,0.579,0.196,0.765,0.256,0.274
"P33","No sabe",0,0.055,0.01,0.082,0.002,0.185,0.64,0.644
"P34","Si",0.377,0.393,0.316,0.323,0.522,0.446,0.159,0.177
"P34","No",0.623,0.607,0.684,0.677,0.478,0.554,0.841,0.823
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.738,0.174,0.09,0.028,0.041,0.025,0.074,0.084
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.144,0.313,0.006,0.025,0.002,0.09,0,0.014
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.037,0.162,0.654,0.35,0.061,0,0.069,0.042
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.029,0.119,0.09,0.438,0.015,0.005,0,0.007
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.021,0.117,0.142,0.122,0.877,0,0.059,0.072
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0,0.023,0.018,0.006,0,0.88,0,0
"PRESIDENTE","Otros",0.03,0.049,0,0.028,0,0,0.78,0.235
"PRESIDENTE","No sabe",0.001,0.043,0,0.003,0.004,0,0.018,0.546
"INTENDENTE_CORTA_1","Malena Galmarini a intendenta por Unión por la Patria",0,0.225,0.183,0.077,0.342,0.906,0,0.197
"INTENDENTE_CORTA_1","Julio Zamora a intendente por Unión por la Patria",0.098,0,0.177,0.021,0.088,0.094,0.347,0.102
"INTENDENTE_CORTA_1","Claudio Cufré a intendente por Juntos por el Cambio",0.081,0.301,0,0.569,0.376,0,0.477,0.119
"INTENDENTE_CORTA_1","Segundo Cernadas a intendente por Juntos por el Cambio",0.193,0.149,0.211,0,0.105,0,0.176,0.067
"INTENDENTE_CORTA_1","Claudio Baumgarten a intendente por la Libertad Avanza",0.408,0.152,0.412,0.253,0,0,0,0.021
"INTENDENTE_CORTA_1","Alguno de los candidatos a intendente de la Izquierda",0,0.014,0,0.051,0,0,0,0.124
"INTENDENTE_CORTA_1","Otros",0.052,0.09,0,0.017,0.089,0,0,0.37
"INTENDENTE_CORTA_1","No sabe",0.168,0.069,0.017,0.012,0,0,0,0
"INTENDENTE_CORTA_2","Malena Galmarini a intendenta por Unión por la Patria",1,0,0,0,0,0,0,0
"INTENDENTE_CORTA_2","Julio Zamora a intendente por Unión por la Patria",0,1,0,0,0,0,0,0
"INTENDENTE_CORTA_2","Claudio Cufré a intendente por Juntos por el Cambio",0,0,1,0,0,0,0,0
"INTENDENTE_CORTA_2","Segundo Cernadas a intendente por Juntos por el Cambio",0,0,0,1,0,0,0,0
"INTENDENTE_CORTA_2","Claudio Baumgarten a intendente por la Libertad Avanza",0,0,0,0,1,0,0,0
"INTENDENTE_CORTA_2","Alguno de los candidatos a intendente de la Izquierda",0,0,0,0,0,1,0,0
"INTENDENTE_CORTA_2","Otros",0,0,0,0,0,0,1,0
"INTENDENTE_CORTA_2","No sabe",0,0,0,0,0,0,0,1
