"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P23","Bastante seguro",0.179,0.264,0.244,0.203,0.165,0.129,0.378,0.133,0.092
"P23","Algo seguro",0.063,0.107,0.075,0.016,0.042,0.067,0.163,0.177,0.239
"P23","Para nada seguro",0.021,0,0.044,0.061,0.223,0.045,0.408,0.276,0.392
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.821,0.566,0.164,0.041,0.03,0.111,0.096,0.084,0.231
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.071,0.25,0.116,0.777,0.396,0.129,0.027,0.134,0.035
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.065,0.023,0.091,0.091,0.123,0.674,0.013,0.098,0
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.007,0.013,0.058,0.005,0.03,0.003,0.677,0.071,0.154
"P24","Otros",0.004,0.121,0.393,0.081,0.311,0.035,0,0.453,0.207
"P24","No sabe",0.032,0.027,0.178,0.005,0.11,0.048,0.187,0.16,0.373
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.786,0.629,0.185,0.067,0.128,0.139,0,0.042,0.182
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.168,0.195,0.094,0.517,0.649,0.048,0,0.089,0.19
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.013,0.013,0.084,0.122,0.045,0.755,0.012,0.097,0.012
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0.011,0.073,0.002,0,0.017,0.735,0,0
"P27","Otros",0.026,0.152,0.434,0.198,0.09,0.021,0.107,0.736,0.028
"P27","No sabe",0.004,0,0.13,0.094,0.088,0.02,0.146,0.036,0.588
"P28","Lo votaría",0.877,0.364,0.119,0.019,0.008,0.109,0.043,0.109,0.067
"P28","Puede que lo vote",0.039,0.254,0.235,0.057,0.122,0.055,0.057,0.192,0.298
"P28","Nunca lo votaría",0.063,0.339,0.608,0.882,0.791,0.823,0.613,0.39,0.25
"P28","No sabe",0.021,0.043,0.038,0.042,0.079,0.013,0.287,0.309,0.385
"P29","Lo votaría",0.297,0.738,0.179,0.024,0.05,0.063,0,0.055,0.213
"P29","Puede que lo vote",0.229,0.111,0.235,0.032,0.029,0.006,0.045,0.205,0.058
"P29","Nunca lo votaría",0.35,0.139,0.581,0.899,0.909,0.896,0.792,0.441,0.206
"P29","No sabe",0.124,0.012,0.005,0.045,0.012,0.035,0.163,0.299,0.523
"P30","Lo votaría",0.262,0.461,0.648,0.019,0.02,0.079,0.101,0.256,0.082
"P30","Puede que lo vote",0.17,0.315,0.147,0.038,0.035,0.024,0,0.03,0.159
"P30","Nunca lo votaría",0.519,0.195,0.205,0.89,0.921,0.891,0.745,0.404,0.227
"P30","No sabe",0.049,0.029,0,0.053,0.024,0.006,0.154,0.31,0.532
"P31","Lo votaría",0.096,0.243,0.132,0.734,0.188,0.11,0.033,0.093,0
"P31","Puede que lo vote",0.074,0.149,0.122,0.168,0.492,0.269,0.023,0.104,0.015
"P31","Nunca lo votaría",0.813,0.599,0.744,0.095,0.281,0.582,0.783,0.803,0.387
"P31","No sabe",0.017,0.009,0.002,0.003,0.039,0.039,0.161,0,0.598
"P32","Lo votaría",0.073,0.25,0.063,0.466,0.788,0.082,0,0,0.04
"P32","Puede que lo vote",0.104,0.054,0.104,0.352,0.142,0.151,0.09,0.201,0.06
"P32","Nunca lo votaría",0.784,0.668,0.804,0.144,0.058,0.717,0.809,0.467,0.41
"P32","No sabe",0.039,0.028,0.029,0.038,0.012,0.05,0.101,0.332,0.49
"P33","Lo votaría",0.077,0.182,0.053,0.126,0.119,0.746,0.016,0.09,0.006
"P33","Puede que lo vote",0.06,0.061,0.143,0.238,0.115,0.043,0.114,0.118,0.07
"P33","Nunca lo votaría",0.826,0.757,0.804,0.571,0.688,0.208,0.656,0.431,0.417
"P33","No sabe",0.037,0,0,0.065,0.078,0.003,0.214,0.361,0.507
"P34","Si",0.401,0.32,0.47,0.396,0.257,0.452,0.439,0.054,0.119
"P34","No",0.599,0.68,0.53,0.604,0.743,0.548,0.561,0.946,0.881
