"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  por la Libertad Avanza","Alguno de los candidatos a presidente y gobernador de la Izquierda","Otros","No sabe"
"P15","Bastante seguro",0.194,0.168,0.162,0.149,0.125,0.156,0.142,0.124
"P15","Algo seguro",0.1,0.133,0.07,0.142,0.072,0.043,0.161,0.063
"P15","Para nada seguro",0.085,0.029,0.053,0.138,0.118,0,0.283,0.532
"P23","Totalmente seguro",0.621,0.686,0.679,0.533,0.738,0.48,0.593,0.447
"P23","Bastante seguro",0.187,0.249,0.184,0.23,0.119,0.475,0.169,0.029
"P23","Algo seguro",0.13,0.039,0.047,0.071,0.086,0.045,0.014,0.048
"P23","Para nada seguro",0.062,0.026,0.09,0.166,0.057,0,0.224,0.476
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.659,0.25,0.059,0.026,0.064,0.061,0.149,0.163
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.103,0.122,0.747,0.335,0.176,0.512,0.116,0
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.086,0.101,0.039,0.073,0.598,0.045,0.018,0.076
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.035,0.145,0.006,0.029,0.012,0.259,0.072,0.055
"P24","Otros",0.042,0.335,0.1,0.382,0.111,0.123,0.545,0.081
"P24","No sabe",0.075,0.047,0.049,0.155,0.039,0,0.1,0.625
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.656,0.259,0.085,0.13,0.136,0.125,0.025,0.021
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.091,0.155,0.476,0.529,0.066,0,0.139,0.082
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.07,0,0.095,0.041,0.685,0.198,0,0.028
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.041,0.079,0.017,0,0.013,0.419,0.091,0
"P27","Otros",0.109,0.397,0.202,0.149,0.075,0.258,0.715,0.449
"P27","No sabe",0.033,0.11,0.125,0.151,0.025,0,0.03,0.42
"P28","Lo votaría",0.49,0.199,0.046,0.02,0.089,0.134,0.15,0.064
"P28","Puede que lo vote",0.194,0.269,0.073,0.1,0.025,0.195,0.46,0.071
"P28","Nunca lo votaría",0.27,0.492,0.828,0.82,0.836,0.389,0.209,0.671
"P28","No sabe",0.046,0.04,0.053,0.06,0.05,0.282,0.181,0.194
"P29","Lo votaría",0.193,0.363,0.057,0.021,0.086,0,0.31,0
"P29","Puede que lo vote",0.244,0.234,0.013,0.063,0.005,0.149,0.03,0.028
"P29","Nunca lo votaría",0.418,0.386,0.872,0.916,0.817,0.851,0.637,0.603
"P29","No sabe",0.145,0.017,0.058,0,0.092,0,0.023,0.369
"P30","Lo votaría",0.345,0.726,0.084,0.064,0.11,0.42,0.363,0.421
"P30","Puede que lo vote",0.283,0.173,0.026,0.107,0.106,0.086,0,0.029
"P30","Nunca lo votaría",0.273,0.095,0.833,0.81,0.752,0.494,0.501,0.126
"P30","No sabe",0.099,0.006,0.057,0.019,0.032,0,0.136,0.424
"P31","Lo votaría",0.072,0.075,0.673,0.125,0.197,0,0.371,0
"P31","Puede que lo vote",0.138,0,0.178,0.506,0.282,0.079,0.059,0.097
"P31","Nunca lo votaría",0.734,0.89,0.118,0.276,0.521,0.921,0.412,0.671
"P31","No sabe",0.056,0.035,0.031,0.093,0,0,0.158,0.232
"P32","Lo votaría",0.048,0.06,0.412,0.498,0.129,0,0.251,0
"P32","Puede que lo vote",0.098,0.058,0.385,0.251,0.161,0.154,0.058,0.031
"P32","Nunca lo votaría",0.75,0.851,0.171,0.139,0.683,0.846,0.536,0.738
"P32","No sabe",0.104,0.031,0.032,0.112,0.027,0,0.155,0.231
"P33","Lo votaría",0.044,0,0.103,0.065,0.714,0,0.258,0
"P33","Puede que lo vote",0.01,0.123,0.242,0.214,0.048,0.179,0,0.432
"P33","Nunca lo votaría",0.858,0.877,0.597,0.535,0.221,0.821,0.61,0.303
"P33","No sabe",0.088,0,0.058,0.186,0.017,0,0.132,0.265
"P34","Si",0.466,0.46,0.408,0.247,0.516,0.727,0.182,0.016
"P34","No",0.534,0.54,0.592,0.753,0.484,0.273,0.818,0.984
