"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti","opinion","grupo"
"Juan Schiaretti","Muy mala",0.062,0.056,0.068,0.078,0.078,0.037,0.037,0.019,0.051,0.11,0.036,0.061,0.033,0.058,0.086,0.054,0.048,0.245,0.024,"Negativa","Juan Schiaretti Negativa"
"Juan Schiaretti","No sabe",0.025,0.029,0.022,0.011,0.025,0.02,0.052,0.047,0.009,0.025,0.009,0.001,0.049,0.067,0,0.004,0.02,0.088,0.006,"No sabe","Juan Schiaretti No sabe"
"Luis Juez","Muy buena",0.2,0.194,0.205,0.145,0.196,0.243,0.232,0.271,0.188,0.151,0.104,0.391,0.172,0.134,0.12,0.376,0.23,0.049,0.015,"Positiva","Luis Juez Positiva"
"Luis Juez","Buena",0.256,0.236,0.275,0.318,0.222,0.214,0.293,0.308,0.229,0.243,0.211,0.367,0.101,0.078,0.113,0.359,0.295,0.049,0.313,"Positiva","Luis Juez Positiva"
"Luis Juez","Ni buena ni mala",0.264,0.269,0.259,0.253,0.24,0.329,0.248,0.258,0.287,0.241,0.288,0.201,0.389,0.284,0.227,0.188,0.283,0.346,0.276,"Neutra","Luis Juez Neutra"
"Luis Juez","Mala",0.162,0.173,0.152,0.133,0.206,0.135,0.146,0.078,0.195,0.197,0.272,0.028,0.287,0.166,0.323,0.064,0.119,0.291,0.229,"Negativa","Luis Juez Negativa"
"Luis Juez","Muy mala",0.085,0.086,0.085,0.13,0.09,0.064,0.037,0.02,0.085,0.144,0.099,0.009,0.051,0.204,0.207,0.013,0.043,0.265,0.106,"Negativa","Luis Juez Negativa"
"Luis Juez","No sabe",0.033,0.042,0.024,0.021,0.046,0.015,0.044,0.065,0.016,0.024,0.026,0.004,0,0.134,0.01,0,0.03,0,0.061,"No sabe","Luis Juez No sabe"
"Mauricio Macri","Muy buena",0.154,0.137,0.172,0.15,0.13,0.185,0.173,0.169,0.143,0.154,0.088,0.272,0.141,0.119,0.075,0.285,0.173,0,0.046,"Positiva","Mauricio Macri Positiva"
"Mauricio Macri","Buena",0.234,0.226,0.241,0.272,0.201,0.233,0.253,0.209,0.25,0.235,0.161,0.322,0.064,0.34,0.027,0.362,0.261,0.212,0.2,"Positiva","Mauricio Macri Positiva"
"Mauricio Macri","Ni buena ni mala",0.263,0.284,0.24,0.282,0.278,0.193,0.289,0.332,0.245,0.226,0.278,0.278,0.605,0.26,0.205,0.179,0.367,0.171,0.311,"Neutra","Mauricio Macri Neutra"
"Mauricio Macri","Mala",0.176,0.179,0.173,0.159,0.178,0.214,0.148,0.142,0.194,0.184,0.229,0.086,0.083,0.138,0.315,0.11,0.111,0.243,0.277,"Negativa","Mauricio Macri Negativa"
"Mauricio Macri","Muy mala",0.156,0.146,0.167,0.137,0.195,0.162,0.092,0.1,0.164,0.193,0.238,0.042,0.107,0.064,0.378,0.064,0.071,0.374,0.166,"Negativa","Mauricio Macri Negativa"
"Mauricio Macri","No sabe",0.017,0.028,0.007,0,0.018,0.013,0.045,0.048,0.004,0.008,0.006,0,0,0.079,0,0,0.017,0,0,"No sabe","Mauricio Macri No sabe"
"Rodrigo de Loredo","Muy buena",0.194,0.177,0.21,0.175,0.157,0.214,0.272,0.223,0.18,0.185,0.115,0.364,0.071,0.079,0.118,0.439,0.144,0.29,0.052,"Positiva","Rodrigo de Loredo Positiva"
"Rodrigo de Loredo","Buena",0.169,0.193,0.145,0.22,0.141,0.153,0.174,0.219,0.121,0.181,0.135,0.235,0.299,0.027,0.043,0.229,0.22,0.073,0.195,"Positiva","Rodrigo de Loredo Positiva"
"Rodrigo de Loredo","Ni buena ni mala",0.355,0.319,0.39,0.352,0.362,0.364,0.331,0.311,0.423,0.312,0.421,0.298,0.434,0.302,0.324,0.255,0.417,0.325,0.412,"Neutra","Rodrigo de Loredo Neutra"
"Rodrigo de Loredo","Mala",0.139,0.16,0.118,0.093,0.164,0.171,0.11,0.111,0.15,0.151,0.147,0.072,0,0.287,0.277,0.035,0.134,0.149,0.107,"Negativa","Rodrigo de Loredo Negativa"
"Rodrigo de Loredo","Muy mala",0.065,0.082,0.049,0.109,0.068,0.037,0.034,0.013,0.066,0.11,0.093,0.01,0.196,0.186,0.175,0.028,0.028,0.163,0.094,"Negativa","Rodrigo de Loredo Negativa"
"Rodrigo de Loredo","No sabe",0.078,0.069,0.088,0.051,0.108,0.061,0.079,0.123,0.06,0.061,0.089,0.021,0,0.119,0.063,0.014,0.057,0,0.14,"No sabe","Rodrigo de Loredo No sabe"
"Martín Llaryora","Muy buena",0.148,0.138,0.157,0.149,0.125,0.148,0.196,0.241,0.134,0.082,0.302,0.056,0.033,0.061,0.291,0.102,0.111,0.096,0.262,"Positiva","Martín Llaryora Positiva"
"Martín Llaryora","Buena",0.151,0.134,0.168,0.231,0.116,0.114,0.154,0.141,0.176,0.13,0.224,0.106,0,0.093,0.289,0.085,0.131,0.075,0.253,"Positiva","Martín Llaryora Positiva"
"Martín Llaryora","Ni buena ni mala",0.311,0.282,0.34,0.294,0.287,0.343,0.348,0.302,0.34,0.285,0.301,0.323,0.474,0.099,0.265,0.395,0.269,0.248,0.315,"Neutra","Martín Llaryora Neutra"
"Martín Llaryora","Mala",0.262,0.3,0.225,0.214,0.308,0.303,0.182,0.19,0.244,0.347,0.12,0.371,0.325,0.448,0.102,0.288,0.355,0.352,0.069,"Negativa","Martín Llaryora Negativa"
"Martín Llaryora","Muy mala",0.101,0.131,0.071,0.112,0.12,0.09,0.058,0.059,0.096,0.143,0.035,0.143,0.168,0.235,0.046,0.128,0.122,0.229,0.054,"Negativa","Martín Llaryora Negativa"
"Martín Llaryora","No sabe",0.027,0.015,0.039,0,0.044,0.002,0.062,0.067,0.01,0.013,0.018,0.001,0,0.064,0.007,0.002,0.012,0,0.047,"No sabe","Martín Llaryora No sabe"
"CFK","Muy buena",0.136,0.101,0.171,0.219,0.116,0.116,0.093,0.156,0.142,0.112,0.18,0.074,0.198,0.043,0.488,0.058,0.042,0.232,0.13,"Positiva","CFK Positiva"
"CFK","Buena",0.06,0.072,0.048,0.047,0.072,0.064,0.046,0.051,0.061,0.067,0.072,0.009,0,0.119,0.143,0.034,0.04,0.076,0.081,"Positiva","CFK Positiva"
"CFK","Ni buena ni mala",0.146,0.138,0.155,0.251,0.108,0.083,0.164,0.199,0.144,0.105,0.227,0.079,0.304,0.078,0.195,0.123,0.098,0.212,0.317,"Neutra","CFK Neutra"
"CFK","Mala",0.313,0.299,0.327,0.158,0.289,0.437,0.415,0.377,0.276,0.302,0.257,0.397,0.353,0.269,0.133,0.357,0.346,0.354,0.22,"Negativa","CFK Negativa"
"CFK","Muy mala",0.329,0.362,0.295,0.325,0.391,0.288,0.254,0.182,0.373,0.398,0.255,0.44,0.145,0.471,0.041,0.426,0.464,0.126,0.244,"Negativa","CFK Negativa"
"CFK","No sabe",0.016,0.028,0.004,0,0.024,0.012,0.028,0.035,0.004,0.016,0.009,0.001,0,0.02,0,0.002,0.01,0,0.008,"No sabe","CFK No sabe"
"Sergio Massa","Muy buena",0.062,0.04,0.084,0.044,0.065,0.035,0.112,0.099,0.056,0.038,0.087,0.037,0.352,0.035,0.225,0.03,0.027,0.165,0,"Positiva","Sergio Massa Positiva"
"Sergio Massa","Buena",0.117,0.116,0.117,0.176,0.102,0.114,0.075,0.086,0.15,0.104,0.154,0.043,0,0.122,0.386,0.062,0.051,0.301,0.064,"Positiva","Sergio Massa Positiva"
"Sergio Massa","Ni buena ni mala",0.194,0.18,0.209,0.262,0.184,0.137,0.199,0.245,0.168,0.183,0.3,0.114,0.215,0.154,0.217,0.157,0.109,0.193,0.481,"Neutra","Sergio Massa Neutra"
"Sergio Massa","Mala",0.262,0.231,0.293,0.119,0.245,0.356,0.368,0.307,0.238,0.252,0.217,0.304,0.116,0.165,0.129,0.306,0.287,0.226,0.214,"Negativa","Sergio Massa Negativa"
"Sergio Massa","Muy mala",0.347,0.405,0.289,0.399,0.384,0.346,0.203,0.228,0.376,0.413,0.233,0.495,0.317,0.524,0.032,0.443,0.517,0.115,0.234,"Negativa","Sergio Massa Negativa"
"Sergio Massa","No sabe",0.018,0.028,0.008,0,0.02,0.012,0.043,0.035,0.012,0.01,0.009,0.007,0,0,0.011,0.002,0.009,0,0.007,"No sabe","Sergio Massa No sabe"
