"var","categoria","Adriana Nazario por Hacemos Unidos por Córdoba","Guillermo De Rivas por Hacemos Unidos por Córdoba","Gonzalo Parodi por la UCR","Mauricio Dova por Hacemos Unidos por Córdoba","Gabriel Abrile por la Libertad Avanza","Ivon Tesio por partido Vecinal","Pablo Carrizo por partido conciencia desarrollista","En blanco","No sabe"
"P23","Muy mala",0.25,0.295,0.326,0.084,0.473,0.125,0.125,0.311,0.336
"P23","No sabe",0.006,0.012,0,0.089,0,0,0,0,0.067
"P24","Muy buena",0.113,0.076,0.097,0.091,0.277,0.043,0.152,0.083,0.112
"P24","Buena",0.142,0.17,0.229,0.177,0.334,0.414,0.203,0.087,0.244
"P24","Ni buena ni mala",0.252,0.166,0.356,0.222,0.265,0.119,0.232,0.282,0.298
"P24","Mala",0.282,0.297,0.102,0.192,0.079,0.259,0.187,0.288,0.169
"P24","Muy mala",0.211,0.283,0.216,0.229,0.045,0.165,0.226,0.174,0.116
"P24","No sabe",0,0.008,0,0.089,0,0,0,0.086,0.061
"P25","Muy buena",0.121,0.062,0.004,0.064,0.06,0.069,0,0.138,0.029
"P25","Buena",0.196,0.173,0.061,0.16,0.061,0.332,0.084,0.102,0.105
"P25","Ni buena ni mala",0.186,0.278,0.192,0.31,0.089,0.118,0.649,0.267,0.188
"P25","Mala",0.276,0.221,0.348,0.288,0.224,0.357,0.153,0.256,0.288
"P25","Muy mala",0.221,0.259,0.377,0.088,0.566,0.124,0.114,0.237,0.318
"P25","No sabe",0,0.007,0.018,0.09,0,0,0,0,0.072
