"var","categoria","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad"
"P20","No sabe",0.053,0.042,0.073,0.016,0.047,0.033
"P21","Muy buena",0.045,0.063,0.053,0.075,0.261,0.01
"P21","Buena",0.046,0.122,0.059,0.17,0.183,0.073
"P21","Ni buena ni mala",0.28,0.276,0.286,0.291,0.235,0.06
"P21","Mala",0.218,0.191,0.12,0.169,0.101,0.069
"P21","Muy mala",0.175,0.194,0.232,0.154,0.067,0.522
"P21","No lo conozco",0.209,0.122,0.173,0.113,0.107,0.193
"P21","No sabe",0.027,0.032,0.077,0.028,0.046,0.073
"P22","Muy buena",0.026,0.048,0.04,0.054,0.045,0.25
"P22","Buena",0.027,0.079,0.081,0.173,0.025,0.193
"P22","Ni buena ni mala",0.314,0.288,0.345,0.327,0.346,0.143
"P22","Mala",0.204,0.219,0.087,0.188,0.219,0.012
"P22","Muy mala",0.133,0.165,0.173,0.111,0.163,0.178
"P22","No lo conozco",0.266,0.172,0.181,0.119,0.163,0.164
"P22","No sabe",0.03,0.029,0.093,0.028,0.039,0.06
"P23","Muy buena",0.307,0.077,0.047,0.121,0.077,0
"P23","Buena",0.168,0.085,0.126,0.151,0.137,0.065
"P23","Ni buena ni mala",0.227,0.289,0.294,0.356,0.241,0.148
"P23","Mala",0.114,0.217,0.111,0.193,0.167,0.134
"P23","Muy mala",0.049,0.211,0.212,0.122,0.157,0.479
"P23","No lo conozco",0.105,0.091,0.161,0.057,0.17,0
"P23","No sabe",0.03,0.03,0.049,0,0.051,0.174
"P24","Muy buena",0.063,0.21,0.003,0.054,0.051,0.037
"P24","Buena",0.059,0.15,0.07,0.074,0.119,0.047
"P24","Ni buena ni mala",0.297,0.245,0.345,0.33,0.253,0.067
"P24","Mala",0.17,0.112,0.05,0.175,0.139,0.068
"P24","Muy mala",0.114,0.071,0.181,0.089,0.152,0.487
"P24","No lo conozco",0.261,0.165,0.314,0.274,0.24,0.113
"P24","No sabe",0.036,0.047,0.037,0.004,0.046,0.181
"P25","Muy buena",0.036,0.063,0.145,0.069,0.003,0.021
"P25","Buena",0.062,0.065,0.159,0.089,0.04,0.063
"P25","Ni buena ni mala",0.279,0.326,0.248,0.268,0.371,0.088
"P25","Mala",0.171,0.13,0.081,0.153,0.143,0.09
"P25","Muy mala",0.095,0.106,0.108,0.086,0.137,0.476
"P25","No lo conozco",0.333,0.274,0.192,0.263,0.234,0.219
"P25","No sabe",0.024,0.036,0.067,0.072,0.072,0.043
"P26","Muy buena",0.001,0.035,0.033,0.112,0.046,0.01
"P26","Buena",0.057,0.075,0.049,0.194,0.044,0.048
"P26","Ni buena ni mala",0.303,0.307,0.338,0.318,0.348,0.093
"P26","Mala",0.143,0.146,0.045,0.128,0.197,0.047
"P26","Muy mala",0.106,0.134,0.191,0.04,0.08,0.516
"P26","No lo conozco",0.35,0.255,0.294,0.191,0.172,0.232
"P26","No sabe",0.04,0.048,0.05,0.017,0.113,0.054
"P27","Muy buena",0.016,0.052,0.045,0.074,0.01,0.021
"P27","Buena",0.025,0.041,0.03,0.075,0.047,0.048
"P27","Ni buena ni mala",0.277,0.261,0.271,0.286,0.307,0.144
"P27","Mala",0.125,0.139,0.076,0.206,0.092,0.028
"P27","Muy mala",0.082,0.096,0.076,0.075,0.149,0.401
"P27","No lo conozco",0.432,0.347,0.424,0.267,0.322,0.315
"P27","No sabe",0.043,0.064,0.078,0.017,0.073,0.043
"P28","Muy buena",0.022,0.041,0.016,0.112,0.035,0.244
"P28","Buena",0.039,0.103,0.146,0.058,0.021,0.097
"P28","Ni buena ni mala",0.279,0.242,0.319,0.212,0.26,0.077
"P28","Mala",0.181,0.149,0.072,0.136,0.186,0.083
"P28","Muy mala",0.097,0.199,0.118,0.179,0.184,0.216
"P28","No lo conozco",0.339,0.217,0.26,0.281,0.239,0.209
"P28","No sabe",0.043,0.049,0.069,0.022,0.075,0.074
