"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.015,0.075,0.133,0.173,0.126,0.159,0.126
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.011,0.035,0.006,0.023,0.086,0.014,0
"P10","No sabe",0.02,0.059,0.093,0.113,0.083,0.283,0.329
"P11","Lo votaría",0.836,0.528,0.133,0.03,0.089,0.094,0
"P11","Puede que lo vote",0.054,0.249,0.201,0.094,0.04,0.152,0.149
"P11","Nunca lo votaría",0.054,0.097,0.504,0.742,0.854,0.426,0.278
"P11","No sabe",0.056,0.126,0.162,0.134,0.017,0.328,0.573
"P12","Lo votaría",0.249,0.213,0.341,0.422,0.444,0.277,0.22
"P12","Puede que lo vote",0.125,0.208,0.184,0.107,0.086,0.105,0.072
"P12","Nunca lo votaría",0.548,0.347,0.374,0.367,0.466,0.291,0.132
"P12","No sabe",0.078,0.232,0.101,0.104,0.004,0.327,0.576
"P13","Lo votaría",0.16,0.176,0.169,0.146,0.247,0.178,0.198
"P13","Puede que lo vote",0.102,0.241,0.133,0.168,0.061,0.155,0.053
"P13","Nunca lo votaría",0.656,0.481,0.593,0.588,0.636,0.345,0.065
"P13","No sabe",0.082,0.102,0.105,0.098,0.056,0.322,0.684
"P14","Lo votaría",0.104,0.082,0.079,0.131,0.137,0.094,0.045
"P14","Puede que lo vote",0.114,0.25,0.175,0.137,0.129,0.112,0.077
"P14","Nunca lo votaría",0.641,0.491,0.602,0.589,0.716,0.41,0.194
"P14","No sabe",0.141,0.177,0.144,0.143,0.018,0.384,0.684
"P15","Lo votaría",0.14,0.09,0.106,0.144,0.229,0.12,0.091
"P15","Puede que lo vote",0.122,0.228,0.147,0.144,0.108,0.104,0
"P15","Nunca lo votaría",0.602,0.485,0.599,0.595,0.635,0.357,0.178
"P15","No sabe",0.136,0.197,0.148,0.117,0.028,0.419,0.731
"P16","Lo votaría",0.151,0.081,0.025,0.025,0.118,0.053,0.024
"P16","Puede que lo vote",0.101,0.19,0.122,0.127,0.07,0.026,0.035
"P16","Nunca lo votaría",0.597,0.533,0.709,0.699,0.751,0.48,0.045
"P16","No sabe",0.151,0.196,0.144,0.149,0.061,0.441,0.896
"P18","Muy buena",0.274,0.156,0.181,0.325,0.285,0.148,0.124
"P18","Buena",0.112,0.361,0.18,0.091,0.101,0.142,0.09
"P18","Ni buena ni mala",0.169,0.29,0.423,0.123,0.066,0.176,0.198
"P18","Mala",0.21,0.062,0.093,0.276,0.026,0.025,0.059
"P18","Muy mala",0.169,0.037,0.065,0.117,0.519,0.078,0
"P18","No lo conozco",0.027,0.05,0.04,0.036,0,0.333,0
"P18","No sabe",0.039,0.044,0.018,0.032,0.003,0.098,0.529
"P19","Muy buena",0.158,0.198,0.109,0.099,0.208,0.074,0.022
"P19","Buena",0.064,0.204,0.133,0.117,0.082,0.126,0.059
"P19","Ni buena ni mala",0.274,0.318,0.443,0.139,0.208,0.224,0.213
"P19","Mala",0.277,0.101,0.182,0.325,0.057,0.029,0.022
"P19","Muy mala",0.137,0.086,0.098,0.264,0.403,0.176,0
"P19","No lo conozco",0.087,0.038,0.028,0.05,0.04,0.339,0
"P19","No sabe",0.003,0.055,0.007,0.006,0.002,0.032,0.684
"P20","Muy buena",0.095,0.074,0.051,0.074,0.139,0.04,0.057
"P20","Buena",0.077,0.197,0.099,0.151,0.059,0.089,0.022
"P20","Ni buena ni mala",0.334,0.345,0.55,0.192,0.162,0.126,0.071
"P20","Mala",0.215,0.132,0.102,0.32,0.114,0,0.019
"P20","Muy mala",0.097,0.039,0.094,0.153,0.386,0.038,0.079
"P20","No lo conozco",0.16,0.153,0.071,0.076,0.14,0.638,0.045
"P20","No sabe",0.022,0.06,0.033,0.034,0,0.069,0.707
"P21","Muy buena",0.117,0.044,0.063,0.079,0.155,0.053,0.049
"P21","Buena",0.078,0.194,0.07,0.094,0.085,0.166,0.058
"P21","Ni buena ni mala",0.259,0.243,0.462,0.175,0.157,0.103,0.023
"P21","Mala",0.248,0.147,0.149,0.309,0.088,0.043,0.102
"P21","Muy mala",0.166,0.112,0.154,0.21,0.402,0.098,0
"P21","No lo conozco",0.127,0.187,0.091,0.127,0.113,0.413,0.177
"P21","No sabe",0.005,0.073,0.011,0.006,0,0.124,0.591
"P22","Muy buena",0.098,0.022,0.01,0.028,0.104,0.037,0.021
"P22","Buena",0.081,0.149,0.03,0.043,0.074,0.086,0
"P22","Ni buena ni mala",0.312,0.331,0.534,0.215,0.103,0.082,0.159
"P22","Mala",0.214,0.178,0.164,0.366,0.151,0.058,0
"P22","Muy mala",0.12,0.07,0.101,0.171,0.383,0.16,0.086
"P22","No lo conozco",0.162,0.175,0.139,0.163,0.185,0.504,0.098
"P22","No sabe",0.013,0.075,0.022,0.014,0,0.073,0.636
"P23","Muy buena",0.462,0.101,0.067,0.004,0.088,0.013,0.046
"P23","Buena",0.16,0.313,0.126,0.048,0,0.112,0
"P23","Ni buena ni mala",0.183,0.296,0.473,0.204,0.086,0.194,0.032
"P23","Mala",0.082,0.078,0.172,0.414,0.163,0.07,0.131
"P23","Muy mala",0.045,0.06,0.083,0.215,0.536,0.157,0.128
"P23","No lo conozco",0.05,0.045,0.075,0.093,0.127,0.403,0.151
"P23","No sabe",0.018,0.107,0.004,0.022,0,0.051,0.512
"P24","Muy buena",0.113,0.087,0.091,0.111,0.121,0.076,0
"P24","Buena",0.125,0.16,0.085,0.087,0.084,0.053,0.053
"P24","Ni buena ni mala",0.282,0.32,0.446,0.142,0.128,0.142,0.155
"P24","Mala",0.169,0.091,0.085,0.288,0.126,0.026,0
"P24","Muy mala",0.126,0.053,0.084,0.135,0.277,0.101,0.146
"P24","No lo conozco",0.164,0.206,0.201,0.218,0.229,0.511,0.152
"P24","No sabe",0.021,0.083,0.008,0.019,0.035,0.091,0.494
"P25","Muy buena",0.126,0.03,0.022,0.018,0.112,0.048,0.026
"P25","Buena",0.087,0.193,0.045,0.036,0.053,0.073,0.03
"P25","Ni buena ni mala",0.29,0.262,0.513,0.291,0.112,0.058,0.028
"P25","Mala",0.179,0.082,0.116,0.257,0.125,0.07,0
"P25","Muy mala",0.103,0.043,0.055,0.146,0.369,0.053,0
"P25","No lo conozco",0.213,0.336,0.225,0.234,0.189,0.577,0.26
"P25","No sabe",0.002,0.054,0.024,0.018,0.04,0.121,0.656
"P26","Muy buena",0.088,0.007,0.02,0.019,0.047,0,0
"P26","Buena",0.071,0.181,0.058,0.05,0.035,0.042,0.041
"P26","Ni buena ni mala",0.325,0.292,0.477,0.247,0.213,0.08,0.213
"P26","Mala",0.146,0.058,0.138,0.3,0.096,0.045,0
"P26","Muy mala",0.104,0.056,0.082,0.172,0.364,0.054,0
"P26","No lo conozco",0.246,0.327,0.183,0.203,0.229,0.632,0.241
"P26","No sabe",0.02,0.079,0.042,0.009,0.016,0.147,0.505
"P27","Muy buena",0.083,0.052,0.01,0.007,0.049,0.025,0
"P27","Buena",0.066,0.104,0.019,0.002,0.017,0.043,0
"P27","Ni buena ni mala",0.315,0.269,0.439,0.207,0.111,0.069,0.027
"P27","Mala",0.149,0.098,0.113,0.226,0.125,0,0
"P27","Muy mala",0.073,0.035,0.06,0.181,0.298,0.024,0
"P27","No lo conozco",0.289,0.354,0.333,0.348,0.39,0.671,0.311
"P27","No sabe",0.025,0.088,0.026,0.029,0.01,0.168,0.662
"P28","Muy buena",0.093,0.037,0.007,0.016,0.089,0.038,0
"P28","Buena",0.061,0.191,0.064,0.047,0.027,0.096,0
"P28","Ni buena ni mala",0.299,0.232,0.414,0.22,0.128,0.022,0.193
"P28","Mala",0.193,0.091,0.147,0.289,0.1,0.035,0.095
"P28","Muy mala",0.12,0.078,0.106,0.219,0.363,0.12,0.041
"P28","No lo conozco",0.217,0.296,0.237,0.183,0.25,0.564,0.082
"P28","No sabe",0.017,0.075,0.025,0.026,0.043,0.125,0.589
