"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P25","No lo conozco",0.216,0.297,0.203,0.732,0.383
"P25","No sabe",0.034,0.032,0.003,0.045,0.537
"P26","Positiva",0.167,0.055,0.085,0.066,0
"P26","Neutra",0.319,0.498,0.234,0.056,0.008
"P26","Negativa",0.265,0.156,0.449,0.032,0
"P26","No lo conozco",0.219,0.244,0.219,0.771,0.446
"P26","No sabe",0.03,0.047,0.013,0.075,0.546
"P27","Positiva",0.137,0.02,0.05,0.068,0
"P27","Neutra",0.28,0.441,0.191,0.077,0.008
"P27","Negativa",0.226,0.095,0.428,0,0
"P27","No lo conozco",0.331,0.389,0.306,0.829,0.358
"P27","No sabe",0.026,0.055,0.025,0.026,0.634
"P28","Positiva",0.204,0.051,0.071,0.124,0.019
"P28","Neutra",0.277,0.376,0.174,0.135,0.125
"P28","Negativa",0.277,0.217,0.515,0.059,0.037
"P28","No lo conozco",0.21,0.317,0.208,0.655,0.326
"P28","No sabe",0.032,0.039,0.032,0.027,0.493
