"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.004,0.015,0.014,0.021,0.093,0.029,0.02
"P09","No sabe",0.027,0.03,0.103,0.092,0.102,0.167,0.356
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.063,0.176,0.306,0.409,0.208,0.282,0.249
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.241,0.379,0.309,0.273,0.243,0.25,0.215
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.167,0.053,0.122,0.104,0.18,0.091,0.071
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.437,0.25,0.059,0.045,0.025,0.007,0.058
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.07,0.08,0.107,0.119,0.148,0.132,0.073
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0,0.015,0.006,0.021,0.102,0.033,0
"P10","No sabe",0.022,0.047,0.091,0.029,0.094,0.205,0.334
"P11","Lo votaría",0.399,0.17,0.331,0.388,0.192,0.291,0.322
"P11","Puede que lo vote",0.155,0.224,0.142,0.099,0.053,0.16,0.096
"P11","Nunca lo votaría",0.28,0.499,0.387,0.463,0.686,0.333,0.185
"P11","No sabe",0.166,0.107,0.14,0.05,0.069,0.216,0.397
"P12","Lo votaría",0.516,0.368,0.348,0.306,0.22,0.275,0.19
"P12","Puede que lo vote",0.061,0.232,0.144,0.107,0.089,0.175,0.143
"P12","Nunca lo votaría",0.292,0.321,0.377,0.538,0.674,0.312,0.18
"P12","No sabe",0.131,0.079,0.131,0.049,0.017,0.238,0.487
"P13","Lo votaría",0.42,0.151,0.14,0.127,0.18,0.18,0.182
"P13","Puede que lo vote",0.035,0.246,0.148,0.127,0.112,0.128,0.096
"P13","Nunca lo votaría",0.523,0.551,0.598,0.685,0.679,0.443,0.145
"P13","No sabe",0.022,0.052,0.114,0.061,0.029,0.249,0.577
"P14","Lo votaría",0.684,0.195,0.031,0.051,0.023,0.032,0
"P14","Puede que lo vote",0.124,0.582,0.143,0.064,0.066,0.082,0.076
"P14","Nunca lo votaría",0.166,0.12,0.643,0.837,0.885,0.545,0.352
"P14","No sabe",0.026,0.103,0.183,0.048,0.026,0.341,0.572
"P15","Lo votaría",0.492,0.119,0.111,0.17,0.106,0.052,0.039
"P15","Puede que lo vote",0.114,0.341,0.141,0.067,0.089,0.131,0.089
"P15","Nunca lo votaría",0.326,0.377,0.569,0.691,0.791,0.5,0.333
"P15","No sabe",0.068,0.163,0.179,0.072,0.014,0.317,0.539
"P16","Lo votaría",0.277,0.095,0.037,0.101,0.081,0.037,0.021
"P16","Puede que lo vote",0.128,0.205,0.081,0.061,0.148,0.103,0.026
"P16","Nunca lo votaría",0.522,0.575,0.673,0.752,0.744,0.533,0.308
"P16","No sabe",0.073,0.125,0.209,0.086,0.027,0.327,0.645
"P17","Muy buena",0.248,0.143,0.204,0.291,0.153,0.19,0.092
"P17","Buena",0.13,0.247,0.141,0.12,0.041,0.122,0.168
"P17","Ni buena ni mala",0.186,0.256,0.466,0.191,0.206,0.116,0.189
"P17","Mala",0.133,0.193,0.08,0.296,0.165,0.061,0.096
"P17","Muy mala",0.233,0.07,0.064,0.099,0.39,0.107,0
"P17","No lo conozco",0.055,0.087,0.041,0,0.032,0.398,0.152
"P17","No sabe",0.015,0.004,0.004,0.003,0.013,0.006,0.303
"P18","Muy buena",0.394,0.247,0.227,0.249,0.172,0.181,0.157
"P18","Buena",0.157,0.33,0.182,0.132,0.074,0.144,0.136
"P18","Ni buena ni mala",0.151,0.211,0.414,0.136,0.105,0.168,0.076
"P18","Mala",0.096,0.106,0.091,0.329,0.115,0.051,0.039
"P18","Muy mala",0.164,0.06,0.064,0.132,0.525,0.128,0.03
"P18","No lo conozco",0.03,0.046,0.017,0.02,0.009,0.24,0.115
"P18","No sabe",0.008,0,0.005,0.002,0,0.088,0.447
"P19","Muy buena",0.52,0.086,0.128,0.038,0.112,0.136,0.059
"P19","Buena",0.029,0.319,0.108,0.063,0.061,0.155,0.089
"P19","Ni buena ni mala",0.153,0.244,0.523,0.222,0.113,0.197,0.09
"P19","Mala",0.113,0.159,0.136,0.581,0.065,0.052,0.059
"P19","Muy mala",0.164,0.141,0.09,0.058,0.646,0.133,0.014
"P19","No lo conozco",0.021,0.051,0.01,0.038,0.003,0.319,0.159
"P19","No sabe",0,0,0.005,0,0,0.008,0.53
"P21","Muy buena",0.361,0.085,0.06,0.061,0.07,0.068,0
"P21","Buena",0.124,0.422,0.089,0.048,0.027,0.044,0.027
"P21","Ni buena ni mala",0.239,0.225,0.585,0.102,0.024,0.076,0.051
"P21","Mala",0.074,0.156,0.124,0.631,0.021,0.05,0.07
"P21","Muy mala",0.13,0.075,0.063,0.131,0.813,0.107,0.054
"P21","No lo conozco",0.072,0.037,0.069,0.021,0.045,0.605,0.242
"P21","No sabe",0,0,0.01,0.006,0,0.05,0.556
"P22","Muy buena",0.259,0.011,0.021,0.051,0.052,0.03,0.014
"P22","Buena",0.134,0.217,0.041,0.049,0.045,0.053,0.007
"P22","Ni buena ni mala",0.177,0.301,0.608,0.2,0.117,0.08,0.108
"P22","Mala",0.172,0.236,0.149,0.536,0.11,0.036,0.027
"P22","Muy mala",0.15,0.134,0.069,0.093,0.615,0.083,0
"P22","No lo conozco",0.094,0.101,0.102,0.065,0.056,0.677,0.278
"P22","No sabe",0.014,0,0.01,0.006,0.005,0.041,0.566
"P23","Muy buena",0.283,0.057,0.147,0.181,0.154,0.095,0.027
"P23","Buena",0.123,0.315,0.111,0.124,0.019,0.096,0.213
"P23","Ni buena ni mala",0.201,0.273,0.45,0.127,0.132,0.195,0.091
"P23","Mala",0.177,0.122,0.134,0.395,0.086,0.104,0.097
"P23","Muy mala",0.058,0.162,0.084,0.117,0.599,0.093,0.05
"P23","No lo conozco",0.135,0.071,0.072,0.056,0.01,0.326,0.115
"P23","No sabe",0.023,0,0.002,0,0,0.091,0.407
"P24","Muy buena",0.202,0.071,0.092,0.088,0.117,0.098,0.026
"P24","Buena",0.105,0.257,0.091,0.104,0.066,0.037,0.074
"P24","Ni buena ni mala",0.263,0.308,0.501,0.203,0.05,0.085,0.125
"P24","Mala",0.153,0.046,0.09,0.383,0.097,0.07,0.029
"P24","Muy mala",0.05,0.103,0.057,0.105,0.541,0.027,0.054
"P24","No lo conozco",0.165,0.212,0.159,0.108,0.121,0.613,0.248
"P24","No sabe",0.062,0.003,0.01,0.009,0.008,0.07,0.444
"P25","Muy buena",0.277,0.012,0.025,0.028,0.074,0.081,0
"P25","Buena",0.076,0.28,0.066,0.061,0.029,0.027,0.035
"P25","Ni buena ni mala",0.189,0.391,0.537,0.197,0.155,0.056,0.043
"P25","Mala",0.072,0.076,0.102,0.486,0.046,0.061,0.052
"P25","Muy mala",0.173,0.039,0.039,0.099,0.533,0.024,0.012
"P25","No lo conozco",0.15,0.199,0.215,0.12,0.16,0.705,0.298
"P25","No sabe",0.063,0.003,0.016,0.009,0.003,0.046,0.56
"P26","Muy buena",0.297,0.039,0.004,0.029,0,0,0
"P26","Buena",0.148,0.401,0.031,0.041,0.008,0.01,0
"P26","Ni buena ni mala",0.278,0.324,0.599,0.178,0.115,0.05,0.123
"P26","Mala",0.016,0.081,0.111,0.511,0.056,0.016,0.052
"P26","Muy mala",0.166,0.03,0.044,0.09,0.609,0.045,0.012
"P26","No lo conozco",0.086,0.107,0.184,0.144,0.184,0.821,0.223
"P26","No sabe",0.009,0.018,0.027,0.007,0.028,0.058,0.59
"P27","Muy buena",0.332,0.016,0.013,0.003,0,0.016,0.027
"P27","Buena",0.101,0.241,0.014,0.01,0,0.002,0
"P27","Ni buena ni mala",0.16,0.31,0.524,0.24,0.068,0.028,0.028
"P27","Mala",0.113,0.08,0.101,0.407,0.068,0.004,0.031
"P27","Muy mala",0.016,0.033,0.035,0.076,0.571,0.019,0.012
"P27","No lo conozco",0.278,0.302,0.292,0.229,0.283,0.834,0.339
"P27","No sabe",0,0.018,0.021,0.035,0.01,0.097,0.563
"P28","Muy buena",0.233,0.019,0.009,0.042,0.064,0.028,0.016
"P28","Buena",0.125,0.225,0.056,0.056,0.065,0.036,0.028
"P28","Ni buena ni mala",0.199,0.219,0.477,0.24,0.054,0.068,0.116
"P28","Mala",0.086,0.148,0.148,0.396,0.103,0.024,0.03
"P28","Muy mala",0.102,0.16,0.064,0.154,0.573,0.077,0.011
"P28","No lo conozco",0.177,0.218,0.222,0.103,0.141,0.709,0.241
"P28","No sabe",0.078,0.011,0.024,0.009,0,0.058,0.558
