"var","categoria","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad","No sabe"
"P18","No sabe",0.04,0.021,0.04,0.012,0.052,0,0.142
"P19","Muy buena",0.064,0.135,0.443,0.12,0.036,0.147,0.052
"P19","Buena",0.088,0.173,0.205,0.063,0.03,0.101,0.079
"P19","Ni buena ni mala",0.344,0.352,0.164,0.288,0.217,0.169,0.31
"P19","Mala",0.236,0.151,0.037,0.299,0.252,0.079,0.112
"P19","Muy mala",0.165,0.124,0.081,0.193,0.307,0.427,0.187
"P19","No lo conozco",0.095,0.052,0.028,0.021,0.131,0.077,0.148
"P19","No sabe",0.008,0.013,0.042,0.016,0.027,0,0.112
"P20","Muy buena",0.023,0.081,0.122,0.31,0.039,0.011,0.019
"P20","Buena",0.078,0.142,0.09,0.252,0.091,0.058,0.029
"P20","Ni buena ni mala",0.339,0.362,0.339,0.232,0.322,0.169,0.304
"P20","Mala",0.207,0.133,0.07,0.106,0.2,0.116,0.122
"P20","Muy mala",0.12,0.116,0.148,0.028,0.146,0.432,0.117
"P20","No lo conozco",0.195,0.138,0.17,0.072,0.164,0.18,0.255
"P20","No sabe",0.038,0.028,0.061,0,0.038,0.034,0.154
"P21","Muy buena",0.052,0.07,0.058,0.077,0.302,0.01,0.003
"P21","Buena",0.05,0.122,0.064,0.185,0.196,0.077,0.061
"P21","Ni buena ni mala",0.29,0.268,0.308,0.315,0.2,0.063,0.266
"P21","Mala",0.238,0.203,0.115,0.154,0.117,0.071,0.097
"P21","Muy mala",0.174,0.198,0.229,0.167,0.065,0.544,0.153
"P21","No lo conozco",0.189,0.119,0.171,0.089,0.076,0.201,0.26
"P21","No sabe",0.007,0.02,0.055,0.013,0.044,0.034,0.16
"P22","Muy buena",0.023,0.053,0.043,0.058,0.052,0.26,0.016
"P22","Buena",0.029,0.084,0.082,0.188,0.029,0.2,0.024
"P22","Ni buena ni mala",0.328,0.3,0.357,0.346,0.313,0.149,0.26
"P22","Mala",0.23,0.22,0.095,0.179,0.255,0.013,0.09
"P22","Muy mala",0.149,0.154,0.173,0.121,0.177,0.186,0.122
"P22","No lo conozco",0.229,0.169,0.168,0.095,0.15,0.171,0.336
"P22","No sabe",0.012,0.02,0.082,0.013,0.024,0.021,0.152
"P23","Muy buena",0.347,0.086,0.051,0.131,0.084,0,0.02
"P23","Buena",0.184,0.091,0.131,0.159,0.14,0.068,0.066
"P23","Ni buena ni mala",0.234,0.3,0.317,0.377,0.21,0.155,0.208
"P23","Mala",0.111,0.216,0.119,0.156,0.184,0.139,0.164
"P23","Muy mala",0.052,0.203,0.193,0.132,0.182,0.499,0.142
"P23","No lo conozco",0.055,0.087,0.142,0.045,0.16,0,0.279
"P23","No sabe",0.017,0.017,0.047,0,0.04,0.139,0.121
"P24","Muy buena",0.072,0.234,0.003,0.058,0.054,0.039,0.007
"P24","Buena",0.068,0.166,0.072,0.08,0.133,0.049,0.014
"P24","Ni buena ni mala",0.321,0.256,0.368,0.348,0.205,0.07,0.207
"P24","Mala",0.177,0.1,0.051,0.137,0.161,0.07,0.15
"P24","Muy mala",0.128,0.067,0.159,0.097,0.177,0.509,0.086
"P24","No lo conozco",0.216,0.142,0.307,0.276,0.226,0.118,0.414
"P24","No sabe",0.018,0.035,0.04,0.004,0.044,0.145,0.122
"P25","Muy buena",0.041,0.07,0.158,0.075,0.003,0.022,0
"P25","Buena",0.071,0.068,0.174,0.097,0.033,0.066,0.027
"P25","Ni buena ni mala",0.295,0.352,0.271,0.281,0.349,0.092,0.185
"P25","Mala",0.178,0.122,0.083,0.146,0.167,0.094,0.126
"P25","Muy mala",0.106,0.106,0.095,0.094,0.16,0.497,0.068
"P25","No lo conozco",0.299,0.26,0.165,0.246,0.22,0.229,0.445
"P25","No sabe",0.01,0.022,0.054,0.061,0.068,0,0.149
"P26","Muy buena",0.001,0.04,0.036,0.123,0.05,0.01,0.004
"P26","Buena",0.066,0.083,0.051,0.212,0.051,0.05,0.006
"P26","Ni buena ni mala",0.309,0.322,0.347,0.331,0.32,0.097,0.272
"P26","Mala",0.16,0.149,0.045,0.119,0.229,0.049,0.067
"P26","Muy mala",0.118,0.136,0.192,0.043,0.081,0.539,0.075
"P26","No lo conozco",0.318,0.244,0.275,0.172,0.166,0.242,0.411
"P26","No sabe",0.028,0.026,0.054,0,0.103,0.013,0.165
"P27","Muy buena",0.018,0.059,0.049,0.081,0.012,0.022,0
"P27","Buena",0.029,0.046,0.033,0.082,0.055,0.05,0
"P27","Ni buena ni mala",0.282,0.28,0.295,0.301,0.283,0.15,0.198
"P27","Mala",0.14,0.131,0.076,0.203,0.108,0.03,0.095
"P27","Muy mala",0.091,0.094,0.066,0.082,0.161,0.419,0.075
"P27","No lo conozco",0.413,0.356,0.415,0.251,0.309,0.329,0.424
"P27","No sabe",0.027,0.034,0.066,0,0.072,0,0.208
"P28","Muy buena",0.025,0.045,0.018,0.122,0.042,0.254,0
"P28","Buena",0.04,0.108,0.157,0.053,0.025,0.102,0.039
"P28","Ni buena ni mala",0.289,0.262,0.325,0.227,0.26,0.081,0.166
"P28","Mala",0.203,0.15,0.074,0.127,0.191,0.087,0.105
"P28","Muy mala",0.108,0.172,0.113,0.196,0.201,0.225,0.173
"P28","No lo conozco",0.311,0.223,0.258,0.271,0.216,0.217,0.352
"P28","No sabe",0.024,0.04,0.055,0.004,0.065,0.034,0.165
