"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.06,0.09,0.128,0.082,0.011
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.059,0.082,0.178,0.111,0.036
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.026,0.005,0.042,0.027,0
"P10","No sabe",0.069,0.09,0.083,0.247,0.403
"P11","Lo votaría",0.218,0.333,0.322,0.359,0.32
"P11","Puede que lo vote",0.134,0.183,0.112,0.098,0.058
"P11","Nunca lo votaría",0.455,0.367,0.49,0.296,0.161
"P11","No sabe",0.193,0.117,0.076,0.247,0.461
"P12","Lo votaría",0.406,0.364,0.263,0.213,0.11
"P12","Puede que lo vote",0.157,0.174,0.107,0.112,0.169
"P12","Nunca lo votaría",0.262,0.359,0.566,0.42,0.094
"P12","No sabe",0.175,0.103,0.064,0.255,0.627
"P13","Lo votaría",0.496,0.056,0.044,0.136,0.197
"P13","Puede que lo vote",0.268,0.166,0.027,0.094,0.058
"P13","Nunca lo votaría",0.142,0.644,0.894,0.355,0.01
"P13","No sabe",0.094,0.134,0.035,0.415,0.735
"P14","Lo votaría",0.146,0.068,0.101,0.071,0
"P14","Puede que lo vote",0.215,0.162,0.117,0.14,0.056
"P14","Nunca lo votaría",0.493,0.603,0.693,0.37,0.263
"P14","No sabe",0.146,0.167,0.089,0.419,0.681
"P15","Lo votaría",0.152,0.085,0.174,0.138,0.021
"P15","Puede que lo vote",0.169,0.16,0.112,0.14,0
"P15","Nunca lo votaría",0.511,0.581,0.627,0.334,0.274
"P15","No sabe",0.168,0.174,0.087,0.388,0.705
"P16","Lo votaría",0.144,0.033,0.057,0.115,0
"P16","Puede que lo vote",0.161,0.094,0.089,0.065,0
"P16","Nunca lo votaría",0.515,0.678,0.761,0.404,0.201
"P16","No sabe",0.18,0.195,0.093,0.416,0.799
"P17","Positiva",0.383,0.328,0.309,0.288,0.281
"P17","Neutra",0.267,0.422,0.226,0.099,0.066
"P17","Negativa",0.26,0.154,0.401,0.153,0.039
"P17","No lo conozco",0.083,0.081,0.063,0.46,0.119
"P17","No sabe",0.007,0.015,0.001,0,0.495
"P18","Positiva",0.589,0.421,0.285,0.163,0.246
"P18","Neutra",0.195,0.396,0.184,0.086,0.032
"P18","Negativa",0.152,0.141,0.509,0.153,0.011
"P18","No lo conozco",0.045,0.028,0.02,0.468,0
"P18","No sabe",0.019,0.014,0.002,0.13,0.711
"P20","Positiva",0.334,0.129,0.154,0.09,0
"P20","Neutra",0.302,0.583,0.213,0.044,0.059
"P20","Negativa",0.144,0.16,0.533,0.077,0
"P20","No lo conozco",0.192,0.113,0.09,0.691,0.046
"P20","No sabe",0.028,0.015,0.01,0.098,0.895
"P21","Positiva",0.286,0.117,0.198,0.155,0.021
"P21","Neutra",0.218,0.509,0.166,0.06,0.022
"P21","Negativa",0.278,0.244,0.561,0.151,0.15
"P21","No lo conozco",0.198,0.111,0.063,0.594,0.068
"P21","No sabe",0.02,0.019,0.012,0.04,0.739
"P22","Positiva",0.236,0.085,0.065,0.094,0.014
"P22","Neutra",0.298,0.543,0.19,0.069,0.099
"P22","Negativa",0.213,0.2,0.642,0.073,0.048
"P22","No lo conozco",0.223,0.155,0.095,0.721,0.078
"P22","No sabe",0.03,0.017,0.008,0.043,0.761
"P23","Positiva",0.318,0.27,0.232,0.276,0.13
"P23","Neutra",0.251,0.445,0.179,0.1,0.047
"P23","Negativa",0.247,0.223,0.522,0.133,0.075
"P23","No lo conozco",0.159,0.055,0.064,0.368,0.106
"P23","No sabe",0.025,0.007,0.003,0.123,0.642
"P24","Positiva",0.309,0.217,0.131,0.117,0
"P24","Neutra",0.262,0.461,0.175,0.09,0.172
"P24","Negativa",0.136,0.147,0.485,0.083,0.013
"P24","No lo conozco",0.254,0.164,0.201,0.614,0.078
"P24","No sabe",0.039,0.011,0.008,0.096,0.737
"P25","Positiva",0.355,0.09,0.028,0.077,0
"P25","Neutra",0.26,0.49,0.223,0.071,0.029
"P25","Negativa",0.135,0.124,0.517,0.088,0
"P25","No lo conozco",0.238,0.259,0.223,0.696,0.086
"P25","No sabe",0.012,0.037,0.009,0.068,0.885
"P26","Positiva",0.197,0.051,0.081,0.132,0
"P26","Neutra",0.307,0.497,0.235,0.04,0.013
"P26","Negativa",0.159,0.207,0.465,0.034,0
"P26","No lo conozco",0.313,0.216,0.193,0.709,0.113
"P26","No sabe",0.024,0.029,0.026,0.085,0.874
"P27","Positiva",0.197,0.04,0.023,0.056,0
"P27","Neutra",0.227,0.451,0.213,0.063,0.013
"P27","Negativa",0.121,0.135,0.453,0.007,0
"P27","No lo conozco",0.437,0.333,0.284,0.769,0.112
"P27","No sabe",0.018,0.041,0.027,0.105,0.875
"P28","Positiva",0.248,0.076,0.062,0.154,0
"P28","Neutra",0.268,0.425,0.163,0.02,0.163
"P28","Negativa",0.142,0.225,0.573,0.034,0.059
"P28","No lo conozco",0.3,0.252,0.188,0.661,0.013
"P28","No sabe",0.042,0.022,0.014,0.131,0.765
