"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P11","En blanco",0.008,0.004,0.049,0.01
"P11","No sabe",0.049,0.022,0.055,0.203
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.707,0.036,0.093,0.106
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.025,0.4,0.021,0.046
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.029,0.199,0.105,0.088
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.028,0.036,0.029,0.068
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.003,0.024,0.036,0.034
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.08,0.27,0.499,0.324
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.037,0.007,0.092,0.034
"P12","En blanco",0.017,0.007,0.075,0.064
"P12","No sabe",0.074,0.021,0.05,0.236
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.516,0.093,0.19,0.137
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.209,0.309,0.04,0.054
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.058,0.191,0.076,0.107
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.063,0.133,0.034,0.069
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.014,0.037,0.035,0.058
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.026,0.202,0.376,0.207
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.046,0.006,0.087,0.028
"P16","En blanco",0.011,0.009,0.087,0.07
"P16","No sabe",0.057,0.02,0.075,0.27
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.83,0.013,0.144,0.179
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.008,0.475,0.023,0.037
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.029,0.155,0.051,0.103
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.022,0.31,0.547,0.369
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.043,0.009,0.081,0.026
"P17","En blanco",0.01,0.011,0.09,0.028
"P17","No sabe",0.058,0.027,0.064,0.258
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.06,0.264,0.523,0.346
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.764,0.037,0.136,0.125
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.016,0.483,0.03,0.057
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.039,0.171,0.058,0.099
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.03,0.009,0.052,0.032
"P18","En blanco",0.019,0.012,0.106,0.066
"P18","No sabe",0.072,0.024,0.095,0.275
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.75,0.019,0.111,0.107
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.043,0.475,0.042,0.07
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.035,0.189,0.05,0.091
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.032,0.271,0.567,0.352
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.047,0.008,0.059,0.027
"P19","En blanco",0.021,0.008,0.106,0.055
"P19","No sabe",0.072,0.03,0.065,0.298
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.836,0.018,0.125,0.135
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.015,0.594,0.027,0.058
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.027,0.326,0.599,0.357
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.049,0.01,0.073,0.039
"P20","En blanco",0.014,0.011,0.103,0.029
"P20","No sabe",0.059,0.041,0.073,0.382
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.703,0.071,0.083,0.078
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.093,0.536,0.104,0.098
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.097,0.33,0.482,0.333
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.046,0.012,0.079,0.033
"P23","En blanco",0.009,0.012,0.167,0.03
"P23","No sabe",0.052,0.039,0.085,0.428
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.8,0.032,0.148,0.169
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.043,0.407,0.077,0.12
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.045,0.404,0.535,0.354
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.04,0.012,0.09,0.023
"P24","En blanco",0.013,0.048,0.088,0.045
"P24","No sabe",0.059,0.097,0.062,0.289
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.7,0.08,0.124,0.102
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.097,0.409,0.103,0.163
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.104,0.363,0.484,0.332
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.037,0.008,0.1,0.047
"P27","En blanco",0.014,0.059,0.118,0.047
"P27","No sabe",0.048,0.081,0.071,0.309
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.745,0.029,0.12,0.124
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.035,0.61,0.04,0.082
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.053,0.295,0.556,0.327
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.043,0.008,0.085,0.044
"P28","En blanco",0.04,0.016,0.144,0.055
"P28","No sabe",0.084,0.042,0.055,0.368
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.664,0.072,0.181,0.167
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.17,0.36,0.075,0.123
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.018,0.447,0.48,0.309
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.035,0.011,0.097,0.023
"P29","En blanco",0.029,0.038,0.109,0.049
"P29","No sabe",0.084,0.072,0.058,0.329
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.772,0.049,0.129,0.185
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.049,0.571,0.026,0.064
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.06,0.315,0.581,0.343
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.035,0.013,0.099,0.073
"P30","En blanco",0.027,0.022,0.121,0.032
"P30","No sabe",0.057,0.03,0.044,0.303
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.737,0.091,0.149,0.182
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.09,0.392,0.102,0.165
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.08,0.392,0.522,0.323
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.027,0.009,0.091,0.054
"P33","En blanco",0.017,0.049,0.106,0.021
"P33","No sabe",0.049,0.067,0.03,0.255
"P34","Sergio Massa por el Frente de Todos",0.87,0.011,0.171,0.156
"P34","Patricia Bullrich por Juntos por el Cambio",0.027,0.924,0.038,0.061
"P34","En blanco",0.052,0.035,0.643,0.09
"P34","No sabe",0.051,0.03,0.148,0.693
"P35","Sergio Massa por el Frente de Todos",0.883,0.016,0.136,0.173
"P35","Javier Milei por la Libertad Avanza",0.033,0.715,0.484,0.272
"P35","En blanco",0.041,0.129,0.343,0.068
"P35","No sabe",0.043,0.14,0.037,0.487
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.228,0.396,0.09,0.136
"P36","Javier Milei por la Libertad Avanza",0.056,0.478,0.564,0.377
"P36","En blanco",0.505,0.06,0.313,0.085
"P36","No sabe",0.211,0.066,0.033,0.402
"P37","Javier Milei por la Libertad Avanza",0.095,0.295,0.508,0.293
"P37","Patricia Bullrich por Juntos por el Cambio",0.06,0.659,0.121,0.179
"P37","En blanco",0.648,0.02,0.347,0.125
"P37","No sabe",0.197,0.026,0.024,0.403
"P38","Sergio Massa por el Frente de Todos",0.798,0.059,0.184,0.219
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.039,0.653,0.109,0.115
"P38","En blanco",0.106,0.188,0.678,0.065
"P38","No sabe",0.057,0.1,0.029,0.601
"P39","Agustín Rossi por el Frente de Todos",0.857,0.018,0.108,0.112
"P39","Patricia Bullrich por Juntos por el Cambio",0.026,0.89,0.037,0.059
"P39","En blanco",0.068,0.051,0.799,0.039
"P39","No sabe",0.049,0.041,0.056,0.79
"P41","Lo votaría",0.487,0.194,0.09,0.079
"P41","Puede que lo vote",0.397,0.071,0.062,0.034
"P41","Nunca lo votaría",0.068,0.715,0.784,0.464
"P41","No sabe",0.048,0.02,0.064,0.423
"P42","Lo votaría",0.075,0.607,0.046,0.053
"P42","Puede que lo vote",0.059,0.282,0.104,0.145
"P42","Nunca lo votaría",0.842,0.097,0.793,0.617
"P42","No sabe",0.024,0.014,0.057,0.185
"P43","Lo votaría",0.042,0.42,0.47,0.28
"P43","Puede que lo vote",0.032,0.338,0.065,0.04
"P43","Nunca lo votaría",0.906,0.212,0.452,0.512
"P43","No sabe",0.02,0.03,0.013,0.168
"P44","Lo votaría",0.036,0.34,0.094,0.142
"P44","Puede que lo vote",0.096,0.324,0.103,0.117
"P44","Nunca lo votaría",0.835,0.299,0.79,0.535
"P44","No sabe",0.033,0.037,0.013,0.206
"P45","Lo votaría",0.485,0.07,0.042,0.056
"P45","Puede que lo vote",0.288,0.099,0.081,0.119
"P45","Nunca lo votaría",0.196,0.81,0.831,0.599
"P45","No sabe",0.031,0.021,0.046,0.226
"P46","Lo votaría",0.527,0.019,0.058,0.05
"P46","Puede que lo vote",0.342,0.015,0.069,0.161
"P46","Nunca lo votaría",0.085,0.936,0.835,0.601
"P46","No sabe",0.046,0.03,0.038,0.188
"P47","Lo votaría",0.139,0.098,0.075,0.052
"P47","Puede que lo vote",0.27,0.25,0.121,0.216
"P47","Nunca lo votaría",0.497,0.589,0.739,0.53
"P47","No sabe",0.094,0.063,0.065,0.202
"P48","Lo votaría",0.73,0.027,0.153,0.212
"P48","Puede que lo vote",0.153,0.038,0.085,0.135
"P48","Nunca lo votaría",0.097,0.916,0.717,0.538
"P48","No sabe",0.02,0.019,0.045,0.115
"P49","Si",0.652,0.573,0.529,0.553
"P49","No",0.348,0.427,0.471,0.447
