"var","categoria","Horacio Rodriguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","En blanco","No sabe"
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.606,0.096,0.062,0.074
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.058,0.778,0.039,0.049
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.007,0.081,0.029
"P24","En blanco",0.016,0.027,0.096,0.038
"P24","No sabe",0.074,0.032,0.072,0.34
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.217,0.111,0.542,0.426
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.601,0.125,0.103,0.101
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.081,0.703,0.071,0.083
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.008,0.085,0.034
"P27","En blanco",0.016,0.028,0.131,0.046
"P27","No sabe",0.07,0.025,0.068,0.31
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.218,0.033,0.621,0.41
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.59,0.289,0.096,0.203
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.048,0.646,0.035,0.052
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.007,0.08,0.037
"P28","En blanco",0.04,0.008,0.096,0.032
"P28","No sabe",0.086,0.017,0.072,0.266
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.169,0.159,0.537,0.381
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.587,0.068,0.164,0.122
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.128,0.724,0.031,0.088
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.011,0.074,0.032
"P29","En blanco",0.024,0.013,0.117,0.045
"P29","No sabe",0.077,0.025,0.077,0.332
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.234,0.068,0.633,0.439
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.562,0.256,0.12,0.218
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.09,0.646,0.045,0.047
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.011,0.074,0.052
"P30","En blanco",0.031,0.007,0.086,0.034
"P30","No sabe",0.061,0.012,0.042,0.21
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.256,0.099,0.605,0.45
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.57,0.129,0.08,0.128
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.079,0.73,0.088,0.067
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.005,0.063,0.042
"P33","En blanco",0.024,0.013,0.122,0.032
"P33","No sabe",0.053,0.024,0.042,0.281
"P34","Sergio Massa por el Frente de Todos",0.255,0.053,0.678,0.477
"P34","Patricia Bullrich por Juntos por el Cambio",0.67,0.628,0.131,0.219
"P34","En blanco",0.039,0.195,0.143,0.043
"P34","No sabe",0.036,0.124,0.048,0.261
"P35","Sergio Massa por el Frente de Todos",0.277,0.042,0.685,0.475
"P35","Javier Milei por la Libertad Avanza",0.382,0.869,0.057,0.108
"P35","En blanco",0.163,0.05,0.226,0.042
"P35","No sabe",0.178,0.039,0.032,0.375
"P37","Javier Milei por la Libertad Avanza",0.241,0.523,0.02,0.019
"P37","Patricia Bullrich por Juntos por el Cambio",0.564,0.462,0.1,0.186
"P37","En blanco",0.145,0.006,0.861,0.151
"P37","No sabe",0.05,0.009,0.019,0.644
"P38","Sergio Massa por el Frente de Todos",0.219,0.121,0.653,0.451
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.707,0.352,0.069,0.105
"P38","En blanco",0.047,0.371,0.264,0.069
"P38","No sabe",0.027,0.156,0.014,0.375
"P39","Agustín Rossi por el Frente de Todos",0.219,0.058,0.679,0.443
"P39","Patricia Bullrich por Juntos por el Cambio",0.686,0.602,0.105,0.198
"P39","En blanco",0.054,0.228,0.19,0.039
"P39","No sabe",0.041,0.112,0.026,0.32
"P40","Daniel Scioli por el Frente de Todos",0.247,0.05,0.683,0.503
"P40","Patricia Bullrich por Juntos por el Cambio",0.682,0.68,0.13,0.248
"P40","En blanco",0.037,0.193,0.161,0.03
"P40","No sabe",0.034,0.077,0.026,0.219
"P41","Lo votaría",0.24,0.163,0.407,0.342
"P41","Puede que lo vote",0.172,0.075,0.296,0.193
"P41","Nunca lo votaría",0.551,0.709,0.242,0.308
"P41","No sabe",0.037,0.053,0.055,0.157
"P42","Lo votaría",0.529,0.352,0.121,0.241
"P42","Puede que lo vote",0.187,0.319,0.036,0.06
"P42","Nunca lo votaría",0.261,0.297,0.818,0.619
"P42","No sabe",0.023,0.032,0.025,0.08
"P43","Lo votaría",0.149,0.669,0.042,0.083
"P43","Puede que lo vote",0.281,0.241,0.053,0.089
"P43","Nunca lo votaría",0.529,0.076,0.896,0.705
"P43","No sabe",0.041,0.014,0.009,0.123
"P44","Lo votaría",0.491,0.136,0.026,0.048
"P44","Puede que lo vote",0.298,0.24,0.085,0.172
"P44","Nunca lo votaría",0.184,0.579,0.869,0.653
"P44","No sabe",0.027,0.045,0.02,0.127
"P45","Lo votaría",0.18,0.045,0.376,0.313
"P45","Puede que lo vote",0.193,0.086,0.205,0.179
"P45","Nunca lo votaría",0.603,0.836,0.385,0.389
"P45","No sabe",0.024,0.033,0.034,0.119
"P46","Lo votaría",0.131,0.036,0.419,0.283
"P46","Puede que lo vote",0.123,0.026,0.264,0.221
"P46","Nunca lo votaría",0.713,0.896,0.285,0.376
"P46","No sabe",0.033,0.042,0.032,0.12
"P47","Lo votaría",0.154,0.061,0.111,0.102
"P47","Puede que lo vote",0.309,0.197,0.225,0.223
"P47","Nunca lo votaría",0.462,0.679,0.597,0.497
"P47","No sabe",0.075,0.063,0.067,0.178
"P48","Lo votaría",0.194,0.038,0.627,0.458
"P48","Puede que lo vote",0.08,0.065,0.104,0.128
"P48","Nunca lo votaría",0.706,0.868,0.246,0.351
"P48","No sabe",0.02,0.029,0.023,0.063
"P49","Si",0.594,0.568,0.627,0.583
"P49","No",0.406,0.432,0.373,0.417
