"var","categoria","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P41","Puede que lo vote",0.361,0.068,0.091,0.238,0.185,0.142
"P41","Nunca lo votaría",0.099,0.712,0.706,0.439,0.508,0.411
"P41","No sabe",0.049,0.028,0.068,0.164,0.072,0.185
"P42","Lo votaría",0.084,0.736,0.207,0.09,0.147,0.155
"P42","Puede que lo vote",0.045,0.161,0.392,0.043,0.105,0.154
"P42","Nunca lo votaría",0.84,0.09,0.357,0.836,0.69,0.603
"P42","No sabe",0.031,0.013,0.044,0.031,0.058,0.088
"P43","Lo votaría",0.048,0.279,0.74,0.013,0.078,0.041
"P43","Puede que lo vote",0.034,0.397,0.132,0.085,0.092,0.142
"P43","Nunca lo votaría",0.886,0.281,0.12,0.852,0.789,0.727
"P43","No sabe",0.032,0.043,0.008,0.05,0.041,0.09
"P44","Lo votaría",0.04,0.416,0.138,0.034,0.163,0.164
"P44","Puede que lo vote",0.083,0.352,0.186,0.149,0.199,0.198
"P44","Nunca lo votaría",0.837,0.207,0.629,0.752,0.6,0.505
"P44","No sabe",0.04,0.025,0.047,0.065,0.038,0.133
"P45","Lo votaría",0.466,0.094,0.045,0.15,0.158,0.198
"P45","Puede que lo vote",0.265,0.094,0.092,0.268,0.177,0.196
"P45","Nunca lo votaría",0.236,0.792,0.825,0.48,0.651,0.446
"P45","No sabe",0.033,0.02,0.038,0.102,0.014,0.16
"P46","Lo votaría",0.564,0.039,0.036,0.151,0.025,0.054
"P46","Puede que lo vote",0.298,0.022,0.031,0.307,0.242,0.23
"P46","Nunca lo votaría",0.108,0.912,0.887,0.451,0.689,0.539
"P46","No sabe",0.03,0.027,0.046,0.091,0.044,0.177
"P47","Lo votaría",0.135,0.12,0.057,0.144,0.121,0.066
"P47","Puede que lo vote",0.254,0.289,0.163,0.342,0.188,0.212
"P47","Nunca lo votaría",0.521,0.534,0.704,0.464,0.631,0.516
"P47","No sabe",0.09,0.057,0.076,0.05,0.06,0.206
"P48","Lo votaría",0.769,0.046,0.05,0.326,0.19,0.247
"P48","Puede que lo vote",0.088,0.043,0.07,0.239,0.151,0.213
"P48","Nunca lo votaría",0.128,0.894,0.843,0.354,0.628,0.457
"P48","No sabe",0.015,0.017,0.037,0.081,0.031,0.083
"P49","Si",0.673,0.56,0.547,0.631,0.565,0.569
"P49","No",0.327,0.44,0.453,0.369,0.435,0.431
