"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.032,0.016,0.084,0.096
"P11","En blanco",0.002,0.002,0.068,0.011
"P11","No sabe",0.029,0.023,0.046,0.211
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.697,0.035,0.103,0.147
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.023,0.423,0.018,0.025
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.04,0.205,0.089,0.096
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.03,0.033,0.048,0.05
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.008,0.024,0.033,0.018
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.083,0.247,0.514,0.371
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.008,0.068,0.063
"P12","En blanco",0.021,0.006,0.095,0.021
"P12","No sabe",0.07,0.019,0.032,0.209
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.506,0.097,0.192,0.196
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.197,0.327,0.038,0.042
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.066,0.197,0.066,0.099
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.059,0.133,0.055,0.072
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.019,0.032,0.041,0.041
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.033,0.184,0.385,0.242
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.006,0.078,0.069
"P16","En blanco",0.018,0.007,0.096,0.02
"P16","No sabe",0.068,0.017,0.049,0.219
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.842,0.019,0.103,0.125
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.005,0.498,0.018,0.026
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.033,0.158,0.067,0.087
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.04,0.287,0.567,0.412
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.032,0.006,0.086,0.073
"P17","En blanco",0.01,0.008,0.1,0.016
"P17","No sabe",0.038,0.024,0.059,0.261
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.072,0.242,0.513,0.41
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.776,0.042,0.076,0.117
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.012,0.503,0.037,0.047
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.042,0.172,0.077,0.103
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.007,0.08,0.047
"P18","En blanco",0.015,0.011,0.141,0.021
"P18","No sabe",0.063,0.023,0.076,0.255
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.782,0.02,0.048,0.06
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.044,0.489,0.038,0.079
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.036,0.195,0.056,0.079
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.048,0.252,0.551,0.407
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.031,0.006,0.092,0.053
"P19","En blanco",0.01,0.008,0.144,0.029
"P19","No sabe",0.049,0.03,0.071,0.293
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.875,0.021,0.058,0.067
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.016,0.62,0.037,0.05
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.041,0.305,0.569,0.432
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.008,0.111,0.066
"P20","En blanco",0.006,0.01,0.135,0.012
"P20","No sabe",0.034,0.036,0.09,0.373
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.673,0.079,0.12,0.122
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.101,0.564,0.062,0.088
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.108,0.306,0.498,0.385
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.007,0.092,0.078
"P23","En blanco",0.02,0.011,0.148,0.007
"P23","No sabe",0.064,0.033,0.08,0.32
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.84,0.042,0.053,0.089
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.04,0.423,0.087,0.112
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.052,0.378,0.568,0.428
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.009,0.102,0.071
"P24","En blanco",0.009,0.049,0.122,0.019
"P24","No sabe",0.037,0.099,0.068,0.281
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.685,0.086,0.11,0.15
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.099,0.421,0.106,0.13
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.114,0.342,0.5,0.387
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.007,0.119,0.07
"P27","En blanco",0.02,0.062,0.122,0.024
"P27","No sabe",0.059,0.082,0.043,0.239
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.746,0.033,0.086,0.134
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.022,0.637,0.045,0.092
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.074,0.267,0.554,0.392
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.005,0.096,0.068
"P28","En blanco",0.038,0.015,0.16,0.025
"P28","No sabe",0.086,0.043,0.059,0.289
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.661,0.066,0.184,0.181
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.166,0.381,0.061,0.11
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.033,0.431,0.487,0.361
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.029,0.01,0.088,0.07
"P29","En blanco",0.026,0.041,0.116,0.039
"P29","No sabe",0.085,0.071,0.064,0.239
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.79,0.05,0.105,0.126
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.042,0.595,0.057,0.077
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.075,0.296,0.544,0.395
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.011,0.118,0.078
"P30","En blanco",0.029,0.021,0.133,0.014
"P30","No sabe",0.041,0.027,0.043,0.31
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.76,0.09,0.108,0.157
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.083,0.408,0.105,0.15
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.09,0.379,0.523,0.365
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.007,0.108,0.065
"P33","En blanco",0.019,0.051,0.111,0.014
"P33","No sabe",0.031,0.065,0.045,0.249
"P35","Sergio Massa por el Frente de Todos",0.963,0.013,0.042,0.035
"P35","Javier Milei por la Libertad Avanza",0.025,0.731,0.462,0.348
"P35","En blanco",0.006,0.127,0.463,0.057
"P35","No sabe",0.006,0.129,0.033,0.56
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.236,0.41,0.096,0.104
"P36","Javier Milei por la Libertad Avanza",0.06,0.464,0.577,0.433
"P36","En blanco",0.497,0.063,0.277,0.11
"P36","No sabe",0.207,0.063,0.05,0.353
"P37","Javier Milei por la Libertad Avanza",0.099,0.286,0.517,0.321
"P37","Patricia Bullrich por Juntos por el Cambio",0.066,0.669,0.124,0.199
"P37","En blanco",0.638,0.022,0.323,0.152
"P37","No sabe",0.197,0.023,0.036,0.328
"P38","Sergio Massa por el Frente de Todos",0.851,0.062,0.092,0.117
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.027,0.66,0.183,0.142
"P38","En blanco",0.084,0.18,0.696,0.2
"P38","No sabe",0.038,0.098,0.029,0.541
"P39","Agustín Rossi por el Frente de Todos",0.843,0.028,0.115,0.11
"P39","Patricia Bullrich por Juntos por el Cambio",0.024,0.885,0.147,0.13
"P39","En blanco",0.086,0.048,0.661,0.18
"P39","No sabe",0.047,0.039,0.077,0.58
"P40","Daniel Scioli por el Frente de Todos",0.88,0.018,0.139,0.161
"P40","Patricia Bullrich por Juntos por el Cambio",0.018,0.964,0.148,0.155
"P40","En blanco",0.066,0.009,0.658,0.18
"P40","No sabe",0.036,0.009,0.055,0.504
"P41","Lo votaría",0.522,0.2,0.025,0.054
"P41","Puede que lo vote",0.387,0.068,0.06,0.106
"P41","Nunca lo votaría",0.038,0.71,0.831,0.573
"P41","No sabe",0.053,0.022,0.084,0.267
"P42","Lo votaría",0.073,0.625,0.053,0.076
"P42","Puede que lo vote",0.057,0.268,0.153,0.187
"P42","Nunca lo votaría",0.845,0.1,0.736,0.572
"P42","No sabe",0.025,0.007,0.058,0.165
"P43","Lo votaría",0.036,0.407,0.478,0.376
"P43","Puede que lo vote",0.034,0.346,0.062,0.059
"P43","Nunca lo votaría",0.908,0.214,0.44,0.464
"P43","No sabe",0.022,0.033,0.02,0.101
"P44","Lo votaría",0.04,0.343,0.126,0.107
"P44","Puede que lo vote",0.089,0.329,0.119,0.14
"P44","Nunca lo votaría",0.835,0.298,0.707,0.611
"P44","No sabe",0.036,0.03,0.048,0.142
"P45","Lo votaría",0.46,0.075,0.056,0.115
"P45","Puede que lo vote",0.266,0.103,0.084,0.165
"P45","Nunca lo votaría",0.245,0.808,0.77,0.564
"P45","No sabe",0.029,0.014,0.09,0.156
"P46","Lo votaría",0.516,0.023,0.056,0.086
"P46","Puede que lo vote",0.328,0.019,0.089,0.139
"P46","Nunca lo votaría",0.112,0.928,0.791,0.654
"P46","No sabe",0.044,0.03,0.064,0.121
"P47","Lo votaría",0.132,0.095,0.096,0.075
"P47","Puede que lo vote",0.273,0.254,0.149,0.163
"P47","Nunca lo votaría",0.501,0.59,0.696,0.582
"P47","No sabe",0.094,0.061,0.059,0.18
"P48","Lo votaría",0.735,0.031,0.126,0.191
"P48","Puede que lo vote",0.144,0.045,0.094,0.096
"P48","Nunca lo votaría",0.097,0.907,0.746,0.611
"P48","No sabe",0.024,0.017,0.034,0.102
"P49","Si",0.651,0.579,0.514,0.554
"P49","No",0.349,0.421,0.486,0.446
