"var","categoria","Sergio Massa por el Frente de Todos","Javier Milei por la Libertad Avanza","En blanco","No sabe"
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.866,0.024,0.056,0.053
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.026,0.43,0.428,0.447
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.025,0.516,0.167,0.109
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.007,0.093,0.052
"P20","En blanco",0.006,0.008,0.139,0.012
"P20","No sabe",0.043,0.015,0.117,0.327
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.663,0.086,0.104,0.114
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.113,0.378,0.441,0.465
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.097,0.5,0.127,0.086
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.039,0.009,0.087,0.041
"P23","En blanco",0.015,0.012,0.148,0.013
"P23","No sabe",0.073,0.015,0.093,0.281
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.827,0.041,0.07,0.082
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.05,0.284,0.384,0.369
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.036,0.588,0.161,0.116
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.03,0.008,0.101,0.04
"P24","En blanco",0.008,0.031,0.164,0.044
"P24","No sabe",0.049,0.048,0.12,0.349
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.676,0.096,0.11,0.108
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.108,0.266,0.424,0.415
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.099,0.548,0.103,0.087
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.009,0.107,0.042
"P27","En blanco",0.019,0.041,0.182,0.046
"P27","No sabe",0.07,0.04,0.074,0.302
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.741,0.033,0.102,0.089
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.031,0.45,0.431,0.484
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.06,0.475,0.131,0.087
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.04,0.004,0.097,0.034
"P28","En blanco",0.037,0.012,0.164,0.031
"P28","No sabe",0.091,0.026,0.075,0.275
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.654,0.08,0.163,0.131
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.176,0.207,0.415,0.411
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.018,0.653,0.062,0.064
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.032,0.009,0.088,0.039
"P29","En blanco",0.032,0.017,0.192,0.03
"P29","No sabe",0.088,0.034,0.08,0.325
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.783,0.051,0.106,0.112
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.051,0.417,0.429,0.446
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.061,0.494,0.15,0.107
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.029,0.01,0.113,0.051
"P30","En blanco",0.029,0.014,0.144,0.029
"P30","No sabe",0.047,0.014,0.058,0.255
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.749,0.105,0.101,0.103
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.094,0.251,0.406,0.444
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.079,0.577,0.141,0.081
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.007,0.09,0.048
"P33","En blanco",0.02,0.028,0.194,0.022
"P33","No sabe",0.036,0.032,0.068,0.302
"P34","Sergio Massa por el Frente de Todos",0.954,0.018,0.014,0.016
"P34","Patricia Bullrich por Juntos por el Cambio",0.02,0.779,0.489,0.494
"P34","En blanco",0.015,0.124,0.45,0.032
"P34","No sabe",0.011,0.079,0.047,0.458
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.254,0.25,0.387,0.417
"P36","Javier Milei por la Libertad Avanza",0.047,0.687,0.145,0.11
"P36","En blanco",0.496,0.03,0.422,0.06
"P36","No sabe",0.203,0.033,0.046,0.413
"P37","Javier Milei por la Libertad Avanza",0.082,0.491,0.081,0.054
"P37","Patricia Bullrich por Juntos por el Cambio",0.081,0.464,0.569,0.59
"P37","En blanco",0.646,0.02,0.32,0.081
"P37","No sabe",0.191,0.025,0.03,0.275
"P38","Sergio Massa por el Frente de Todos",0.841,0.077,0.067,0.073
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.041,0.52,0.48,0.454
"P38","En blanco",0.079,0.285,0.417,0.094
"P38","No sabe",0.039,0.118,0.036,0.379
"P39","Agustín Rossi por el Frente de Todos",0.846,0.033,0.09,0.065
"P39","Patricia Bullrich por Juntos por el Cambio",0.037,0.725,0.504,0.524
"P39","En blanco",0.069,0.159,0.368,0.058
"P39","No sabe",0.048,0.083,0.038,0.353
"P40","Daniel Scioli por el Frente de Todos",0.883,0.023,0.106,0.11
"P40","Patricia Bullrich por Juntos por el Cambio",0.026,0.802,0.522,0.569
"P40","En blanco",0.052,0.131,0.333,0.036
"P40","No sabe",0.039,0.044,0.039,0.285
"P41","Lo votaría",0.517,0.207,0.043,0.054
"P41","Puede que lo vote",0.385,0.065,0.074,0.092
"P41","Nunca lo votaría",0.039,0.693,0.83,0.675
"P41","No sabe",0.059,0.035,0.053,0.179
"P42","Lo votaría",0.077,0.471,0.373,0.464
"P42","Puede que lo vote",0.061,0.294,0.154,0.104
"P42","Nunca lo votaría",0.837,0.211,0.443,0.333
"P42","No sabe",0.025,0.024,0.03,0.099
"P43","Lo votaría",0.026,0.608,0.089,0.07
"P43","Puede que lo vote",0.028,0.319,0.152,0.166
"P43","Nunca lo votaría",0.924,0.058,0.708,0.641
"P43","No sabe",0.022,0.015,0.051,0.123
"P44","Lo votaría",0.042,0.246,0.309,0.34
"P44","Puede que lo vote",0.095,0.3,0.221,0.182
"P44","Nunca lo votaría",0.827,0.424,0.42,0.363
"P44","No sabe",0.036,0.03,0.05,0.115
"P45","Lo votaría",0.45,0.075,0.089,0.088
"P45","Puede que lo vote",0.271,0.107,0.101,0.104
"P45","Nunca lo votaría",0.245,0.797,0.761,0.68
"P45","No sabe",0.034,0.021,0.049,0.128
"P46","Lo votaría",0.514,0.025,0.054,0.057
"P46","Puede que lo vote",0.329,0.016,0.095,0.107
"P46","Nunca lo votaría",0.108,0.925,0.819,0.726
"P46","No sabe",0.049,0.034,0.032,0.11
"P47","Lo votaría",0.13,0.075,0.119,0.134
"P47","Puede que lo vote",0.275,0.215,0.253,0.219
"P47","Nunca lo votaría",0.497,0.658,0.549,0.49
"P47","No sabe",0.098,0.052,0.079,0.157
"P48","Lo votaría",0.729,0.039,0.111,0.131
"P48","Puede que lo vote",0.145,0.054,0.076,0.064
"P48","Nunca lo votaría",0.101,0.886,0.784,0.733
"P48","No sabe",0.025,0.021,0.029,0.072
"P49","Si",0.654,0.578,0.535,0.533
"P49","No",0.346,0.422,0.465,0.467
