"var","categoria","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P19","No sabe",0.058,0.027,0.017,0.089,0.083,0.392
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.767,0.15,0.085,0.144,0.086,0.156
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.071,0.617,0.196,0.04,0.351,0.346
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.102,0.124,0.691,0.064,0.084,0.024
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.011,0.01,0.63,0.054,0.013
"P20","En blanco",0.012,0.021,0.004,0.037,0.295,0.005
"P20","No sabe",0.032,0.077,0.014,0.085,0.13,0.456
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.754,0.117,0.099,0.047,0.062,0.068
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.098,0.64,0.188,0.049,0.319,0.318
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.115,0.142,0.685,0.122,0.06,0.026
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.013,0.006,0.691,0.055,0.01
"P23","En blanco",0.003,0.026,0.007,0.03,0.371,0.011
"P23","No sabe",0.018,0.062,0.015,0.061,0.133,0.567
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.738,0.158,0.108,0.067,0.082,0.136
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.085,0.642,0.097,0.022,0.101,0.067
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.131,0.16,0.767,0.042,0.045,0.03
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.004,0.001,0.804,0.05,0.004
"P24","En blanco",0.007,0.008,0.01,0.017,0.645,0.01
"P24","No sabe",0.027,0.028,0.017,0.048,0.077,0.753
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.667,0.15,0.074,0.096,0.072,0.139
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.07,0.656,0.252,0.054,0.315,0.319
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.152,0.087,0.647,0.055,0.061,0.02
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.009,0.003,0.735,0.033,0.001
"P28","En blanco",0.031,0.031,0.011,0.014,0.432,0.023
"P28","No sabe",0.067,0.067,0.013,0.046,0.087,0.498
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.705,0.1,0.093,0.157,0.097,0.133
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.096,0.722,0.081,0.034,0.074,0.085
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.093,0.12,0.785,0.082,0.133,0.096
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.012,0.005,0.639,0.049,0.002
"P29","En blanco",0.021,0.005,0.011,0.057,0.597,0.03
"P29","No sabe",0.067,0.041,0.025,0.031,0.05,0.654
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.683,0.177,0.106,0.17,0.096,0.145
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.103,0.609,0.23,0.047,0.314,0.358
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.139,0.135,0.639,0.06,0.084,0.029
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.002,0.008,0.707,0.063,0.016
"P30","En blanco",0.02,0.024,0.004,0.005,0.417,0.021
"P30","No sabe",0.038,0.053,0.013,0.011,0.026,0.431
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.724,0.151,0.108,0.154,0.17,0.243
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.098,0.683,0.087,0.026,0.038,0.128
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.122,0.128,0.773,0.075,0.074,0.048
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.003,0.003,0.645,0.07,0.012
"P33","En blanco",0.01,0.008,0.009,0.028,0.608,0.035
"P33","No sabe",0.038,0.027,0.02,0.072,0.04,0.534
"P34","Sergio Massa por el Frente de Todos",0.759,0.122,0.122,0.225,0.12,0.215
"P34","Patricia Bullrich por Juntos por el Cambio",0.141,0.775,0.542,0.101,0.556,0.441
"P34","En blanco",0.045,0.049,0.2,0.443,0.276,0.059
"P34","No sabe",0.055,0.054,0.136,0.231,0.048,0.285
"P35","Sergio Massa por el Frente de Todos",0.758,0.136,0.107,0.29,0.114,0.259
"P35","Javier Milei por la Libertad Avanza",0.149,0.461,0.815,0.125,0.351,0.205
"P35","En blanco",0.047,0.203,0.042,0.419,0.427,0.105
"P35","No sabe",0.046,0.2,0.036,0.166,0.108,0.431
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.222,0.682,0.079,0.138,0.093,0.232
"P36","Javier Milei por la Libertad Avanza",0.136,0.172,0.828,0.088,0.194,0.103
"P36","En blanco",0.438,0.092,0.055,0.625,0.59,0.18
"P36","No sabe",0.204,0.054,0.038,0.149,0.123,0.485
"P37","Javier Milei por la Libertad Avanza",0.106,0.175,0.575,0.089,0.13,0.056
"P37","Patricia Bullrich por Juntos por el Cambio",0.15,0.679,0.331,0.108,0.423,0.395
"P37","En blanco",0.559,0.091,0.062,0.691,0.406,0.231
"P37","No sabe",0.185,0.055,0.032,0.112,0.041,0.318
"P38","Sergio Massa por el Frente de Todos",0.705,0.131,0.163,0.279,0.114,0.25
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.106,0.771,0.321,0.072,0.219,0.241
"P38","En blanco",0.122,0.054,0.363,0.551,0.657,0.085
"P38","No sabe",0.067,0.044,0.153,0.098,0.01,0.424
"P39","Agustín Rossi por el Frente de Todos",0.71,0.117,0.12,0.363,0.086,0.213
"P39","Patricia Bullrich por Juntos por el Cambio",0.118,0.766,0.568,0.096,0.451,0.409
"P39","En blanco",0.1,0.059,0.209,0.39,0.413,0.069
"P39","No sabe",0.072,0.058,0.103,0.151,0.05,0.309
"P40","Daniel Scioli por el Frente de Todos",0.78,0.117,0.111,0.371,0.083,0.176
"P40","Patricia Bullrich por Juntos por el Cambio",0.141,0.79,0.613,0.135,0.576,0.469
"P40","En blanco",0.053,0.048,0.196,0.385,0.275,0.099
"P40","No sabe",0.026,0.045,0.08,0.109,0.066,0.256
"P41","Lo votaría",0.549,0.164,0.13,0.133,0.214,0.179
"P41","Puede que lo vote",0.285,0.113,0.14,0.147,0.1,0.112
"P41","Nunca lo votaría",0.122,0.684,0.682,0.555,0.635,0.497
"P41","No sabe",0.044,0.039,0.048,0.165,0.051,0.212
"P42","Lo votaría",0.123,0.587,0.312,0.139,0.402,0.381
"P42","Puede que lo vote",0.081,0.191,0.334,0.012,0.104,0.067
"P42","Nunca lo votaría",0.765,0.202,0.32,0.803,0.477,0.463
"P42","No sabe",0.031,0.02,0.034,0.046,0.017,0.089
"P43","Lo votaría",0.125,0.191,0.668,0.077,0.135,0.09
"P43","Puede que lo vote",0.062,0.331,0.186,0.049,0.264,0.195
"P43","Nunca lo votaría",0.786,0.431,0.14,0.806,0.573,0.602
"P43","No sabe",0.027,0.047,0.006,0.068,0.028,0.113
"P44","Lo votaría",0.074,0.531,0.119,0.028,0.018,0.078
"P44","Puede que lo vote",0.107,0.295,0.224,0.091,0.225,0.301
"P44","Nunca lo votaría",0.787,0.152,0.617,0.803,0.712,0.465
"P44","No sabe",0.032,0.022,0.04,0.078,0.045,0.156
"P45","Lo votaría",0.493,0.124,0.064,0.065,0.032,0.034
"P45","Puede que lo vote",0.249,0.103,0.091,0.297,0.086,0.238
"P45","Nunca lo votaría",0.238,0.749,0.809,0.519,0.818,0.586
"P45","No sabe",0.02,0.024,0.036,0.119,0.064,0.142
"P46","Lo votaría",0.47,0.08,0.066,0.144,0.047,0.07
"P46","Puede que lo vote",0.259,0.086,0.043,0.269,0.079,0.169
"P46","Nunca lo votaría",0.228,0.808,0.851,0.489,0.826,0.631
"P46","No sabe",0.043,0.026,0.04,0.098,0.048,0.13
"P47","Lo votaría",0.097,0.164,0.077,0.131,0.069,0.056
"P47","Puede que lo vote",0.216,0.326,0.212,0.268,0.145,0.193
"P47","Nunca lo votaría",0.581,0.441,0.655,0.536,0.744,0.585
"P47","No sabe",0.106,0.069,0.056,0.065,0.042,0.166
"P48","Lo votaría",0.658,0.106,0.091,0.362,0.097,0.228
"P48","Puede que lo vote",0.116,0.062,0.066,0.156,0.069,0.119
"P48","Nunca lo votaría",0.206,0.812,0.815,0.399,0.826,0.57
"P48","No sabe",0.02,0.02,0.028,0.083,0.008,0.083
"P49","Si",0.613,0.603,0.57,0.682,0.528,0.562
"P49","No",0.387,0.397,0.43,0.318,0.472,0.438
