"var","categoria","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.065,0.044,0.175,0.088,0.316,0.034,0.031,0.007,0.014
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.014,0.012,0.016,0.027,0.163,0.334,0.041,0.059,0.003
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.55,0.051,0.065,0.059,0.043,0.109,0.036,0.024,0.036
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.025,0.003,0.008,0.143,0.048,0.46,0.004,0.01
"P16","En blanco",0.006,0.014,0.009,0.014,0.005,0.162,0.092,0.591,0.045
"P16","No sabe",0.018,0.052,0.019,0.01,0.071,0.09,0.187,0.104,0.647
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.051,0.845,0.059,0.045,0.142,0.049,0.188,0.119,0.235
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.052,0.033,0.769,0.249,0.108,0.173,0.034,0.018,0.098
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.017,0.019,0.044,0.543,0.188,0.195,0.036,0.05,0.052
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.859,0.042,0.094,0.131,0.132,0.056,0.018,0.039,0.056
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.017,0.001,0.001,0.176,0.06,0.364,0.017,0.04
"P17","En blanco",0.005,0.006,0.009,0.008,0.101,0.258,0.05,0.681,0.02
"P17","No sabe",0.007,0.038,0.024,0.023,0.153,0.209,0.31,0.076,0.499
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.778,0.055,0.084,0.115,0.143,0.059,0.017,0.025,0.033
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.044,0.789,0.071,0.081,0.133,0.071,0.149,0.117,0.236
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.122,0.031,0.691,0.215,0.103,0.234,0.062,0.084,0.125
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.015,0.047,0.102,0.553,0.177,0.121,0.035,0.036,0.047
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0,0.011,0.006,0.006,0.176,0.018,0.34,0,0.006
"P18","En blanco",0.024,0.015,0.014,0.014,0.083,0.326,0.054,0.675,0.045
"P18","No sabe",0.017,0.052,0.032,0.016,0.185,0.171,0.343,0.063,0.508
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.074,0.805,0.054,0.064,0.123,0.039,0.067,0.062,0.147
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.112,0.063,0.719,0.178,0.142,0.187,0.078,0.083,0.148
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.015,0.026,0.103,0.563,0.137,0.177,0.038,0.041,0.029
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.775,0.043,0.085,0.166,0.114,0.081,0.009,0.021,0.047
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.002,0.017,0.004,0.004,0.17,0.029,0.401,0.009,0.007
"P19","En blanco",0.009,0.011,0.007,0.008,0.082,0.344,0.058,0.632,0.034
"P19","No sabe",0.013,0.035,0.028,0.017,0.232,0.143,0.349,0.152,0.588
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.062,0.867,0.06,0.063,0.236,0.025,0.072,0.058,0.178
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.043,0.041,0.802,0.548,0.227,0.286,0.077,0.077,0.137
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.873,0.04,0.088,0.215,0.117,0.076,0.051,0.044,0.056
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.019,0.006,0.011,0.183,0.079,0.448,0.1,0.014
"P20","En blanco",0.008,0.007,0.007,0.036,0.063,0.321,0.026,0.597,0.036
"P20","No sabe",0.008,0.026,0.037,0.127,0.174,0.213,0.326,0.124,0.579
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.118,0.679,0.109,0.077,0.212,0.139,0.087,0.212,0.184
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.114,0.107,0.685,0.527,0.222,0.235,0.089,0.026,0.125
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.737,0.123,0.164,0.218,0.147,0.08,0.047,0.033,0.065
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.026,0.001,0.013,0.177,0.084,0.46,0.098,0.009
"P23","En blanco",0.013,0.016,0.01,0.044,0.071,0.308,0.022,0.495,0.037
"P23","No sabe",0.01,0.049,0.031,0.121,0.171,0.154,0.295,0.136,0.58
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.062,0.834,0.092,0.056,0.183,0.045,0.103,0.05,0.144
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.058,0.048,0.421,0.711,0.291,0.267,0.018,0.041,0.104
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.864,0.063,0.253,0.154,0.129,0.15,0.033,0.093,0.064
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.002,0.017,0.004,0.015,0.174,0.039,0.503,0.089,0.012
"P24","En blanco",0.009,0.012,0.082,0.01,0.079,0.346,0.045,0.606,0.067
"P24","No sabe",0.005,0.026,0.148,0.054,0.144,0.153,0.298,0.121,0.609
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.127,0.686,0.086,0.083,0.25,0.151,0.097,0.209,0.181
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.09,0.111,0.436,0.665,0.207,0.266,0.052,0.044,0.074
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.755,0.117,0.252,0.178,0.152,0.091,0.042,0.05,0.077
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.022,0.006,0.004,0.157,0.041,0.471,0,0.023
"P27","En blanco",0.011,0.025,0.089,0.026,0.099,0.36,0.078,0.585,0.083
"P27","No sabe",0.01,0.039,0.131,0.044,0.135,0.091,0.26,0.112,0.562
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.059,0.746,0.05,0.045,0.139,0.066,0.152,0.131,0.243
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.133,0.048,0.78,0.591,0.283,0.26,0.075,0.036,0.142
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.796,0.074,0.107,0.158,0.116,0.147,0.048,0.052,0.044
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.001,0.027,0.003,0.013,0.167,0.027,0.462,0.005,0.002
"P28","En blanco",0.005,0.031,0.026,0.056,0.121,0.312,0.015,0.667,0.084
"P28","No sabe",0.006,0.074,0.034,0.137,0.174,0.188,0.248,0.109,0.485
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.216,0.648,0.051,0.023,0.147,0.076,0.115,0.167,0.234
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.032,0.182,0.402,0.63,0.295,0.316,0.069,0.119,0.095
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.732,0.045,0.374,0.229,0.133,0.059,0.097,0.076,0.061
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.021,0.006,0.009,0.213,0.031,0.425,0.007,0.006
"P29","En blanco",0.007,0.028,0.068,0.019,0.071,0.31,0.07,0.542,0.077
"P29","No sabe",0.006,0.076,0.099,0.09,0.141,0.208,0.224,0.089,0.527
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.07,0.801,0.083,0.054,0.21,0.039,0.154,0.127,0.234
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.113,0.066,0.746,0.585,0.243,0.335,0.105,0.053,0.141
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.805,0.072,0.112,0.188,0.161,0.086,0.055,0.118,0.042
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.002,0.013,0.008,0.02,0.154,0.106,0.488,0,0.011
"P30","En blanco",0.003,0.015,0.031,0.048,0.129,0.287,0.02,0.574,0.053
"P30","No sabe",0.007,0.033,0.02,0.105,0.103,0.147,0.178,0.128,0.519
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.128,0.758,0.117,0.081,0.185,0.068,0.204,0.241,0.274
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.099,0.094,0.439,0.59,0.362,0.306,0.093,0.053,0.096
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.758,0.097,0.286,0.225,0.147,0.051,0.041,0.08,0.045
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.003,0.01,0.005,0.007,0.141,0.111,0.412,0,0.011
"P33","En blanco",0.001,0.015,0.071,0.047,0.06,0.303,0.023,0.546,0.067
"P33","No sabe",0.011,0.026,0.082,0.05,0.105,0.161,0.227,0.08,0.507
"P34","Sergio Massa por el Frente de Todos",0.071,0.886,0.038,0.062,0.272,0.085,0.269,0.059,0.193
"P34","Patricia Bullrich por Juntos por el Cambio",0.501,0.048,0.952,0.762,0.325,0.433,0.196,0.101,0.229
"P34","En blanco",0.247,0.037,0.003,0.104,0.21,0.295,0.266,0.734,0.115
"P34","No sabe",0.181,0.029,0.007,0.072,0.193,0.187,0.269,0.106,0.463
"P35","Sergio Massa por el Frente de Todos",0.05,0.884,0.045,0.081,0.304,0.106,0.318,0.076,0.254
"P35","Javier Milei por la Libertad Avanza",0.829,0.044,0.675,0.521,0.229,0.205,0.161,0.083,0.11
"P35","En blanco",0.068,0.039,0.122,0.211,0.272,0.345,0.318,0.768,0.153
"P35","No sabe",0.053,0.033,0.158,0.187,0.195,0.344,0.203,0.073,0.483
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.027,0.205,0.447,0.761,0.44,0.42,0.192,0.059,0.174
"P36","Javier Milei por la Libertad Avanza",0.914,0.063,0.375,0.148,0.129,0.124,0.084,0.079,0.108
"P36","En blanco",0.03,0.508,0.084,0.068,0.286,0.191,0.458,0.751,0.277
"P36","No sabe",0.029,0.224,0.094,0.023,0.145,0.265,0.266,0.111,0.441
"P37","Javier Milei por la Libertad Avanza",0.631,0.087,0.16,0.293,0.172,0.151,0.113,0.059,0.064
"P37","Patricia Bullrich por Juntos por el Cambio",0.317,0.081,0.756,0.6,0.412,0.458,0.1,0.167,0.244
"P37","En blanco",0.031,0.627,0.045,0.067,0.29,0.181,0.576,0.685,0.37
"P37","No sabe",0.021,0.205,0.039,0.04,0.126,0.21,0.211,0.089,0.322
"P38","Sergio Massa por el Frente de Todos",0.129,0.819,0.067,0.045,0.249,0.154,0.231,0.093,0.28
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.251,0.037,0.689,0.858,0.386,0.485,0.211,0.113,0.129
"P38","En blanco",0.444,0.101,0.15,0.057,0.213,0.214,0.366,0.693,0.166
"P38","No sabe",0.176,0.043,0.094,0.04,0.152,0.147,0.192,0.101,0.425
"P39","Agustín Rossi por el Frente de Todos",0.061,0.831,0.036,0.05,0.251,0.049,0.362,0.164,0.251
"P39","Patricia Bullrich por Juntos por el Cambio",0.498,0.046,0.875,0.81,0.381,0.488,0.2,0.184,0.238
"P39","En blanco",0.291,0.069,0.044,0.083,0.255,0.231,0.265,0.636,0.149
"P39","No sabe",0.15,0.054,0.045,0.057,0.113,0.232,0.173,0.016,0.362
"P40","Daniel Scioli por el Frente de Todos",0.058,0.856,0.031,0.053,0.352,0.158,0.36,0.224,0.323
"P40","Patricia Bullrich por Juntos por el Cambio",0.582,0.053,0.95,0.796,0.407,0.487,0.218,0.196,0.231
"P40","En blanco",0.253,0.054,0.011,0.101,0.165,0.166,0.247,0.518,0.138
"P40","No sabe",0.107,0.037,0.008,0.05,0.076,0.189,0.175,0.062,0.308
"P41","Lo votaría",0.152,0.522,0.229,0.169,0.069,0.084,0.1,0.062,0.085
"P41","Puede que lo vote",0.071,0.354,0.052,0.104,0.312,0.146,0.261,0.041,0.153
"P41","Nunca lo votaría",0.705,0.086,0.699,0.684,0.569,0.695,0.42,0.851,0.475
"P41","No sabe",0.072,0.038,0.02,0.043,0.05,0.075,0.219,0.046,0.287
"P42","Lo votaría",0.218,0.094,0.82,0.459,0.159,0.261,0.117,0.032,0.158
"P42","Puede que lo vote",0.398,0.049,0.075,0.324,0.232,0.201,0.083,0.187,0.077
"P42","Nunca lo votaría",0.342,0.829,0.102,0.188,0.544,0.493,0.735,0.747,0.622
"P42","No sabe",0.042,0.028,0.003,0.029,0.065,0.045,0.065,0.034,0.143
"P43","Lo votaría",0.755,0.047,0.33,0.205,0.095,0.057,0.062,0.043,0.048
"P43","Puede que lo vote",0.128,0.033,0.378,0.389,0.14,0.182,0.142,0.109,0.141
"P43","Nunca lo votaría",0.1,0.901,0.241,0.371,0.749,0.702,0.74,0.848,0.677
"P43","No sabe",0.017,0.019,0.051,0.035,0.016,0.059,0.056,0,0.134
"P44","Lo votaría",0.134,0.039,0.298,0.669,0.246,0.238,0.041,0.045,0.046
"P44","Puede que lo vote",0.165,0.09,0.402,0.226,0.284,0.326,0.222,0.125,0.157
"P44","Nunca lo votaría",0.655,0.834,0.26,0.088,0.424,0.423,0.676,0.747,0.629
"P44","No sabe",0.046,0.037,0.04,0.017,0.046,0.013,0.061,0.083,0.168
"P45","Lo votaría",0.042,0.467,0.084,0.162,0.148,0.165,0.067,0.129,0.114
"P45","Puede que lo vote",0.072,0.237,0.136,0.091,0.308,0.124,0.278,0.119,0.194
"P45","Nunca lo votaría",0.854,0.264,0.763,0.719,0.513,0.602,0.552,0.665,0.478
"P45","No sabe",0.032,0.032,0.017,0.028,0.031,0.109,0.103,0.087,0.214
"P46","Lo votaría",0.03,0.522,0.049,0.028,0.145,0.056,0.109,0.119,0.139
"P46","Puede que lo vote",0.027,0.313,0.033,0.047,0.192,0.141,0.222,0.11,0.198
"P46","Nunca lo votaría",0.892,0.125,0.893,0.902,0.612,0.662,0.574,0.751,0.512
"P46","No sabe",0.051,0.04,0.025,0.023,0.051,0.141,0.095,0.02,0.151
"P47","Lo votaría",0.037,0.124,0.086,0.118,0.654,0.131,0.113,0.051,0.032
"P47","Puede que lo vote",0.169,0.269,0.256,0.315,0.198,0.322,0.247,0.073,0.17
"P47","Nunca lo votaría",0.707,0.516,0.602,0.498,0.108,0.482,0.584,0.715,0.596
"P47","No sabe",0.087,0.091,0.056,0.069,0.04,0.065,0.056,0.161,0.202
"P48","Lo votaría",0.033,0.75,0.056,0.043,0.16,0.121,0.332,0.279,0.37
"P48","Puede que lo vote",0.068,0.122,0.032,0.064,0.205,0.12,0.176,0.115,0.109
"P48","Nunca lo votaría",0.854,0.113,0.899,0.872,0.622,0.739,0.413,0.563,0.425
"P48","No sabe",0.045,0.015,0.013,0.021,0.013,0.02,0.079,0.043,0.096
"P49","Si",0.541,0.66,0.593,0.56,0.478,0.455,0.637,0.451,0.638
"P49","No",0.459,0.34,0.407,0.44,0.522,0.545,0.363,0.549,0.362
