"var","categoria","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P24","En blanco",0.024,0.07,0.008,0.009,0.025,0.615,0.075
"P24","No sabe",0.044,0.169,0.022,0.008,0.016,0.137,0.632
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.707,0.061,0.108,0.112,0.073,0.108,0.154
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.108,0.47,0.724,0.09,0.069,0.028,0.056
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.083,0.241,0.114,0.766,0.058,0.084,0.053
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.021,0.007,0.005,0.009,0.627,0.057,0.072
"P27","En blanco",0.025,0.083,0.017,0.015,0.108,0.659,0.091
"P27","No sabe",0.056,0.138,0.032,0.008,0.065,0.064,0.574
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.773,0.035,0.062,0.021,0.232,0.053,0.143
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.042,0.857,0.573,0.125,0.014,0.063,0.065
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.057,0.066,0.096,0.824,0.049,0.055,0.02
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.024,0.002,0.018,0.002,0.599,0.062,0.071
"P28","En blanco",0.032,0.016,0.084,0.014,0.018,0.705,0.062
"P28","No sabe",0.072,0.024,0.167,0.014,0.088,0.062,0.639
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.677,0.027,0.036,0.186,0.144,0.062,0.122
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.175,0.465,0.682,0.022,0.124,0.043,0.079
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.024,0.337,0.171,0.763,0.034,0.075,0.031
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.005,0.025,0.006,0.634,0.004,0.063
"P29","En blanco",0.028,0.058,0.012,0.011,0.04,0.759,0.076
"P29","No sabe",0.076,0.108,0.074,0.012,0.024,0.057,0.629
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.837,0.053,0.11,0.04,0.178,0.042,0.064
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.049,0.823,0.569,0.114,0.015,0.083,0.074
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.062,0.092,0.098,0.825,0.069,0.077,0.018
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.001,0.023,0.004,0.641,0.069,0.113
"P30","En blanco",0.018,0.015,0.076,0.004,0.012,0.683,0.081
"P30","No sabe",0.02,0.016,0.124,0.013,0.085,0.046,0.65
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.806,0.066,0.111,0.114,0.203,0.048,0.096
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.074,0.512,0.67,0.101,0.044,0.02,0.072
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.081,0.268,0.126,0.76,0.051,0.136,0.055
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.003,0.004,0.003,0.601,0.004,0.096
"P33","En blanco",0.012,0.067,0.022,0.008,0.04,0.669,0.084
"P33","No sabe",0.016,0.084,0.067,0.014,0.061,0.123,0.597
"P34","Sergio Massa por el Frente de Todos",0.885,0.007,0.102,0.049,0.332,0.154,0.21
"P34","Patricia Bullrich por Juntos por el Cambio",0.03,0.973,0.73,0.523,0.091,0.183,0.199
"P34","En blanco",0.041,0.009,0.078,0.261,0.33,0.582,0.12
"P34","No sabe",0.044,0.011,0.09,0.167,0.247,0.081,0.471
"P35","Sergio Massa por el Frente de Todos",0.887,0.013,0.127,0.031,0.399,0.166,0.238
"P35","Javier Milei por la Libertad Avanza",0.033,0.642,0.458,0.852,0.124,0.16,0.094
"P35","En blanco",0.041,0.162,0.218,0.068,0.338,0.605,0.157
"P35","No sabe",0.039,0.183,0.197,0.049,0.139,0.069,0.511
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.222,0.487,0.81,0.037,0.117,0.065,0.163
"P36","Javier Milei por la Libertad Avanza",0.045,0.316,0.113,0.93,0.096,0.158,0.078
"P36","En blanco",0.512,0.095,0.052,0.015,0.677,0.595,0.215
"P36","No sabe",0.221,0.102,0.025,0.018,0.11,0.182,0.544
"P37","Javier Milei por la Libertad Avanza",0.07,0.139,0.264,0.652,0.138,0.072,0.104
"P37","Patricia Bullrich por Juntos por el Cambio",0.066,0.797,0.578,0.326,0.096,0.193,0.206
"P37","En blanco",0.659,0.032,0.087,0.01,0.647,0.604,0.276
"P37","No sabe",0.205,0.032,0.071,0.012,0.119,0.131,0.414
"P38","Sergio Massa por el Frente de Todos",0.811,0.046,0.073,0.112,0.347,0.162,0.253
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.03,0.735,0.849,0.272,0.092,0.182,0.143
"P38","En blanco",0.109,0.111,0.051,0.444,0.448,0.618,0.184
"P38","No sabe",0.05,0.108,0.027,0.172,0.113,0.038,0.42
