"var","categoria","Horacio Rodriguez Larreta por el Juntos por el Cambio","Javier Milei por la Libertad Avanza","En blanco","No sabe"
"P12","En blanco",0.012,0.007,0.096,0.024
"P12","No sabe",0.037,0.017,0.097,0.305
"P16","Daniel Scioli  por el Frente de Todos",0.158,0.108,0.445,0.3
"P16","Patricia Bullrich por Juntos por el Cambio",0.344,0.203,0.15,0.181
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.254,0.049,0.043,0.044
"P16","Facundo Manes por Juntos por el Cambio",0.084,0.044,0.043,0.076
"P16","Gerardo Morales",0.055,0.025,0.029,0.04
"P16","Javier Milei por la Libertad Avanza",0.047,0.548,0.022,0.037
"P16","Al candidato del Frente de Izquierda",0.015,0.005,0.09,0.035
"P16","En blanco",0.01,0.003,0.098,0.027
"P16","No sabe",0.033,0.015,0.08,0.26
"P17","Axel Kicillof por el Frente de Todos",0.2,0.027,0.642,0.427
"P17","Patricia Bullrich por Juntos por el Cambio",0.405,0.223,0.107,0.174
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.296,0.024,0.024,0.028
"P17","Javier Milei por la Libertad Avanza",0.03,0.69,0.017,0.034
"P17","Al candidato del Frente de Izquierda",0.017,0.005,0.06,0.023
"P17","En blanco",0.012,0.016,0.087,0.022
"P17","No sabe",0.04,0.015,0.063,0.292
"P18","Sergio Massa  por el Frente de Todos",0.226,0.033,0.581,0.403
"P18","Patricia Bullrich por Juntos por el Cambio",0.581,0.233,0.116,0.183
"P18","Javier Milei por la Libertad Avanza",0.054,0.703,0.03,0.035
"P18","Al candidato del Frente de Izquierda",0.025,0.008,0.088,0.039
"P18","En blanco",0.032,0.006,0.116,0.019
"P18","No sabe",0.082,0.017,0.069,0.321
"P21","Daniel Scioli  por el Frente de Todos",0.211,0.104,0.504,0.374
"P21","Patricia Bullrich por Juntos por el Cambio",0.538,0.254,0.147,0.179
"P21","Javier Milei por la Libertad Avanza",0.1,0.609,0.068,0.082
"P21","Al candidato del Frente de Izquierda",0.028,0.009,0.088,0.036
"P21","En blanco",0.038,0.007,0.116,0.022
"P21","No sabe",0.085,0.017,0.077,0.307
"P22","Sergio Massa  por el Frente de Todos",0.204,0.059,0.578,0.388
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.593,0.081,0.05,0.069
"P22","Javier Milei por la Libertad Avanza",0.066,0.801,0.039,0.056
"P22","Al candidato del Frente de Izquierda",0.027,0.006,0.088,0.035
"P22","En blanco",0.028,0.023,0.159,0.037
"P22","No sabe",0.082,0.03,0.086,0.415
"P25","Agustín Rossi  por el Frente de Todos",0.196,0.057,0.551,0.351
"P25","Patricia Bullrich por Juntos por el Cambio",0.557,0.272,0.11,0.182
"P25","Javier Milei por la Libertad Avanza",0.077,0.636,0.046,0.05
"P25","Al candidato del Frente de Izquierda",0.029,0.008,0.081,0.034
"P25","En blanco",0.05,0.009,0.134,0.029
"P25","No sabe",0.091,0.018,0.078,0.354
"P26","Axel Kicillof por el Frente de Todos",0.209,0.062,0.618,0.413
"P26","Patricia Bullrich por Juntos por el Cambio",0.568,0.245,0.127,0.194
"P26","Javier Milei por la Libertad Avanza",0.083,0.66,0.034,0.048
"P26","Al candidato del Frente de Izquierda",0.023,0.007,0.063,0.042
"P26","En blanco",0.044,0.007,0.11,0.027
"P26","No sabe",0.073,0.019,0.048,0.276
"P29","Sergio Massa por el Frente de Todos",0.25,0.055,0.636,0.42
"P29","Patricia Bullrich por Juntos por el Cambio",0.648,0.612,0.132,0.208
"P29","En blanco",0.05,0.188,0.182,0.032
"P29","No sabe",0.052,0.145,0.05,0.34
"P30","Sergio Massa por el Frente de Todos",0.281,0.038,0.647,0.427
"P30","Javier Milei por la Libertad Avanza",0.368,0.875,0.046,0.088
"P30","En blanco",0.178,0.05,0.265,0.038
"P30","No sabe",0.173,0.037,0.042,0.447
"P32","Javier Milei por la Libertad Avanza",0.245,0.554,0.018,0.027
"P32","Patricia Bullrich por Juntos por el Cambio",0.541,0.432,0.111,0.174
"P32","En blanco",0.154,0.007,0.847,0.129
"P32","No sabe",0.06,0.007,0.024,0.67
"P33","Sergio Massa por el Frente de Todos",0.214,0.128,0.614,0.411
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.716,0.363,0.06,0.093
"P33","En blanco",0.035,0.349,0.303,0.052
"P33","No sabe",0.035,0.16,0.023,0.444
"P34","Agustín Rossi por el Frente de Todos",0.211,0.046,0.635,0.399
"P34","Patricia Bullrich por Juntos por el Cambio",0.676,0.623,0.113,0.183
"P34","En blanco",0.06,0.213,0.223,0.035
"P34","No sabe",0.053,0.118,0.029,0.383
"P35","Daniel Scioli por el Frente de Todos",0.228,0.055,0.647,0.451
"P35","Patricia Bullrich por Juntos por el Cambio",0.675,0.685,0.127,0.22
"P35","En blanco",0.05,0.171,0.2,0.039
"P35","No sabe",0.047,0.089,0.026,0.29
"P36","Lo votaría",0.209,0.115,0.408,0.313
"P36","Puede que lo vote",0.186,0.095,0.276,0.196
"P36","Nunca lo votaría",0.559,0.735,0.257,0.29
"P36","No sabe",0.046,0.055,0.059,0.201
"P37","Lo votaría",0.517,0.344,0.138,0.211
"P37","Puede que lo vote",0.168,0.333,0.046,0.086
"P37","Nunca lo votaría",0.284,0.267,0.787,0.576
"P37","No sabe",0.031,0.056,0.029,0.127
"P38","Lo votaría",0.139,0.688,0.035,0.066
"P38","Puede que lo vote",0.265,0.234,0.049,0.079
"P38","Nunca lo votaría",0.537,0.057,0.89,0.7
"P38","No sabe",0.059,0.021,0.026,0.155
"P39","Lo votaría",0.475,0.146,0.026,0.037
"P39","Puede que lo vote",0.303,0.274,0.074,0.164
"P39","Nunca lo votaría",0.192,0.518,0.861,0.634
"P39","No sabe",0.03,0.062,0.039,0.165
"P40","Lo votaría",0.183,0.045,0.368,0.265
"P40","Puede que lo vote",0.165,0.078,0.223,0.182
"P40","Nunca lo votaría",0.617,0.833,0.369,0.404
"P40","No sabe",0.035,0.044,0.04,0.149
"P41","Lo votaría",0.11,0.029,0.406,0.255
"P41","Puede que lo vote",0.122,0.035,0.248,0.196
"P41","Nunca lo votaría",0.723,0.884,0.294,0.393
"P41","No sabe",0.045,0.052,0.052,0.156
"P42","Lo votaría",0.154,0.071,0.1,0.096
"P42","Puede que lo vote",0.318,0.2,0.203,0.193
"P42","Nunca lo votaría",0.448,0.648,0.613,0.481
"P42","No sabe",0.08,0.081,0.084,0.23
"P43","Lo votaría",0.17,0.036,0.584,0.401
"P43","Puede que lo vote",0.085,0.051,0.11,0.113
"P43","Nunca lo votaría",0.717,0.877,0.273,0.373
"P43","No sabe",0.028,0.036,0.033,0.113
"P44","Si",0.599,0.567,0.595,0.559
"P44","No",0.401,0.433,0.405,0.441
