"var","categoria","Sergio Massa  por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P21","Javier Milei por la Libertad Avanza",0.088,0.111,0.768,0.032,0.014,0.035
"P21","Al candidato del Frente de Izquierda",0.019,0.002,0.005,0.783,0.043,0.01
"P21","En blanco",0.024,0.005,0.009,0.028,0.735,0.034
"P21","No sabe",0.061,0.016,0.009,0.031,0.048,0.764
"P22","Sergio Massa  por el Frente de Todos",0.839,0.052,0.039,0.092,0.061,0.06
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.055,0.504,0.077,0.095,0.172,0.176
"P22","Javier Milei por la Libertad Avanza",0.051,0.212,0.855,0.036,0.041,0.054
"P22","Al candidato del Frente de Izquierda",0.015,0.007,0.004,0.706,0.03,0.016
"P22","En blanco",0.014,0.079,0.011,0.038,0.614,0.041
"P22","No sabe",0.026,0.146,0.014,0.033,0.082,0.653
"P25","Agustín Rossi  por el Frente de Todos",0.721,0.052,0.052,0.163,0.121,0.12
"P25","Patricia Bullrich por Juntos por el Cambio",0.054,0.819,0.118,0.047,0.084,0.084
"P25","Javier Milei por la Libertad Avanza",0.068,0.063,0.803,0.051,0.037,0.056
"P25","Al candidato del Frente de Izquierda",0.025,0.004,0.005,0.63,0.038,0.014
"P25","En blanco",0.043,0.022,0.012,0.049,0.646,0.047
"P25","No sabe",0.089,0.04,0.01,0.06,0.074,0.679
"P26","Axel Kicillof por el Frente de Todos",0.769,0.053,0.054,0.324,0.177,0.19
"P26","Patricia Bullrich por Juntos por el Cambio",0.067,0.836,0.081,0.06,0.089,0.087
"P26","Javier Milei por la Libertad Avanza",0.053,0.077,0.831,0.04,0.033,0.045
"P26","Al candidato del Frente de Izquierda",0.015,0.005,0.005,0.523,0.035,0.03
"P26","En blanco",0.033,0.011,0.01,0.026,0.597,0.041
"P26","No sabe",0.063,0.018,0.019,0.027,0.069,0.607
"P29","Sergio Massa por el Frente de Todos",0.921,0.02,0.046,0.311,0.106,0.168
"P29","Patricia Bullrich por Juntos por el Cambio",0.031,0.951,0.519,0.083,0.128,0.167
"P29","En blanco",0.022,0.016,0.239,0.35,0.675,0.107
"P29","No sabe",0.026,0.013,0.196,0.256,0.091,0.558
"P30","Sergio Massa por el Frente de Todos",0.927,0.034,0.024,0.38,0.131,0.202
"P30","Javier Milei por la Libertad Avanza",0.031,0.598,0.861,0.096,0.088,0.104
"P30","En blanco",0.022,0.184,0.063,0.334,0.686,0.139
"P30","No sabe",0.02,0.184,0.052,0.19,0.095,0.555
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.253,0.547,0.053,0.211,0.238,0.265
"P31","Javier Milei por la Libertad Avanza",0.049,0.289,0.909,0.091,0.057,0.072
"P31","En blanco",0.48,0.081,0.022,0.542,0.638,0.164
"P31","No sabe",0.218,0.083,0.016,0.156,0.067,0.499
"P32","Javier Milei por la Libertad Avanza",0.091,0.143,0.698,0.129,0.061,0.104
"P32","Patricia Bullrich por Juntos por el Cambio",0.067,0.804,0.276,0.104,0.124,0.17
"P32","En blanco",0.632,0.023,0.016,0.605,0.733,0.243
"P32","No sabe",0.21,0.03,0.01,0.162,0.082,0.483
"P33","Sergio Massa por el Frente de Todos",0.841,0.039,0.13,0.337,0.103,0.182
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.043,0.763,0.3,0.13,0.255,0.26
"P33","En blanco",0.081,0.109,0.39,0.385,0.571,0.109
"P33","No sabe",0.035,0.089,0.18,0.148,0.071,0.449
"P34","Agustín Rossi por el Frente de Todos",0.823,0.018,0.042,0.446,0.149,0.209
"P34","Patricia Bullrich por Juntos por el Cambio",0.035,0.925,0.541,0.108,0.16,0.213
"P34","En blanco",0.074,0.03,0.265,0.32,0.625,0.112
"P34","No sabe",0.068,0.027,0.152,0.126,0.066,0.466
"P35","Daniel Scioli por el Frente de Todos",0.868,0.017,0.044,0.457,0.242,0.234
"P35","Patricia Bullrich por Juntos por el Cambio",0.034,0.961,0.606,0.123,0.155,0.221
"P35","En blanco",0.051,0.013,0.231,0.327,0.541,0.124
"P35","No sabe",0.047,0.009,0.119,0.093,0.062,0.421
"P36","Lo votaría",0.599,0.118,0.107,0.098,0.077,0.07
"P36","Puede que lo vote",0.321,0.111,0.093,0.26,0.15,0.196
"P36","Nunca lo votaría",0.034,0.742,0.739,0.473,0.648,0.451
"P36","No sabe",0.046,0.029,0.061,0.169,0.125,0.283
"P37","Lo votaría",0.098,0.775,0.206,0.076,0.077,0.089
"P37","Puede que lo vote",0.062,0.118,0.416,0.066,0.155,0.161
"P37","Nunca lo votaría",0.805,0.098,0.308,0.808,0.701,0.556
"P37","No sabe",0.035,0.009,0.07,0.05,0.067,0.194
"P38","Lo votaría",0.033,0.238,0.779,0.035,0.048,0.048
"P38","Puede que lo vote",0.038,0.388,0.141,0.066,0.131,0.097
"P38","Nunca lo votaría",0.899,0.311,0.058,0.857,0.775,0.694
"P38","No sabe",0.03,0.063,0.022,0.042,0.046,0.161
"P39","Lo votaría",0.037,0.387,0.17,0.062,0.186,0.174
"P39","Puede que lo vote",0.11,0.368,0.225,0.13,0.111,0.144
"P39","Nunca lo votaría",0.803,0.202,0.547,0.747,0.62,0.519
"P39","No sabe",0.05,0.043,0.058,0.061,0.083,0.163
"P40","Lo votaría",0.497,0.078,0.041,0.12,0.154,0.133
"P40","Puede que lo vote",0.264,0.092,0.075,0.245,0.129,0.207
"P40","Nunca lo votaría",0.207,0.799,0.834,0.531,0.648,0.472
"P40","No sabe",0.032,0.031,0.05,0.104,0.069,0.188
"P41","Lo votaría",0.515,0.02,0.019,0.204,0.105,0.111
"P41","Puede que lo vote",0.307,0.033,0.031,0.268,0.14,0.179
"P41","Nunca lo votaría",0.127,0.917,0.888,0.421,0.68,0.508
"P41","No sabe",0.051,0.03,0.062,0.107,0.075,0.202
"P42","Lo votaría",0.126,0.118,0.066,0.133,0.116,0.102
"P42","Puede que lo vote",0.249,0.293,0.174,0.201,0.171,0.214
"P42","Nunca lo votaría",0.527,0.516,0.669,0.57,0.611,0.441
"P42","No sabe",0.098,0.073,0.091,0.096,0.102,0.243
"P43","Lo votaría",0.709,0.038,0.025,0.363,0.209,0.24
"P43","Puede que lo vote",0.125,0.044,0.047,0.179,0.133,0.136
"P43","Nunca lo votaría",0.132,0.897,0.884,0.409,0.594,0.488
"P43","No sabe",0.034,0.021,0.044,0.049,0.064,0.136
"P44","Si",0.647,0.583,0.535,0.565,0.511,0.569
"P44","No",0.353,0.417,0.465,0.435,0.489,0.431
