"var","categoria","Axel Kicillof por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.221,0.527,0.083,0.236,0.298,0.274
"P31","Javier Milei por la Libertad Avanza",0.087,0.3,0.869,0.095,0.059,0.093
"P31","En blanco",0.482,0.086,0.025,0.467,0.553,0.134
"P31","No sabe",0.21,0.087,0.023,0.202,0.09,0.499
"P32","Javier Milei por la Libertad Avanza",0.096,0.148,0.691,0.138,0.113,0.107
"P32","Patricia Bullrich por Juntos por el Cambio",0.098,0.783,0.265,0.123,0.131,0.159
"P32","En blanco",0.61,0.036,0.028,0.576,0.688,0.187
"P32","No sabe",0.196,0.033,0.016,0.163,0.068,0.547
"P33","Sergio Massa por el Frente de Todos",0.754,0.065,0.134,0.259,0.2,0.225
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.07,0.729,0.315,0.146,0.257,0.244
"P33","En blanco",0.116,0.119,0.369,0.457,0.502,0.066
"P33","No sabe",0.06,0.087,0.182,0.138,0.041,0.465
"P34","Agustín Rossi por el Frente de Todos",0.77,0.04,0.06,0.289,0.171,0.157
"P34","Patricia Bullrich por Juntos por el Cambio",0.079,0.889,0.544,0.136,0.178,0.195
"P34","En blanco",0.086,0.04,0.246,0.408,0.605,0.099
"P34","No sabe",0.065,0.031,0.15,0.167,0.046,0.549
"P35","Daniel Scioli por el Frente de Todos",0.799,0.044,0.064,0.3,0.242,0.221
"P35","Patricia Bullrich por Juntos por el Cambio",0.087,0.927,0.603,0.157,0.176,0.188
"P35","En blanco",0.067,0.016,0.218,0.394,0.542,0.105
"P35","No sabe",0.047,0.013,0.115,0.149,0.04,0.486
"P36","Lo votaría",0.494,0.126,0.123,0.12,0.198,0.161
"P36","Puede que lo vote",0.325,0.116,0.093,0.179,0.168,0.15
"P36","Nunca lo votaría",0.117,0.727,0.72,0.557,0.569,0.392
"P36","No sabe",0.064,0.031,0.064,0.144,0.065,0.297
"P37","Lo votaría",0.102,0.743,0.223,0.077,0.108,0.096
"P37","Puede que lo vote",0.073,0.137,0.389,0.104,0.143,0.173
"P37","Nunca lo votaría",0.794,0.103,0.319,0.767,0.676,0.524
"P37","No sabe",0.031,0.017,0.069,0.052,0.073,0.207
"P38","Lo votaría",0.064,0.237,0.757,0.049,0.065,0.051
"P38","Puede que lo vote",0.052,0.379,0.135,0.09,0.105,0.11
"P38","Nunca lo votaría",0.854,0.32,0.086,0.811,0.772,0.666
"P38","No sabe",0.03,0.064,0.022,0.05,0.058,0.173
"P39","Lo votaría",0.045,0.388,0.167,0.08,0.191,0.154
"P39","Puede que lo vote",0.109,0.351,0.226,0.176,0.151,0.179
"P39","Nunca lo votaría",0.797,0.22,0.544,0.698,0.598,0.469
"P39","No sabe",0.049,0.041,0.063,0.046,0.06,0.198
"P40","Lo votaría",0.445,0.09,0.051,0.099,0.162,0.149
"P40","Puede que lo vote",0.265,0.094,0.076,0.223,0.183,0.162
"P40","Nunca lo votaría",0.25,0.783,0.827,0.577,0.6,0.48
"P40","No sabe",0.04,0.033,0.046,0.101,0.055,0.209
"P41","Lo votaría",0.483,0.035,0.034,0.1,0.104,0.063
"P41","Puede que lo vote",0.289,0.04,0.037,0.238,0.156,0.166
"P41","Nunca lo votaría",0.169,0.889,0.871,0.579,0.687,0.548
"P41","No sabe",0.059,0.036,0.058,0.083,0.053,0.223
"P42","Lo votaría",0.121,0.114,0.068,0.145,0.137,0.103
"P42","Puede que lo vote",0.225,0.302,0.185,0.223,0.192,0.188
"P42","Nunca lo votaría",0.551,0.511,0.657,0.538,0.583,0.44
"P42","No sabe",0.103,0.073,0.09,0.094,0.088,0.269
"P43","Lo votaría",0.731,0.039,0.044,0.19,0.091,0.119
"P43","Puede que lo vote",0.109,0.048,0.047,0.198,0.17,0.157
"P43","Nunca lo votaría",0.137,0.889,0.866,0.548,0.675,0.545
"P43","No sabe",0.023,0.024,0.043,0.064,0.064,0.179
"P44","Si",0.648,0.585,0.542,0.565,0.517,0.504
"P44","No",0.352,0.415,0.458,0.435,0.483,0.496
