"var","categoria","Agustín Rossi  por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Gerardo Morales","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P11","Facundo Manes por Juntos por el Cambio",0.019,0.042,0.027,0.505,0.159,0.009,0.104,0.017,0.02
"P11","Gerardo Morales por Juntos por el Cambio",0.006,0.006,0.009,0.026,0.432,0.006,0.016,0.06,0.016
"P11","Al candidato del Frente de Izquierda",0.036,0.005,0.016,0.035,0.059,0.005,0.629,0.048,0.087
"P11","En blanco",0.016,0.001,0.005,0.016,0.011,0.003,0.009,0.44,0.042
"P11","No sabe",0.044,0.019,0.021,0.019,0.014,0.012,0.035,0.073,0.524
"P16","Daniel Scioli  por el Frente de Todos",0.604,0.079,0.115,0.089,0.06,0.14,0.121,0.159,0.168
"P16","Patricia Bullrich por Juntos por el Cambio",0.147,0.665,0.124,0.081,0.029,0.074,0.018,0.02,0.029
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.076,0.553,0.091,0.044,0.044,0.009,0.005,0.011
"P16","Facundo Manes por Juntos por el Cambio",0.046,0.062,0.048,0.499,0.068,0.024,0.002,0.016,0.011
"P16","Gerardo Morales",0.004,0.005,0.013,0.138,0.592,0.03,0.019,0.016,0.005
"P16","Javier Milei por la Libertad Avanza",0.054,0.098,0.126,0.048,0.157,0.668,0.024,0.042,0.026
"P16","Al candidato del Frente de Izquierda",0.026,0.002,0.001,0.025,0.014,0.002,0.765,0.041,0.007
"P16","En blanco",0.021,0.002,0.005,0.01,0.02,0.005,0.025,0.619,0.036
"P16","No sabe",0.039,0.011,0.015,0.019,0.016,0.013,0.017,0.082,0.707
"P17","Axel Kicillof por el Frente de Todos",0.82,0.039,0.09,0.162,0.093,0.047,0.31,0.295,0.285
"P17","Patricia Bullrich por Juntos por el Cambio",0.051,0.795,0.153,0.166,0.166,0.054,0.014,0.028,0.036
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.053,0.575,0.224,0.216,0.013,0.021,0.012,0.019
"P17","Javier Milei por la Libertad Avanza",0.04,0.082,0.154,0.103,0.147,0.847,0.015,0.047,0.043
"P17","Al candidato del Frente de Izquierda",0.014,0.004,0.007,0.069,0.057,0.004,0.47,0.048,0.013
"P17","En blanco",0.014,0.01,0.002,0.076,0.141,0.021,0.013,0.465,0.039
"P17","No sabe",0.034,0.017,0.019,0.2,0.18,0.014,0.157,0.105,0.565
"P18","Sergio Massa  por el Frente de Todos",0.791,0.038,0.141,0.231,0.117,0.06,0.173,0.217,0.316
"P18","Patricia Bullrich por Juntos por el Cambio",0.051,0.822,0.453,0.279,0.319,0.059,0.026,0.049,0.061
"P18","Javier Milei por la Libertad Avanza",0.049,0.102,0.182,0.125,0.19,0.85,0.061,0.075,0.048
"P18","Al candidato del Frente de Izquierda",0.032,0.007,0.028,0.055,0.021,0.004,0.613,0.059,0.011
"P18","En blanco",0.024,0.004,0.059,0.069,0.116,0.01,0.035,0.489,0.046
"P18","No sabe",0.053,0.027,0.137,0.241,0.237,0.017,0.092,0.111,0.518
"P21","Daniel Scioli  por el Frente de Todos",0.681,0.085,0.155,0.174,0.133,0.122,0.144,0.237,0.267
"P21","Patricia Bullrich por Juntos por el Cambio",0.104,0.726,0.419,0.3,0.302,0.122,0.02,0.055,0.082
"P21","Javier Milei por la Libertad Avanza",0.101,0.15,0.199,0.145,0.189,0.724,0.046,0.073,0.054
"P21","Al candidato del Frente de Izquierda",0.035,0.005,0.03,0.075,0.029,0.006,0.655,0.054,0.007
"P21","En blanco",0.024,0.008,0.072,0.081,0.109,0.009,0.044,0.489,0.052
"P21","No sabe",0.055,0.026,0.125,0.225,0.238,0.017,0.091,0.092,0.538
"P22","Sergio Massa  por el Frente de Todos",0.759,0.069,0.113,0.204,0.11,0.071,0.158,0.214,0.298
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.058,0.403,0.63,0.328,0.319,0.058,0.039,0.023,0.038
"P22","Javier Milei por la Libertad Avanza",0.072,0.264,0.179,0.132,0.191,0.835,0.048,0.086,0.075
"P22","Al candidato del Frente de Izquierda",0.029,0.009,0.011,0.047,0.04,0.004,0.638,0.057,0.016
"P22","En blanco",0.033,0.093,0.021,0.085,0.093,0.011,0.042,0.509,0.048
"P22","No sabe",0.049,0.162,0.046,0.204,0.247,0.021,0.075,0.111,0.525
"P25","Agustín Rossi  por el Frente de Todos",0.781,0.054,0.109,0.138,0.081,0.072,0.169,0.11,0.184
"P25","Patricia Bullrich por Juntos por el Cambio",0.067,0.761,0.475,0.278,0.385,0.135,0.022,0.053,0.067
"P25","Javier Milei por la Libertad Avanza",0.075,0.111,0.185,0.139,0.179,0.764,0.029,0.088,0.066
"P25","Al candidato del Frente de Izquierda",0.02,0.008,0.019,0.051,0.041,0.004,0.668,0.066,0.012
"P25","En blanco",0.018,0.022,0.08,0.157,0.104,0.008,0.017,0.601,0.066
"P25","No sabe",0.039,0.044,0.132,0.237,0.21,0.017,0.095,0.082,0.605
"P26","Axel Kicillof por el Frente de Todos",0.788,0.062,0.096,0.19,0.076,0.08,0.319,0.259,0.33
"P26","Patricia Bullrich por Juntos por el Cambio",0.078,0.766,0.503,0.323,0.379,0.099,0.031,0.074,0.069
"P26","Javier Milei por la Libertad Avanza",0.067,0.122,0.204,0.121,0.184,0.787,0.034,0.078,0.049
"P26","Al candidato del Frente de Izquierda",0.008,0.009,0.022,0.064,0.053,0.004,0.555,0.049,0.01
"P26","En blanco",0.02,0.016,0.066,0.103,0.103,0.007,0.009,0.493,0.055
"P26","No sabe",0.039,0.025,0.109,0.199,0.205,0.023,0.052,0.047,0.487
"P29","Sergio Massa por el Frente de Todos",0.829,0.03,0.137,0.279,0.16,0.081,0.4,0.294,0.408
"P29","Patricia Bullrich por Juntos por el Cambio",0.068,0.932,0.664,0.432,0.487,0.488,0.059,0.083,0.12
"P29","En blanco",0.053,0.016,0.099,0.132,0.171,0.237,0.292,0.531,0.077
"P29","No sabe",0.05,0.022,0.1,0.157,0.182,0.194,0.249,0.092,0.395
"P30","Sergio Massa por el Frente de Todos",0.837,0.045,0.155,0.303,0.176,0.059,0.445,0.316,0.427
"P30","Javier Milei por la Libertad Avanza",0.071,0.617,0.453,0.297,0.342,0.83,0.069,0.123,0.086
"P30","En blanco",0.046,0.16,0.209,0.152,0.285,0.065,0.327,0.484,0.088
"P30","No sabe",0.046,0.178,0.183,0.248,0.197,0.046,0.159,0.077,0.399
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.226,0.449,0.711,0.479,0.452,0.044,0.15,0.117,0.133
"P31","Javier Milei por la Libertad Avanza",0.076,0.364,0.178,0.152,0.229,0.898,0.05,0.084,0.082
"P31","En blanco",0.494,0.09,0.071,0.171,0.167,0.034,0.615,0.687,0.257
"P31","No sabe",0.204,0.097,0.04,0.198,0.152,0.024,0.185,0.112,0.528
"P32","Javier Milei por la Libertad Avanza",0.103,0.15,0.265,0.177,0.241,0.682,0.07,0.107,0.067
"P32","Patricia Bullrich por Juntos por el Cambio",0.085,0.786,0.532,0.408,0.446,0.264,0.057,0.062,0.128
"P32","En blanco",0.627,0.032,0.125,0.239,0.172,0.035,0.712,0.734,0.314
"P32","No sabe",0.185,0.032,0.078,0.176,0.141,0.019,0.161,0.097,0.491
"P33","Sergio Massa por el Frente de Todos",0.761,0.059,0.11,0.279,0.161,0.162,0.396,0.269,0.412
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.064,0.685,0.757,0.459,0.531,0.281,0.065,0.106,0.08
"P33","En blanco",0.119,0.15,0.087,0.091,0.171,0.375,0.409,0.557,0.113
"P33","No sabe",0.056,0.106,0.046,0.171,0.137,0.182,0.13,0.068,0.395
"P34","Agustín Rossi por el Frente de Todos",0.844,0.034,0.089,0.212,0.092,0.065,0.411,0.249,0.304
"P34","Patricia Bullrich por Juntos por el Cambio",0.066,0.885,0.703,0.481,0.56,0.528,0.046,0.076,0.119
"P34","En blanco",0.051,0.041,0.121,0.136,0.181,0.257,0.391,0.616,0.132
"P34","No sabe",0.039,0.04,0.087,0.171,0.167,0.15,0.152,0.059,0.445
"P35","Daniel Scioli por el Frente de Todos",0.842,0.028,0.108,0.247,0.104,0.079,0.435,0.347,0.413
"P35","Patricia Bullrich por Juntos por el Cambio",0.07,0.939,0.71,0.486,0.555,0.587,0.073,0.081,0.128
"P35","En blanco",0.057,0.014,0.101,0.135,0.2,0.216,0.398,0.486,0.106
"P35","No sabe",0.031,0.019,0.081,0.132,0.141,0.118,0.094,0.086,0.353
"P36","Lo votaría",0.509,0.122,0.186,0.186,0.128,0.126,0.148,0.26,0.273
"P36","Puede que lo vote",0.321,0.112,0.121,0.265,0.15,0.095,0.256,0.143,0.22
"P36","Nunca lo votaría",0.115,0.739,0.631,0.449,0.658,0.712,0.43,0.489,0.272
"P36","No sabe",0.055,0.027,0.062,0.1,0.064,0.067,0.166,0.108,0.235
"P37","Lo votaría",0.112,0.804,0.412,0.222,0.24,0.21,0.077,0.079,0.097
"P37","Puede que lo vote",0.055,0.076,0.299,0.296,0.326,0.396,0.022,0.07,0.116
"P37","Nunca lo votaría",0.805,0.106,0.252,0.411,0.362,0.317,0.857,0.769,0.638
"P37","No sabe",0.028,0.014,0.037,0.071,0.072,0.077,0.044,0.082,0.149
"P38","Lo votaría",0.062,0.267,0.231,0.102,0.138,0.769,0.04,0.115,0.04
"P38","Puede que lo vote",0.037,0.391,0.281,0.232,0.211,0.119,0.055,0.074,0.104
"P38","Nunca lo votaría",0.872,0.28,0.43,0.6,0.568,0.088,0.859,0.753,0.723
"P38","No sabe",0.029,0.062,0.058,0.066,0.083,0.024,0.046,0.058,0.133
"P39","Lo votaría",0.04,0.291,0.646,0.217,0.294,0.146,0.046,0.033,0.029
"P39","Puede que lo vote",0.097,0.406,0.16,0.347,0.324,0.221,0.083,0.093,0.147
"P39","Nunca lo votaría",0.821,0.258,0.162,0.366,0.312,0.571,0.816,0.756,0.647
"P39","No sabe",0.042,0.045,0.032,0.07,0.07,0.062,0.055,0.118,0.177
"P40","Lo votaría",0.485,0.068,0.171,0.113,0.068,0.056,0.154,0.163,0.217
"P40","Puede que lo vote",0.251,0.084,0.108,0.271,0.165,0.078,0.222,0.179,0.229
"P40","Nunca lo votaría",0.227,0.821,0.682,0.539,0.725,0.816,0.524,0.559,0.378
"P40","No sabe",0.037,0.027,0.039,0.077,0.042,0.05,0.1,0.099,0.176
"P41","Lo votaría",0.576,0.02,0.05,0.06,0.026,0.042,0.145,0.096,0.123
"P41","Puede que lo vote",0.268,0.034,0.074,0.197,0.092,0.038,0.285,0.21,0.26
"P41","Nunca lo votaría",0.122,0.918,0.823,0.667,0.824,0.859,0.451,0.594,0.382
"P41","No sabe",0.034,0.028,0.053,0.076,0.058,0.061,0.119,0.1,0.235
"P42","Lo votaría",0.131,0.083,0.093,0.582,0.177,0.058,0.068,0.035,0.058
"P42","Puede que lo vote",0.234,0.274,0.3,0.179,0.322,0.186,0.207,0.165,0.207
"P42","Nunca lo votaría",0.543,0.568,0.509,0.213,0.39,0.663,0.627,0.678,0.478
"P42","No sabe",0.092,0.075,0.098,0.026,0.111,0.093,0.098,0.122,0.257
"P43","Lo votaría",0.728,0.037,0.062,0.181,0.074,0.061,0.362,0.29,0.348
"P43","Puede que lo vote",0.092,0.045,0.086,0.14,0.099,0.05,0.176,0.142,0.166
"P43","Nunca lo votaría",0.152,0.9,0.815,0.653,0.796,0.846,0.377,0.467,0.343
"P43","No sabe",0.028,0.018,0.037,0.026,0.031,0.043,0.085,0.101,0.143
"P44","Si",0.649,0.581,0.581,0.57,0.461,0.557,0.581,0.534,0.54
"P44","No",0.351,0.419,0.419,0.43,0.539,0.443,0.419,0.466,0.46
