"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P29","No sabe",0.023,0.102,0.139,0.108
"P30","Sergio Massa por el Frente de Todos",0.851,0.698,0.384,0.803
"P30","Javier Milei por la Libertad Avanza",0.069,0.11,0.358,0.025
"P30","En blanco",0.055,0.08,0.088,0.073
"P30","No sabe",0.025,0.112,0.17,0.099
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.265,0.249,0.297,0.18
"P31","Javier Milei por la Libertad Avanza",0.054,0.108,0.232,0.039
"P31","En blanco",0.47,0.357,0.323,0.514
"P31","No sabe",0.211,0.286,0.148,0.267
"P32","Javier Milei por la Libertad Avanza",0.168,0.152,0.23,0.046
"P32","Patricia Bullrich por Juntos por el Cambio",0.084,0.108,0.287,0.048
"P32","En blanco",0.548,0.461,0.332,0.683
"P32","No sabe",0.2,0.279,0.151,0.223
"P33","Sergio Massa por el Frente de Todos",0.829,0.63,0.466,0.738
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.054,0.099,0.277,0.016
"P33","En blanco",0.093,0.149,0.12,0.137
"P33","No sabe",0.024,0.122,0.137,0.109
"P34","Agustín Rossi por el Frente de Todos",0.736,0.561,0.399,0.803
"P34","Patricia Bullrich por Juntos por el Cambio",0.071,0.116,0.377,0.018
"P34","En blanco",0.14,0.158,0.123,0.087
"P34","No sabe",0.053,0.165,0.101,0.092
"P35","Daniel Scioli por el Frente de Todos",0.759,0.748,0.444,0.838
"P35","Patricia Bullrich por Juntos por el Cambio",0.069,0.133,0.421,0.021
"P35","En blanco",0.127,0.049,0.05,0.077
"P35","No sabe",0.045,0.07,0.085,0.064
"P36","Lo votaría",0.853,0.478,0.269,0.54
"P36","Puede que lo vote",0.038,0.273,0.266,0.281
"P36","Nunca lo votaría",0.085,0.156,0.38,0.093
"P36","No sabe",0.024,0.093,0.085,0.086
"P37","Lo votaría",0.22,0.127,0.293,0.055
"P37","Puede que lo vote",0.02,0.117,0.121,0.059
"P37","Nunca lo votaría",0.726,0.675,0.551,0.863
"P37","No sabe",0.034,0.081,0.035,0.023
"P38","Lo votaría",0.116,0.181,0.21,0.004
"P38","Puede que lo vote",0.084,0.122,0.19,0.03
"P38","Nunca lo votaría",0.776,0.652,0.554,0.934
"P38","No sabe",0.024,0.045,0.046,0.032
"P39","Lo votaría",0.094,0.176,0.164,0.004
"P39","Puede que lo vote",0.127,0.109,0.177,0.055
"P39","Nunca lo votaría",0.721,0.625,0.568,0.898
"P39","No sabe",0.058,0.09,0.091,0.043
"P40","Lo votaría",0.526,0.73,0.218,0.446
"P40","Puede que lo vote",0.21,0.083,0.252,0.327
"P40","Nunca lo votaría",0.218,0.132,0.459,0.174
"P40","No sabe",0.046,0.055,0.071,0.053
"P41","Lo votaría",0.403,0.412,0.259,0.522
"P41","Puede que lo vote",0.314,0.336,0.188,0.294
"P41","Nunca lo votaría",0.24,0.205,0.458,0.102
"P41","No sabe",0.043,0.047,0.095,0.082
"P42","Lo votaría",0.134,0.152,0.088,0.081
"P42","Puede que lo vote",0.257,0.239,0.17,0.157
"P42","Nunca lo votaría",0.483,0.467,0.568,0.641
"P42","No sabe",0.126,0.142,0.174,0.121
"P43","Lo votaría",0.585,0.582,0.286,0.778
"P43","Puede que lo vote",0.191,0.109,0.152,0.106
"P43","Nunca lo votaría",0.176,0.248,0.465,0.079
"P43","No sabe",0.048,0.061,0.097,0.037
"P44","Si",0.64,0.596,0.565,0.64
"P44","No",0.36,0.404,0.435,0.36
