"var","categoria","Javier Milei por la Libertad Avanza","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Sergio Massa  por el Frente de Todos","Facundo Manes por Juntos por el Cambio","Gerardo Morales por Juntos por el Cambio","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P21","En blanco",0.016,0.074,0.008,0.025,0.065,0.235,0.048,0.501,0.066
"P21","No sabe",0.014,0.138,0.019,0.063,0.182,0.178,0.3,0.156,0.59
"P22","Sergio Massa  por el Frente de Todos",0.058,0.054,0.091,0.762,0.126,0.087,0.131,0.101,0.137
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.053,0.713,0.391,0.045,0.281,0.308,0.035,0.028,0.059
"P22","Javier Milei por la Libertad Avanza",0.856,0.117,0.268,0.132,0.148,0.145,0.076,0.05,0.066
"P22","Al candidato del Frente de Izquierda",0.003,0.016,0.008,0.014,0.135,0.027,0.431,0.057,0.019
"P22","En blanco",0.016,0.034,0.089,0.016,0.081,0.232,0.065,0.589,0.068
"P22","No sabe",0.014,0.066,0.153,0.031,0.229,0.201,0.262,0.175,0.651
"P25","Agustín Rossi  por el Frente de Todos",0.069,0.077,0.056,0.669,0.139,0.1,0.209,0.194,0.2
"P25","Patricia Bullrich por Juntos por el Cambio",0.109,0.53,0.782,0.061,0.287,0.328,0.057,0.034,0.079
"P25","Javier Milei por la Libertad Avanza",0.789,0.147,0.104,0.125,0.127,0.133,0.059,0.041,0.065
"P25","Al candidato del Frente de Izquierda",0.004,0.021,0.008,0.021,0.125,0.026,0.38,0.056,0.013
"P25","En blanco",0.017,0.082,0.019,0.039,0.095,0.235,0.052,0.538,0.058
"P25","No sabe",0.012,0.143,0.031,0.085,0.227,0.178,0.243,0.137,0.585
"P26","Axel Kicillof por el Frente de Todos",0.067,0.072,0.075,0.725,0.149,0.104,0.298,0.3,0.278
"P26","Patricia Bullrich por Juntos por el Cambio",0.079,0.562,0.77,0.062,0.384,0.365,0.063,0.037,0.089
"P26","Javier Milei por la Libertad Avanza",0.822,0.147,0.108,0.121,0.132,0.095,0.058,0.046,0.055
"P26","Al candidato del Frente de Izquierda",0.003,0.026,0.007,0.011,0.092,0.06,0.333,0.034,0.017
"P26","En blanco",0.017,0.067,0.017,0.019,0.084,0.21,0.048,0.48,0.052
"P26","No sabe",0.012,0.126,0.023,0.062,0.159,0.166,0.2,0.103,0.509
"P29","Sergio Massa por el Frente de Todos",0.068,0.072,0.052,0.83,0.184,0.146,0.335,0.169,0.242
"P29","Patricia Bullrich por Juntos por el Cambio",0.491,0.723,0.915,0.069,0.51,0.417,0.115,0.041,0.154
"P29","En blanco",0.246,0.111,0.02,0.049,0.128,0.225,0.253,0.64,0.093
"P29","No sabe",0.195,0.094,0.013,0.052,0.178,0.212,0.297,0.15,0.511
"P30","Sergio Massa por el Frente de Todos",0.048,0.103,0.065,0.828,0.192,0.169,0.374,0.179,0.285
"P30","Javier Milei por la Libertad Avanza",0.866,0.48,0.601,0.08,0.414,0.246,0.116,0.062,0.103
"P30","En blanco",0.049,0.222,0.162,0.045,0.2,0.32,0.28,0.621,0.108
"P30","No sabe",0.037,0.195,0.172,0.047,0.194,0.265,0.23,0.138,0.504
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.032,0.772,0.44,0.203,0.429,0.46,0.153,0.052,0.135
"P31","Javier Milei por la Libertad Avanza",0.907,0.133,0.374,0.135,0.21,0.132,0.095,0.044,0.099
"P31","En blanco",0.033,0.065,0.09,0.454,0.189,0.21,0.492,0.764,0.247
"P31","No sabe",0.028,0.03,0.096,0.208,0.172,0.198,0.26,0.14,0.519
"P32","Javier Milei por la Libertad Avanza",0.708,0.285,0.134,0.12,0.231,0.178,0.095,0.034,0.07
"P32","Patricia Bullrich por Juntos por el Cambio",0.237,0.559,0.789,0.103,0.416,0.419,0.091,0.078,0.151
"P32","En blanco",0.036,0.105,0.042,0.577,0.198,0.224,0.564,0.77,0.322
"P32","No sabe",0.019,0.051,0.035,0.2,0.155,0.179,0.25,0.118,0.457
"P33","Sergio Massa por el Frente de Todos",0.139,0.046,0.074,0.784,0.179,0.136,0.324,0.16,0.295
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.271,0.858,0.668,0.046,0.495,0.5,0.127,0.087,0.1
